time,ncells,lon,lat,O3,CO,NO,NO2,SO2,PM1,PM2.5,PM10,StationName
2024-02-06 02:00:00,12,151.759634,-32.931176,,,,,,,,,Albion_Park_Sth
2024-02-06 02:00:00,13,150.498009,-34.051688,2.3045855,0.069549546,0.0075990343,0.052379295,0.0019840447,0.31313914,0.5665905,1.1372548,Albion_Park_Sth
2024-02-06 02:00:00,14,150.997812,-33.799489,2.3839974,0.121548325,0.20079766,0.36393487,0.030458303,0.87684053,1.3586555,5.2381372,Albion_Park_Sth
2024-02-06 02:00:00,15,150.914185,-33.794246,2.5036077,0.13449122,0.19465086,0.418385,0.04939497,1.281057,1.857293,4.782492,Albion_Park_Sth
2024-02-06 02:00:00,16,151.242802,-33.931776,2.3128798,0.087087095,0.078527644,0.12164777,0.031967387,0.6724372,1.2436185,11.083836,Albion_Park_Sth
2024-02-06 02:00:00,17,150.747347,-33.616436,3.5405886,0.11807462,0.042622603,0.29805467,0.018977733,1.3573225,2.730111,5.961642,Albion_Park_Sth
2024-02-06 02:00:00,18,151.163933,-33.864353,2.1165245,0.11222007,0.2984977,0.43653774,0.018595913,1.1549544,1.8191407,10.893531,Albion_Park_Sth
2024-02-06 02:00:00,19,150.766799,-33.795155,2.6887481,0.11684416,0.15264589,0.39928696,0.039958496,1.5534904,2.4682484,4.853685,Albion_Park_Sth
2024-02-06 02:00:00,20,150.887328,-34.417064,2.0373607,0.14378926,0.13105813,0.3349357,0.12977716,0.73976225,1.0961046,6.164447,Albion_Park_Sth
2024-02-06 02:00:00,21,151.432414,-33.278966,3.160196,0.08212873,0.027858853,0.057208866,0.038087618,1.1229995,2.348589,12.903801,Albion_Park_Sth
2024-02-06 03:00:00,0,150.782544,-34.577839,2.0911417,0.067464866,0.063229315,0.07332667,0.0002404985,1.6350656,2.160468,8.913892,Albion_Park_Sth
2024-02-06 03:00:00,1,150.580539,-34.306187,2.079586,0.064939946,0.04947756,0.060490284,0.00027683988,0.1867062,0.34151503,1.7450618,Albion_Park_Sth
2024-02-06 03:00:00,2,149.57333,-33.40333,,,,,,,,,Albion_Park_Sth
2024-02-06 03:00:00,3,150.761939,-33.917658,2.5271628,0.074863896,0.024153408,0.0924028,0.047768723,0.80312335,1.1782112,3.1242678,Albion_Park_Sth
2024-02-06 03:00:00,4,150.690141,-34.041702,2.2359452,0.07200716,0.029551249,0.08478721,0.0032875084,0.42511883,0.64781344,2.87506,Albion_Park_Sth
2024-02-06 03:00:00,5,150.795546,-34.066648,2.3603451,0.085449055,0.122877926,0.16970465,0.04746689,0.6390022,1.0302136,3.921127,Albion_Park_Sth
2024-02-06 03:00:00,6,151.046062,-33.891572,2.310417,0.09987616,0.20731232,0.26376787,0.013185541,0.9238592,1.6088567,8.513872,Albion_Park_Sth
2024-02-06 03:00:00,7,151.135792,-33.916185,2.2202854,0.103363246,0.25455087,0.29115728,0.011916778,0.90728474,1.6369245,11.466041,Albion_Park_Sth
2024-02-06 03:00:00,8,150.81916,-34.47442,2.0794494,0.076327115,0.07765311,0.14781144,0.00075717183,0.6854635,1.111861,7.360482,Albion_Park_Sth
2024-02-06 03:00:00,9,151.046778,-33.881407,2.3039749,0.101048276,0.22683299,0.2824215,0.012855971,0.92553014,1.6151954,8.474337,Albion_Park_Sth
2024-02-06 03:00:00,10,150.90731,-33.931338,2.4374027,0.115023404,0.20085876,0.29906344,0.032217924,1.0418744,1.8565711,6.065165,Albion_Park_Sth
2024-02-06 03:00:00,11,151.117809,-33.76526,2.450008,0.100521855,0.20344204,0.22771533,0.007158494,0.9672712,1.681329,8.677469,Albion_Park_Sth
2024-02-06 03:00:00,12,151.759634,-32.931176,,,,,,,,,Albion_Park_Sth
2024-02-06 03:00:00,13,150.498009,-34.051688,2.090767,0.06524664,0.004903781,0.031423762,0.00019970884,0.16389297,0.23452291,0.6609747,Albion_Park_Sth
2024-02-06 03:00:00,14,150.997812,-33.799489,2.340452,0.11173728,0.19186793,0.31356728,0.019282557,0.9087591,1.5715644,6.920765,Albion_Park_Sth
2024-02-06 03:00:00,15,150.914185,-33.794246,2.4667077,0.12136539,0.18719749,0.3266696,0.03237677,1.280879,2.0865076,6.13118,Albion_Park_Sth
2024-02-06 03:00:00,16,151.242802,-33.931776,2.3329346,0.08552879,0.07551805,0.10532355,0.031166604,0.7786804,1.5025178,14.038954,Albion_Park_Sth
2024-02-06 03:00:00,17,150.747347,-33.616436,2.6718628,0.113684565,0.05386968,0.3485658,0.04690714,1.0251722,1.5579491,3.1769989,Albion_Park_Sth
2024-02-06 03:00:00,18,151.163933,-33.864353,2.222554,0.106576525,0.29343826,0.32920578,0.014500429,1.1647514,2.024454,13.56003,Albion_Park_Sth
2024-02-06 03:00:00,19,150.766799,-33.795155,2.5188575,0.09860932,0.119382426,0.25479758,0.05646417,0.91212636,1.4201202,2.867709,Albion_Park_Sth
2024-02-06 03:00:00,20,150.887328,-34.417064,1.9904343,0.13998447,0.14478853,0.32028538,0.1213835,0.8605896,1.389503,9.5820465,Albion_Park_Sth
2024-02-06 03:00:00,21,151.432414,-33.278966,2.6893425,0.07520054,0.027428422,0.05068944,0.01956711,0.9449617,1.8486626,13.0036125,Albion_Park_Sth
2024-02-06 04:00:00,0,150.782544,-34.577839,1.9906715,0.060398422,0.058990132,0.057514496,0.00022631562,1.6710043,2.4563231,13.468036,Albion_Park_Sth
2024-02-06 04:00:00,1,150.580539,-34.306187,2.0137563,0.061484803,0.04168585,0.05419127,0.00015585998,0.2661783,0.544392,3.9402564,Albion_Park_Sth
2024-02-06 04:00:00,2,149.57333,-33.40333,,,,,,,,,Albion_Park_Sth
2024-02-06 04:00:00,3,150.761939,-33.917658,2.317636,0.07232833,0.028631726,0.11175852,0.037854858,0.9478785,1.4082153,5.220047,Albion_Park_Sth
2024-02-06 04:00:00,4,150.690141,-34.041702,2.1171534,0.068186,0.021661626,0.07086747,0.0012466174,0.4637461,0.84063923,5.4340544,Albion_Park_Sth
2024-02-06 04:00:00,5,150.795546,-34.066648,2.1780937,0.08516345,0.1158672,0.21610463,0.041954707,0.78850883,1.2919016,7.0234313,Albion_Park_Sth
2024-02-06 04:00:00,6,151.046062,-33.891572,2.2833562,0.0912751,0.19098793,0.2350705,0.006576961,1.0464315,2.0023315,13.16593,Albion_Park_Sth
2024-02-06 04:00:00,7,151.135792,-33.916185,2.1774275,0.09460472,0.2741666,0.22843392,0.010707652,1.044151,2.0368352,17.027405,Albion_Park_Sth
2024-02-06 04:00:00,8,150.81916,-34.47442,2.0104747,0.067747235,0.07650388,0.10933845,0.0006334663,0.79464036,1.4735736,12.5074835,Albion_Park_Sth
2024-02-06 04:00:00,9,151.046778,-33.881407,2.275778,0.09320328,0.2064617,0.26021266,0.0067208423,1.0550386,2.0212061,13.082087,Albion_Park_Sth
2024-02-06 04:00:00,10,150.90731,-33.931338,2.3176408,0.11061644,0.19981535,0.29896256,0.025870986,1.0375684,1.7359443,9.195247,Albion_Park_Sth
2024-02-06 04:00:00,11,151.117809,-33.76526,2.4312968,0.094664395,0.16393448,0.22431213,0.005905991,1.1391248,2.1540554,13.286888,Albion_Park_Sth
2024-02-06 04:00:00,12,151.759634,-32.931176,,,,,,,,,Albion_Park_Sth
2024-02-06 04:00:00,13,150.498009,-34.051688,1.9934928,0.062278967,0.0027168356,0.01716149,8.959498e-05,0.17414604,0.32843265,1.842887,Albion_Park_Sth
2024-02-06 04:00:00,14,150.997812,-33.799489,2.3378756,0.10421935,0.17960632,0.30235362,0.01430699,1.0409598,1.9233259,10.560377,Albion_Park_Sth
