Segment,RMSE,MAE,Pearson's r,R²,Max Error,MAPE
S1,4.417654,3.836304,-0.103483,-0.286135,6.555297,0.79183
S2,4.017703,3.536546,-0.03786,-0.066477,6.690641,0.882024
S3,3.914611,3.539768,-0.105188,-0.045053,5.311297,1.028789
S4,3.910934,3.089366,0.253656,0.001225,7.34991,0.884866
S5,4.764301,4.019027,-0.433456,-0.345305,8.154293,2247281202059120.8
S6,4.689222,3.972315,-0.388325,-0.209523,7.907752,1947844068594660.0
S7,4.607644,3.788294,0.223722,-0.36836,7.788734,2621398976104478.0
S8,4.337311,3.682475,-0.300096,-0.213629,7.298113,2738981694865639.5
S9,4.92293,4.402338,-0.445805,-0.603567,8.778859,2003964849691206.2
S10,4.40028,3.90905,-0.148215,-0.088339,7.739561,3658968169665616.5
S11,4.612561,3.812939,0.506196,-0.334831,7.862799,8050742404978587.0
S12,5.08215,4.292939,0.646189,-0.826645,8.279597,1.0389623295638714e+16
S13,5.890202,5.278014,0.517189,-2.340648,8.558119,1.395190105780453e+16
S14,5.027741,4.515164,0.212318,-1.63505,6.999543,1.217778068020591e+16
S15,4.632157,4.117847,-0.340759,-1.074311,6.722198,1.1239218208022916e+16
S16,4.054829,3.626053,0.031081,-0.545882,5.870005,1.0297900133347922e+16
S17,4.24573,3.644313,-0.123981,-0.378532,6.023555,8718457307201608.0
S18,4.243285,3.400384,-0.184139,-0.424773,7.058189,7897966344459335.0
S19,4.234836,3.584658,-0.344907,-0.569901,5.951324,8795624084896800.0
S20,4.843439,4.074534,-0.443447,-1.58052,8.330371,1.091599876588621e+16
S21,3.411707,2.90148,0.680235,-0.29179,6.291662,7480021640520235.0
S22,2.778278,2.562554,0.677182,0.011349,3.624438,3763436669021854.0
S23,2.241071,1.899228,0.602621,0.210418,3.656718,2067269772913332.0
S24,2.213645,1.783406,0.304014,-0.005016,4.667199,950302568281613.1
S25,2.498353,1.8974,0.013369,-1.30684,5.218646,0.328147
S26,2.46293,1.678741,-0.25784,-1.240683,6.264403,0.274658
S27,1.906809,1.467117,0.379962,-0.040651,5.077129,0.239814
S28,2.24418,1.578222,-0.273038,-0.322188,5.027154,0.27039
S29,2.623448,2.284829,-0.46736,-2.170838,4.082963,0.502341
S30,2.19174,1.803643,0.387549,0.033281,4.770796,0.352559
S31,3.472142,2.326855,0.073919,-0.131798,9.133574,0.310527
S32,4.131956,2.797424,-0.147723,-0.645905,10.705079,0.315256
S33,4.067511,2.81064,-0.026146,-0.542834,10.467082,0.322512
S34,4.165977,3.239412,0.203816,-0.225301,9.701359,1912161598387040.2
S35,4.491145,3.689851,-0.076695,-0.184466,9.284455,4243692276685326.5
S36,4.721777,3.836856,-0.412875,-0.110041,9.821781,6675777901323660.0
S37,5.066269,4.429386,-0.37184,-0.132344,8.710188,9410427921477702.0
S38,6.857316,5.476478,0.312227,0.038262,16.777546,9693242231187542.0
S39,10.339145,7.859375,0.041148,-0.025441,26.245382,1.0419700247980136e+16
S40,10.996666,8.517741,-0.259815,-0.11492,27.311601,1.2518099501997802e+16
S41,10.971466,8.641792,-0.149066,-0.058266,27.721508,1.3526456396815978e+16
S42,10.677081,8.148786,-0.009619,-0.008555,27.020627,1.5568006037197406e+16
S43,10.727396,8.785748,-0.047367,-0.039454,25.188718,1.8468811561763676e+16
S44,10.610572,8.508478,-0.05032,-0.014012,25.78106,1.7065852645295022e+16
S45,10.568385,7.868397,0.06199,-0.000358,27.015785,1.3613317885779026e+16
S46,10.449028,6.836822,0.196216,-0.006234,29.159737,8195042240639165.0
S47,10.523752,6.667571,0.064988,-0.059197,27.871013,5792214326040037.0
S48,11.489151,6.985856,-0.605569,-0.32771,31.34839,4883850178208424.0
S49,11.699248,7.083209,-0.463722,-0.430163,31.058509,2897817198563530.5
S50,9.150847,6.878595,0.068136,-0.044411,22.575017,9656167585745112.0
S51,11.762098,9.224849,-0.704703,-4.108719,23.851276,1.7183471242733216e+16
S52,5.621729,5.400588,-0.14715,-0.18808,9.389675,3523944735927506.0
S53,5.225541,4.788448,0.111264,-0.073407,8.28936,0.671134
S54,6.492541,6.027328,-0.648824,-0.608679,9.612785,0.825428
S55,5.851283,5.442959,-0.311921,-0.308735,9.410652,0.795475
S56,5.715897,4.832217,0.620469,-0.348656,9.436579,0.477317
S57,7.043259,5.75346,-0.426811,-1.288674,14.335791,0.504099
S58,7.425066,6.412928,-0.402225,-1.101586,11.075394,2.882877
S59,6.630573,5.382328,-0.259949,-0.772827,12.649239,1.780916
S60,5.605185,4.707528,-0.133213,-0.250102,11.530018,3.577675
S61,6.504911,5.824603,-0.4891,-0.677033,12.858188,4.183399
S62,5.754082,5.315136,0.039083,-0.14987,8.967929,3365663475223758.0
S63,4.448848,3.59668,0.870645,0.363302,7.719671,4947711033274556.0
S64,5.264603,4.59916,0.86284,0.042697,9.146275,8572266372527503.0
S65,6.839529,6.263284,0.848243,-1.50168,10.92408,9784558605841994.0
S66,7.008782,6.639162,0.053883,-1.602774,10.019144,1.0272077618984488e+16
S67,7.006666,6.035472,-0.730835,-0.401436,13.28401,9032797414782994.0
S68,6.568352,5.738704,-0.228888,-0.068999,12.29721,8039668954214809.0
S69,6.240236,5.367294,0.347732,0.057096,12.112835,7280260763578524.0
S70,5.996515,5.316749,0.394813,0.081037,12.176078,6785937974828975.0
S71,6.036999,5.1614,0.472859,0.144034,11.685862,8087504913436843.0
S72,5.894434,5.060197,0.501276,0.18025,11.068483,8212594382176892.0
S73,5.94912,5.306443,0.43364,0.155729,11.253972,6048678824930071.0
S74,5.564516,4.407227,0.549453,0.132157,13.31279,2756655959013263.5
S75,6.329285,5.049934,0.396945,-0.225731,12.159811,1049317771439058.9
S76,7.270092,5.536187,-0.009441,-1.30673,15.78842,0.440243
S77,8.301185,6.660062,-0.609576,-2.650803,16.536149,0.517715
S78,5.759701,4.703964,0.272613,-0.63556,11.020609,0.378229
S79,6.453708,4.576713,0.093192,-0.292789,16.550407,0.331267
S80,7.522403,5.196045,-0.370847,-0.698237,19.109715,0.361967
S81,7.532467,5.271871,-0.216809,-0.578957,18.686902,0.373171
S82,7.137921,5.191107,-0.066338,-0.278839,17.857388,0.417406
S83,6.792469,5.029029,0.082592,-0.114982,17.095085,0.440291
S84,7.343927,5.269763,0.242257,-0.184312,18.697868,0.454865
S85,7.833519,5.298947,0.394436,-0.347483,18.797516,0.411166
S86,8.073347,5.654454,-0.11811,-0.211579,20.129979,2893908524446935.5
S87,6.822208,5.764587,0.384908,0.104679,15.133376,3069160737156502.5
S88,7.209398,5.960656,0.160469,0.004551,16.869549,3508623489995191.5
S89,8.719966,7.241775,-0.534158,-0.289889,18.801749,4148248352972392.5
S90,7.673481,6.969153,0.271083,0.024333,14.19816,3313654780826974.5
S91,8.870137,8.183717,-0.163605,-0.697148,12.163125,4556340907306664.0
S92,8.238994,7.611426,-0.571524,-0.594483,11.553344,4335969644440264.0
S93,6.79999,6.027375,0.293761,0.020319,10.22269,3836575239560342.0
S94,7.229777,6.099587,-0.151865,-0.077361,11.363248,3654674475310878.5
S95,7.277467,6.445678,-0.032545,-0.033414,11.778452,2790163753550817.5
S96,7.161649,6.205098,0.215746,0.037058,11.946093,1738939383209512.2
S97,7.43419,6.925482,0.073952,-0.015906,11.772114,1779835520585750.2
S98,7.914175,6.622299,-0.204017,-0.277336,14.276491,1.781393
S99,8.093613,6.930964,-0.438199,-0.405195,15.650286,1.635642
S100,6.802748,6.105094,0.219832,0.020683,11.35376,2.054832
S101,8.095851,7.135671,0.341962,-0.790423,12.568643,3.223518
S102,8.148966,7.423897,0.138985,-1.511013,12.957283,3.396282
S103,7.730053,6.992046,0.145718,-5.623203,12.93123,3.406501
S104,6.755284,5.83824,-0.412519,-8.865152,11.872353,3.084209
S105,3.587234,3.145092,-0.066705,-2.148409,6.223325,1.217801
S106,3.138058,2.797983,0.090478,-1.285813,4.935911,1.008406
S107,2.539906,2.091766,-0.083361,-0.6285,5.374295,0.646378
S108,2.722043,1.969206,-0.17141,-1.363482,7.34703,0.423778
S109,2.653153,1.961418,-0.383666,-1.340609,6.384221,0.448551
S110,4.131989,3.790285,-0.120128,-11.926861,5.969701,0.963267
S111,4.003649,3.794801,0.515513,-11.386402,6.097841,0.915079
S112,4.785365,4.412384,0.151843,-16.15692,7.627114,1.114032
S113,4.779024,4.294729,0.076166,-7.759225,9.386564,2.838031
S114,3.492593,2.77499,-0.092795,-3.937017,7.746291,2.149926
S115,2.359227,2.009523,-0.356886,-0.828442,5.369523,1.484019
S116,1.874918,1.464348,0.046894,-0.093719,4.829548,1.21819
S117,2.038504,1.672565,0.099429,-0.039543,4.810437,1.255807
S118,2.185561,1.780221,0.133448,-0.011487,5.018327,1.324763
S119,2.38572,1.903264,0.536068,0.147344,4.716087,1.214605
S120,2.602796,2.00322,0.205286,0.031852,5.33089,1.401126
S121,2.461992,1.750719,0.362973,0.122904,5.680265,1.395417
S122,2.605529,2.182702,0.664592,0.142349,4.735815,1.09054
S123,3.21697,2.694461,0.719603,-0.026768,6.2953,1.158365
S124,3.536177,3.018356,0.521988,-0.374598,6.455382,1.03745
S125,4.283663,3.878019,0.206671,-0.917941,6.751435,2001208271419285.8
S126,4.209049,3.921398,-0.115097,-0.783799,6.541782,1926974688161399.8
S127,3.499264,2.939348,-0.097736,-0.21709,6.180526,2064841507054248.0
S128,3.568355,2.937483,0.011086,-0.221707,6.454076,2422214634975062.5
S129,3.34666,2.783886,0.197813,-0.073409,6.321763,2372557307473728.0
S130,3.511307,2.870792,0.16549,-0.062188,5.998558,2251258631130025.8
S131,3.853177,3.112252,-0.290783,-0.175771,8.408472,3155699280496270.0
S132,3.981491,3.284089,-0.422023,-0.253233,6.940312,2604699028206236.0
S133,3.912301,3.367268,-0.259598,-0.164503,6.929126,2600500772633601.5
S134,3.67268,2.936395,-0.029845,-0.059937,7.553756,2834924392237304.0
S135,3.748159,2.808359,-0.364986,-0.295516,8.66165,3250716976034471.5
S136,3.807061,3.093433,-0.53965,-0.258711,7.942921,2980977892062783.5
S137,3.707948,2.980103,0.064139,-0.796652,6.97968,0.362697
S138,3.73247,3.193004,-0.229119,-1.002527,7.435023,0.428747
S139,3.906277,3.378952,-0.518063,-0.33727,7.38835,2772847337923583.0
S140,4.22871,3.355214,-0.577256,-0.263893,7.8804,2850082757983096.5
S141,3.949759,3.292218,0.007697,-0.073379,6.883756,2480550774258310.0
S142,3.79936,2.927775,0.443734,-0.149275,8.055775,3023332107348380.5
S143,4.164412,3.47661,0.145306,-0.860723,7.732971,2902183776172238.5
S144,4.029916,2.980912,-0.336171,-0.773125,8.400865,3152844373632488.0
S145,3.952687,3.039663,-0.682841,-0.716435,8.559155,3212250605717194.5
S146,3.769381,2.703881,-0.54131,-0.696463,8.667399,2766965561750244.5
S147,2.914316,2.126934,0.284276,0.020764,6.674478,2504931386141048.5
S148,3.431865,2.479109,-0.613084,-0.617137,7.44072,2792501834827363.5
S149,2.889346,2.181613,0.235143,-0.104894,6.200399,2327009552162367.0
S150,2.925914,2.278194,0.263801,-0.113632,5.172307,1587821360423072.2
S151,2.94877,2.244499,-0.074079,-0.583673,6.605024,0.739337
S152,3.178354,2.514567,-0.398376,-1.450935,6.368758,0.492039
S153,2.422268,1.887221,0.419721,0.033999,4.704084,0.415979
S154,3.065561,2.466907,0.211012,0.00981,4.831071,0.446512
S155,3.239275,2.536392,0.180695,-0.038994,6.249314,0.410256
S156,3.212919,2.522451,0.212856,-0.027092,7.135504,0.395412
S157,3.634686,3.233843,-0.374139,-0.218324,6.43021,0.561013
S158,3.220602,2.83001,0.545883,0.119106,6.254425,0.506469
S159,3.187498,2.832515,0.624505,0.167254,6.476305,0.499332
S160,4.216973,3.623262,0.444143,-0.084541,8.634965,0.514086
S161,5.149285,4.191071,0.01368,-0.758687,9.718567,0.456872
S162,5.145806,4.396465,0.415551,-1.091757,8.97082,0.447285
S163,4.874222,4.1508,-0.075592,-1.150914,8.439011,0.433348
S164,4.360276,3.908029,-0.557613,-0.59545,7.662372,0.474914
S165,3.618091,3.050492,0.122187,-0.134366,6.860938,0.405113
S166,3.508469,3.004708,-0.144922,-0.179724,6.062089,0.448986
S167,3.829989,3.269412,-0.432296,-0.315171,7.432747,0.447393
S168,4.051359,3.623178,-0.060631,-0.404373,6.486236,0.43293
S169,4.777541,4.200491,-0.276335,-1.398063,8.507953,0.412145
S170,5.36714,4.708511,-0.126646,-4.137338,10.094718,0.402019
S171,4.854998,4.365798,-0.049918,-3.186266,7.999955,0.369263
S172,3.675154,3.251135,-0.55661,-1.856558,5.409967,0.305131
S173,3.573971,3.157524,-0.34222,-1.378296,5.75965,0.297911
S174,3.834103,3.41272,-0.373436,-0.351998,7.21,0.602487
S175,3.767344,3.340813,-0.212066,-0.253703,6.593074,0.574464
S176,3.072172,2.445281,0.47339,0.135972,7.47428,0.558667
S177,3.285625,2.714119,0.079504,-0.017608,7.146745,0.564367
S178,4.205518,3.500428,-0.610148,-0.524067,6.954819,0.585172
S179,3.06198,2.605977,0.497484,0.15451,5.82215,0.512947
S180,2.635816,2.020725,0.698924,0.283817,6.959236,0.524227
S181,3.086561,2.494688,0.653932,-0.261325,7.321034,0.632361
S182,3.772569,3.287636,0.436719,-1.308353,8.08318,0.791966
S183,4.735604,4.193874,0.418452,-2.873081,8.981505,1.757506
