Segment,RMSE,MAE,Pearson's r,R²,Max Error,MAPE
S1533,5.735095,5.47808,0.181166,-11.764033,8.37181,1.0340338678536544e+16
S1534,4.790185,4.478057,0.20252,-8.974056,7.018815,6698308547069467.0
S1535,4.959457,4.718082,0.402213,-8.674026,7.486568,8640835816064040.0
S1536,4.552548,4.162486,0.115068,-7.850043,7.067478,6151089517026573.0
S1537,4.415052,3.872943,-0.213458,-7.634632,6.681752,4486879188093955.5
S1538,4.760863,4.168105,-0.649181,-8.075404,7.303799,7265387212979171.0
S1539,4.993253,4.417086,-0.226415,-6.420408,7.10478,7517326570023613.0
S1540,5.099859,4.620243,0.130118,-5.137814,7.710928,7276704421072780.0
S1541,4.800343,4.261342,0.105169,-4.474551,7.78274,6839090621061108.0
S1542,4.546557,3.88111,-0.163866,-4.031269,6.826426,4720137576354071.0
S1543,4.901558,4.429302,0.139625,-5.197404,6.90005,4824268305738255.0
S1544,5.311785,4.95725,0.244953,-6.809195,6.969847,4903727378113783.0
S1545,4.856462,4.398091,0.137872,-5.507765,7.423352,4116967363270597.5
S1546,4.881888,4.499889,0.295561,-5.559118,6.719094,3699710846884557.5
S1547,4.619421,4.08407,0.018507,-4.970473,6.917833,2157514703686440.0
S1548,4.424512,3.969294,0.131237,-4.599898,6.674701,1436502739803237.2
S1549,4.261607,3.912811,-0.159302,-4.569999,6.093212,1036458268123064.0
S1550,4.134185,3.961524,-0.652554,-4.673522,6.904236,5.618512
S1551,4.739984,4.465915,-0.429853,-8.598341,7.013392,6.303381
S1552,5.216991,5.073333,0.324273,-17.554404,7.323035,6.630343
S1553,4.763169,4.643781,0.665937,-10.260995,6.675439,5.858109
S1554,4.025072,3.868174,0.573932,-8.830499,6.215271,4.137332
S1555,3.834467,3.638649,0.497817,-8.053116,5.574957,3.728648
S1556,3.35395,3.075988,0.531102,-3.873792,5.661071,3.374379
S1557,3.36395,3.1654,0.701012,-3.443156,5.453649,2.886383
S1558,3.059498,2.860635,0.694548,-3.140427,4.553944,2.299922
S1559,2.271819,2.041772,0.705707,-1.819451,4.069393,0.650448
S1560,2.193839,1.871448,0.536876,-2.45374,3.749815,0.540848
S1561,2.481131,2.043493,0.142341,-4.141914,4.236354,0.594912
S1562,2.834976,2.494574,0.218586,-5.116055,4.49225,0.730515
S1563,2.923261,2.592138,0.263135,-4.395237,4.517822,0.746411
S1564,2.802384,2.352665,0.280005,-2.072801,4.565157,0.671684
S1565,3.01944,2.644308,0.366781,-0.697593,5.462151,0.710866
S1566,2.544189,2.254619,0.412781,-0.056668,4.648772,0.517777
S1567,2.372691,1.974373,0.379804,0.057655,4.332867,0.435953
S1568,2.683712,2.273834,0.523459,-0.123021,4.454609,0.539345
S1569,3.510681,2.720162,0.290797,-0.34944,8.130178,3051255363288000.0
S1570,3.639874,2.891431,0.088113,-0.375901,7.827519,2937667637636290.5
S1571,3.761755,2.942252,0.172608,-0.41757,8.057323,3023913071700311.5
S1572,3.764051,2.957622,0.038153,-0.431732,8.623605,3236438688715862.0
S1573,3.767941,2.975349,-0.135774,-0.439653,7.988848,2998214293736637.5
S1574,3.691209,3.168751,-0.299436,-0.451927,7.444807,2794035685800451.0
S1575,3.878393,3.362273,-0.466354,-0.592769,7.478818,2806800313284301.0
S1576,4.250704,3.583901,-0.589977,-0.636885,8.82488,3311977189965778.5
S1577,6.183887,4.928079,-0.602566,-0.214018,13.740092,3546935236725263.5
S1578,7.826398,6.43856,-0.691726,-0.083653,15.839034,3657882164145473.5
S1579,8.498648,7.235149,-0.612062,-0.036979,16.065872,3609510877047731.5
S1580,8.593507,7.058202,0.552167,-0.007181,16.473045,2917736206885424.5
S1581,8.645424,6.592629,0.675261,-0.188184,16.86728,0.578127
S1582,8.881703,6.506775,0.557004,-0.424282,17.731467,0.448153
S1583,8.517641,6.331696,0.540582,-0.266589,17.120751,0.473719
S1584,8.545206,6.362719,0.445873,-0.290401,17.508737,0.468425
S1585,8.760048,6.339533,0.196106,-0.441047,17.321901,0.412242
S1586,8.999283,6.78494,-0.144173,-0.540468,17.893193,0.469072
S1587,8.901567,6.899692,-0.462216,-0.464566,17.515446,0.510758
S1588,8.196196,6.364686,-0.273735,-0.20572,16.330568,0.512884
S1589,5.993819,5.442081,0.862893,0.24962,10.763709,0.675438
S1590,6.460134,5.919748,0.886308,-0.394252,9.471601,0.938166
S1591,7.84804,7.430261,0.829266,-2.608729,11.031724,1.212509
S1592,9.18302,8.984228,0.76533,-8.6734,12.477473,4682795229443787.0
S1593,8.389932,8.043487,0.287319,-12.607229,12.654827,4749356180136509.0
S1594,7.153988,6.8577,0.195514,-11.795774,11.397913,4277636394966778.5
S1595,5.850345,5.423302,0.036442,-6.162027,10.388474,3898793781962356.5
S1596,5.056435,4.529796,-0.078265,-4.232399,9.68163,3633515438361584.5
S1597,4.895221,4.331763,-0.037949,-3.798302,9.287299,3485523026306532.0
S1598,4.5761,3.852182,-0.360299,-3.08538,8.389388,3148537055888876.0
S1599,4.372497,3.64905,-0.51529,-2.467201,8.649468,3246145071812752.5
S1600,4.48683,3.753682,-0.078331,-2.554603,8.578397,3219472127719682.5
S1601,4.314255,3.564952,0.044281,-1.181844,8.283977,3108976310862147.5
S1602,4.22098,3.606519,0.294728,-0.593115,7.610843,2856349028974622.5
S1603,4.346249,3.865715,0.440181,-0.031721,6.88613,2584364487758724.0
S1604,4.847433,3.767735,0.468453,0.085407,11.414179,0.601821
S1605,5.244848,4.300075,0.492259,0.075733,11.26484,0.705633
S1606,5.104962,4.210644,0.690299,0.089697,11.170849,0.64861
S1607,4.993557,3.902785,0.789545,-0.026509,10.977731,0.424613
S1608,5.007307,3.8548,0.793381,-0.189792,11.52796,0.369262
S1609,5.240172,3.947348,0.514406,-0.627063,11.989375,0.323272
S1610,5.416002,4.219642,0.254604,-1.379644,12.395372,0.329642
S1611,5.018585,3.817278,0.13686,-1.337887,11.202823,0.286239
S1612,4.630052,3.385556,-0.104112,-1.052952,10.993079,0.247823
S1613,3.900766,2.452966,0.088159,-0.432204,10.066839,0.169512
S1614,3.528963,2.288273,0.422065,-0.164732,8.957922,0.161346
S1615,2.665861,2.132402,0.584078,0.242091,6.710386,0.181737
S1616,3.850894,3.106479,0.523951,-0.784761,8.367744,0.532274
S1617,5.084718,4.375214,0.415854,-1.737601,9.087523,0.961732
S1618,4.660833,3.857897,0.422206,-1.190422,9.01188,0.931242
S1619,5.096839,4.103734,0.518778,-0.944484,9.581585,1.579616
S1620,5.124912,4.101039,0.57581,-0.900229,9.326466,1.620907
S1621,5.544745,4.275872,0.806222,-0.757906,10.084826,3784834884641358.5
S1622,5.97455,4.784375,0.867909,-0.97284,9.877082,3706868567892321.5
S1623,6.372845,5.44846,0.646088,-1.48234,9.957153,3736919211705920.0
S1624,6.311902,5.447452,0.158166,-1.548555,10.095387,3788798427613414.5
S1625,6.554575,5.900094,0.238009,-2.190495,10.103063,3791679230175056.0
S1626,7.145068,6.488045,-0.160221,-2.791244,10.467165,3928326699468793.5
S1627,7.457555,7.035601,-0.613857,-1.670567,10.634011,3990943998087814.5
S1628,6.251557,5.84671,0.218279,-0.192048,9.460693,3550597789122222.5
S1629,6.458461,5.554602,0.590325,0.114004,12.54948,2919538397336310.5
S1630,7.287264,6.374663,0.665276,0.081383,12.875633,2911911401247371.5
S1631,7.603241,6.309725,0.782431,-0.03589,13.761782,2044473977739465.0
S1632,7.719874,6.611752,0.847338,-0.140634,12.948162,1932737606834574.0
S1633,8.307512,6.849946,0.843177,-0.678204,14.291443,0.513938
S1634,8.781689,7.573601,0.743229,-1.531228,14.552897,0.481153
S1635,8.805415,7.771276,0.612163,-2.536165,14.653776,0.486306
S1636,8.376146,7.602787,0.517072,-3.124437,13.380685,0.474389
S1637,8.628817,8.12024,0.017905,-8.172421,13.787794,0.500678
S1638,7.026593,6.280236,0.219821,-3.799839,12.19467,0.378794
S1639,5.084535,4.258994,0.830938,-0.737374,9.196133,0.262193
S1640,3.311047,2.716119,0.888063,0.241385,6.528783,0.184886
S1641,2.02732,1.501468,0.855544,0.622325,4.813466,0.136455
S1642,3.091401,2.625835,0.777043,-0.034942,5.36559,0.266495
S1643,4.518276,3.561941,0.717604,-0.370511,10.599222,0.867523
S1644,4.156447,3.081556,0.733408,-0.174332,10.792935,0.843075
S1645,4.289098,3.32209,0.685532,-0.45104,10.552826,0.861157
S1646,4.278391,3.310139,0.56287,-0.634068,10.347929,0.852399
S1647,5.142614,3.77997,0.656768,-0.509293,11.237136,4217296791859299.5
S1648,5.383969,4.167559,0.547601,-0.843289,11.487256,4311166820092458.5
S1649,5.987137,4.987949,-0.00091,-0.943367,11.465452,4302983779569526.5
S1650,5.465439,4.370431,-0.13466,-0.441637,10.976133,4119342374064084.5
S1651,5.028296,3.911284,-0.359294,-0.133847,10.38465,3897358822531086.0
S1652,5.295085,4.407935,-0.388662,-0.14434,10.505675,3942779501272962.0
S1653,5.312614,4.435853,-0.480071,-0.116564,10.517186,3947099579215517.5
S1654,5.037748,4.105034,-0.39024,-0.029631,10.240676,3843325384801832.5
S1655,4.746949,3.984754,0.221205,-0.226388,8.58297,3069027505667525.5
S1656,4.630567,3.949239,0.396828,-0.165004,8.638834,3242154131942964.0
S1657,4.609847,4.011511,0.292012,-0.158238,8.994102,3375486201311019.5
S1658,4.699718,3.997472,-0.310421,-0.149539,10.250608,3847052864093418.5
S1659,5.045219,4.261001,0.099529,-2.42552,9.858547,0.307472
S1660,5.139674,4.52433,-0.457695,-4.733402,9.645338,0.328009
S1661,2.744286,2.550693,0.016903,-1.357153,4.391659,0.203243
S1662,2.334469,2.130288,-0.0618,-0.729315,3.627831,0.177582
S1663,2.49668,2.091804,0.237602,0.037641,4.738652,0.216089
S1664,4.07819,2.796536,0.315696,-0.056107,10.739942,4030699899098394.5
S1665,4.598107,3.284109,0.34972,-0.139199,10.986528,4123243617241293.5
S1666,4.155817,3.120612,0.516212,0.069419,10.394221,3900950818533882.0
S1667,4.527292,3.585105,0.348563,0.052151,10.452146,3922690069235168.5
S1668,4.82275,3.663418,0.432292,0.037152,10.789271,4049213071266608.0
S1669,5.201684,4.05181,0.561546,-0.02923,10.880493,4083448685033940.5
S1670,5.550885,4.28507,0.389528,-0.2937,11.722661,4399514309282554.0
S1671,5.640862,4.304678,0.160491,-0.362761,12.069955,4529853736698221.0
S1672,5.727445,4.248244,-0.000981,-0.457458,12.181552,4571736087332861.0
S1673,5.838272,4.456699,-0.151401,-0.466097,12.200986,4579029666929387.0
S1674,6.223984,4.896464,-0.479089,-0.653884,13.198937,4953560646240555.0
S1675,6.140199,4.968232,-0.386225,-0.040878,11.98393,4032717511731456.0
S1676,6.032193,5.043012,0.535608,-0.20096,13.197849,0.503186
S1677,6.655593,5.607867,0.14805,-0.746093,14.082067,0.475418
S1678,5.83782,4.892675,0.319949,-0.343725,12.56097,0.463708
S1679,5.436104,4.367663,-0.47525,-0.160379,11.480485,0.549945
S1680,5.127355,3.994217,0.356088,-0.168751,12.583594,0.376802
S1681,5.477875,4.161914,0.096983,-0.615674,13.677748,0.297891
S1682,5.354489,4.299328,0.225471,-0.664178,12.785598,0.312734
S1683,4.950492,4.013002,0.32426,-0.436984,12.314584,0.300036
S1684,4.693328,3.772094,0.41797,-0.217615,11.947847,0.290543
S1685,4.307125,3.469025,0.753744,0.159359,10.353036,0.337776
S1686,4.714828,3.897322,0.824495,0.208134,9.22744,0.652605
S1687,5.484532,4.496489,0.727664,-0.626909,9.600022,0.951292
S1688,6.745447,5.988321,0.683054,-1.827372,10.225147,1.656342
S1689,7.172413,6.431289,0.650827,-2.378021,10.565569,2.143849
S1690,7.214383,6.477383,0.652052,-2.686742,10.050999,2.373364
S1691,6.577983,5.83157,0.867554,-1.776638,9.332415,2.629138
S1692,6.647852,5.991518,0.533419,-1.587351,9.734942,4.447303
S1693,6.922244,6.402668,-0.442531,-1.703129,9.297743,5.782195
S1694,7.655233,7.221422,0.719555,-3.803928,9.616894,6.338294
S1695,8.516665,8.321788,0.705964,-14.610742,10.255434,7.0709
S1696,8.142693,7.906566,-0.022451,-17.144958,9.867987,6.829577
S1697,7.004142,6.528781,0.044235,-5.002815,9.024175,6.029504
S1698,5.782171,5.348135,0.370478,-0.928794,7.832273,4.880109
S1699,5.441741,5.160533,0.558725,-0.211023,7.55683,4.458187
S1700,4.813089,4.424162,0.643173,0.135789,6.616617,3.560271
S1701,4.456313,4.083828,0.723457,0.254731,6.488185,3.011315
S1702,4.358779,4.068517,0.794946,0.280222,6.88852,2.563385
S1703,4.198835,3.838131,0.821413,0.250017,7.284265,1.859075
S1704,4.247928,3.636288,0.701158,0.040516,7.934282,0.927226
S1705,4.299406,3.407161,0.612397,-0.349679,8.223832,0.382043
S1706,4.36484,3.472657,0.376344,-0.923294,8.546097,0.35806
S1707,4.653326,3.842972,-0.157502,-3.223059,8.187425,0.353416
S1708,3.93287,3.16824,-0.702606,-2.372472,7.891098,0.284112
S1709,2.803099,2.143909,-0.615425,-0.665602,6.135419,0.198831
S1710,1.755738,1.3786,0.596559,0.109124,3.0909,0.16078
S1711,2.808621,2.341179,0.636641,-1.149944,5.719967,0.342718
S1712,4.246775,3.43704,0.602865,-1.209582,10.17128,3817281068156748.5
S1713,4.665447,3.782532,0.657729,-1.329411,10.074224,3780855766720592.0
S1714,5.256327,4.459244,0.681856,-1.872366,10.269681,3854210960401156.0
S1715,5.739668,4.741586,0.736486,-1.752403,10.224109,7594701151311609.0
S1716,5.848853,4.676905,0.491552,-1.638628,9.822779,7265309375765608.0
S1717,6.197401,5.004252,-0.240276,-1.639572,9.524427,1.0596170909568888e+16
S1718,6.759644,5.732941,-0.364538,-2.09595,9.678844,1.4069648120422096e+16
S1719,7.122247,6.225946,-0.068469,-3.293996,10.225439,1.4599826317604954e+16
S1720,7.289373,6.519077,-0.15945,-4.141713,10.109784,1.4843899650010238e+16
S1721,7.285545,6.572126,-0.497981,-4.787998,9.933482,1.4771906982866936e+16
S1722,7.074093,6.368167,-0.360577,-2.800959,10.040881,1.4519604072742574e+16
S1723,6.097598,5.407444,0.456364,-1.062452,8.886725,1.2735290472927344e+16
S1724,4.98103,4.288066,0.589854,0.051104,7.502357,8214193798054559.0
S1725,5.200621,4.440422,0.728311,0.211746,8.542547,7156044805516197.0
S1726,5.284631,4.537768,0.789303,0.222796,8.840694,6457495220314451.0
S1727,5.312388,4.503896,0.830381,0.116536,9.808393,3811193327360450.0
S1728,5.306048,4.576559,0.904863,-0.031762,9.099039,2795153591817954.5
S1729,5.560144,4.818942,0.805364,-0.588455,10.074855,1070579040099893.1
S1730,5.972232,5.232199,0.381292,-1.82909,10.393151,0.467352
S1731,5.340767,4.519222,0.163966,-1.422289,9.992116,0.389027
S1732,4.590822,3.643095,0.056834,-0.810504,8.380972,0.306757
S1733,4.648868,3.918306,-0.298802,-0.943232,8.328497,0.333831
S1734,3.947497,3.391091,-0.226418,-0.380539,7.190597,0.308164
S1735,3.501925,3.103003,0.350807,0.008672,5.921026,0.306673
S1736,3.449405,3.028202,0.654176,0.111157,6.028162,0.42623
S1737,4.70832,4.058047,0.563418,-0.658475,8.383867,0.807441
S1738,5.651748,5.019004,0.468275,-1.208128,9.079624,1.272209
S1739,6.103065,5.528099,0.46144,-1.561475,9.229338,1.552492
S1740,5.960731,5.429827,0.520518,-1.543798,8.888872,1.567386
S1741,5.690169,5.2355,0.633166,-1.405065,8.671791,1.527942
S1742,4.861724,4.315429,0.186971,-0.715404,7.905996,1.286604
S1743,4.694908,4.006928,-0.44708,-0.472777,7.531858,1.193148
S1744,4.806617,4.256284,-0.641431,-0.366806,7.42465,1.220008
S1745,5.450397,4.692182,-0.422315,-0.734565,9.159769,1.42787
S1746,6.616408,5.767955,-0.736884,-0.552616,10.016559,1.590452
S1747,6.726083,5.872133,-0.872327,-0.135745,10.32904,1.438986
S1748,6.419759,5.543861,0.460094,0.03245,11.068026,1.094326
S1749,6.620837,5.602706,0.564205,0.044983,11.87882,3283898372189032.0
S1750,6.739217,5.535038,0.438644,-0.062725,12.349266,3056345369116850.5
S1751,6.938327,5.589203,0.296285,-0.167411,12.847346,2764671240450076.5
S1752,7.112788,5.924198,-0.053639,-0.252506,13.034601,3130424141137545.5
