Segment,RMSE,MAE,Pearson's r,R²,Max Error,MAPE
S1,3.723967,3.562057,0.357321,0.086066,5.070364,0.985723
S2,3.723401,3.49836,0.353464,0.084043,5.019664,0.980118
S3,3.762998,3.463402,0.298275,0.034329,5.420555,1.021135
S4,3.984329,3.634185,0.102319,-0.036614,6.676306,1.297961
S5,4.366336,3.911889,-0.173927,-0.129943,7.921748,2973031665820257.5
S6,4.643678,4.129643,-0.262031,-0.186143,6.87077,2578599767645700.0
S7,4.247682,3.600185,0.065252,-0.162911,7.437993,2791478541932031.0
S8,4.12973,3.41926,-0.031556,-0.100242,7.472418,2804398355953041.0
S9,4.383012,3.690412,-0.518961,-0.271116,6.726252,2524362166733338.5
S10,4.756208,4.15987,-0.578992,-0.271527,7.747813,5339394910016485.0
S11,4.905268,4.243966,-0.605658,-0.509619,7.766782,8053231131662669.0
S12,5.339695,4.639027,-0.654227,-1.016471,7.921085,1.1181709342461222e+16
S13,5.750902,4.98322,-0.419235,-2.184507,8.054595,1.4296189277247998e+16
S14,5.810584,5.183631,0.13448,-2.519514,7.952932,1.4253401327788288e+16
S15,5.766327,5.137651,0.160164,-2.214445,7.95797,1.4230781998659818e+16
S16,5.508865,4.869622,-0.02398,-1.853354,7.992264,1.3951716823049774e+16
S17,4.89213,4.219928,0.200627,-0.83024,7.551152,1.1082658335686738e+16
S18,4.615739,4.111981,-0.094153,-0.685868,7.312687,1.0340750194952494e+16
S19,4.398944,3.826713,0.109048,-0.693933,7.056038,9869455286877608.0
S20,4.279861,3.739623,0.557553,-1.014926,7.113244,9489501973615086.0
S21,4.086813,3.671114,0.628494,-0.853609,6.541689,8844973703953595.0
S22,3.587661,3.143767,0.490633,-0.648598,6.313483,6244001329379013.0
S23,2.969507,2.621945,0.408075,-0.386291,4.770458,3544338911540083.5
S24,2.250288,1.87262,0.383276,-0.038565,4.217393,1582787461939578.2
S25,2.179437,1.725088,-0.314499,-0.755491,5.392318,0.322781
S26,2.074956,1.610353,-0.181621,-0.590354,5.208807,0.292669
S27,2.009875,1.458221,0.119573,-0.156189,5.789774,0.248142
S28,2.347519,1.790974,-0.310356,-0.446759,5.775987,0.327374
S29,1.443714,1.23692,0.476203,0.039734,2.406633,0.267163
S30,1.880744,1.49878,0.722055,0.288161,3.919718,0.295048
S31,2.976008,2.162593,0.617306,0.168538,7.406233,0.324863
S32,3.095884,2.192113,0.531355,0.07602,8.405212,0.294639
S33,3.158243,2.34242,0.42888,0.06985,7.761769,0.349223
S34,3.760051,2.854487,0.093592,0.001848,7.632233,2834484765853679.5
S35,4.368062,3.420751,-0.295,-0.120433,8.13896,5411599884352218.0
S36,4.826611,3.94636,-0.332895,-0.159879,8.064475,8259398041304341.0
S37,5.286191,4.53153,-0.405275,-0.232785,8.061544,1.1211403151064344e+16
S38,6.887521,5.694896,0.201222,0.029771,15.728821,1.0813608677758006e+16
S39,10.231706,7.675832,0.290524,-0.00424,25.576227,1.0834779236416346e+16
S40,10.611015,8.271307,-0.102512,-0.038091,26.509687,1.3764363325551472e+16
S41,10.698662,8.728406,0.073807,-0.006293,26.12944,1.6105543453941362e+16
S42,10.624664,8.500871,0.059955,0.001323,25.962993,1.6162357489140544e+16
S43,10.568332,8.335237,-0.1247,-0.008857,26.126277,1.716700097841597e+16
