Segment,RMSE,MAE,Pearson's r,R²,Max Error,MAPE
S1,4.191499,3.730659,0.17848,-0.157822,6.27744,0.792154
S2,3.940213,3.623897,-0.049987,-0.025735,5.753454,0.980691
S3,4.141197,3.822689,-0.206823,-0.169534,6.333118,1.221975
S4,3.949282,3.321586,0.084618,-0.018457,7.157089,1.003254
S5,4.518694,3.718531,-0.165774,-0.210175,8.634547,2117349425469723.8
S6,4.585828,3.823579,-0.167401,-0.156773,7.966082,2387447108561741.5
S7,4.945655,4.269095,0.190995,-0.576485,8.271468,3104281683550584.0
S8,4.837883,3.94387,-0.251168,-0.509926,8.505082,3191957010496294.0
S9,4.943176,4.151931,-0.434153,-0.616783,8.54732,2653878186017135.5
S10,4.701974,4.220004,-0.565838,-0.242694,7.60406,4317752959247518.5
S11,5.112081,4.274344,0.390148,-0.639598,7.852774,8395241618064595.0
S12,5.878917,4.984757,0.332367,-1.444296,9.134389,1.2387583495946746e+16
S13,6.917455,6.097269,-0.09521,-3.607474,9.466982,1.6630851420957184e+16
S14,6.231316,5.590415,0.278392,-3.047647,8.316783,1.5328780229311038e+16
S15,4.450116,3.997346,0.168327,-0.914477,6.818175,1.100194801321474e+16
S16,4.30979,3.781567,0.09745,-0.746399,6.913126,1.113537852376465e+16
S17,4.492153,3.956658,-0.092292,-0.543196,6.985618,9806185566792568.0
S18,4.323357,3.730894,-0.226799,-0.479052,6.659043,9016662068158034.0
S19,4.173834,3.464404,-0.230531,-0.524999,6.8393,9555528985041986.0
S20,4.781724,4.236674,-5.1e-05,-1.515178,7.78151,1.0578048687378328e+16
S21,3.631622,3.369137,0.716666,-0.463692,5.103276,6694601596686180.0
S22,2.821868,2.471443,0.631893,-0.019918,4.73182,3195833521405548.5
S23,2.937161,2.660986,0.435534,-0.356255,3.951015,1951064142328229.0
S24,2.336575,2.045003,0.310888,-0.119739,4.402631,610572029191044.1
S25,2.403711,1.889438,-0.193056,-1.135376,5.488503,0.356307
S26,2.163309,1.7213,-0.548826,-0.728675,5.610483,0.304817
S27,2.212726,1.727147,-0.688395,-0.401348,4.448898,0.311779
S28,2.122956,1.666658,-0.127662,-0.183204,5.414379,0.296572
S29,2.450756,2.146256,-0.187927,-1.767127,3.739851,0.486377
S30,2.947577,2.711858,0.160502,-0.748449,4.692931,0.571125
S31,3.21144,1.942826,0.349167,0.031781,9.02971,0.24633
S32,3.623509,2.461637,0.500222,-0.265762,9.414051,0.283123
S33,3.856494,2.752375,0.173469,-0.386906,9.794324,0.334522
S34,3.979701,2.939395,0.282954,-0.118175,9.688808,1767160327084499.2
S35,4.56038,3.858744,-0.16339,-0.221266,9.887464,3910379479653752.0
S36,4.453929,3.680451,0.128281,0.012323,8.615649,6475715620976888.0
S37,4.911426,4.221639,-0.08137,-0.064184,8.104317,9850216622339422.0
S38,7.112416,5.771013,-0.136041,-0.034625,17.310804,1.0004528110091632e+16
