Segment,RMSE,MAE,Pearson's r,R²,Max Error,MAPE
S4631,36.829316,23.233591,0.586209,-0.103554,87.710746,0.336981
S4632,40.777515,28.925253,0.57839,-0.416974,87.572997,0.436775
S4633,45.319853,31.477779,0.204577,-0.815654,100.554813,0.430202
S4634,47.327744,32.695082,-0.174191,-0.881003,107.752902,0.46187
S4635,47.481343,31.747354,-0.332779,-0.827409,100.800465,0.417901
S4636,47.344605,31.06654,-0.108333,-0.774704,102.399446,0.392487
S4637,47.485698,32.288366,0.338337,-0.803716,100.1311,0.431035
S4638,49.114941,36.033796,0.526968,-1.051755,103.68132,0.500794
S4639,50.355877,38.598327,0.623926,-1.272785,102.57756,0.534368
S4640,45.132535,32.579785,0.792047,-0.79797,94.671483,0.445199
S4641,27.470985,19.219625,0.735228,0.010955,69.455843,0.322981
S4642,15.944155,13.080315,0.556118,0.276989,30.977092,0.399638
S4643,21.564748,20.021521,0.377599,-0.550663,34.498435,0.994431
S4644,25.712419,23.530724,0.11809,-1.193752,37.021083,1.966685
S4645,25.20664,23.760859,0.030271,-0.94506,34.490073,2.296771
S4646,21.746541,19.229459,0.168591,-0.427,34.663615,2.151998
S4647,20.473961,17.869638,0.042599,-0.252344,35.57773,2.011356
S4648,21.075556,18.858022,-0.139739,-0.298836,33.893606,1.744277
S4649,22.51325,20.315349,-0.386058,-0.473197,42.840723,1.641828
S4650,20.062921,17.662828,-0.391636,-0.758023,40.58657,1.809253
S4651,17.418833,15.864565,-0.209473,-2.950286,29.434115,1.936499
S4652,17.325578,15.456771,-0.323307,-6.336729,32.072755,1.99611
S4653,15.304473,12.806005,-0.472115,-4.057015,26.4757,1.73916
S4654,12.893001,10.566472,0.093592,-0.427636,23.48491,1.374558
S4655,13.685552,9.220674,0.639959,0.173385,34.612154,0.727061
S4656,21.32098,12.96361,0.725888,-0.066448,55.885054,0.323661
S4657,31.250659,20.873839,0.75098,-0.405995,72.18051,0.434738
S4658,38.043303,27.472761,0.781389,-0.700589,76.44484,0.517641
S4659,41.63641,31.709579,0.767966,-1.041032,77.400981,0.556743
S4660,44.738352,36.026336,0.71357,-1.566049,78.775768,0.608346
S4661,47.13903,39.759598,0.525498,-2.309122,81.293277,0.663998
S4662,48.589666,42.37746,0.169258,-3.152695,82.524207,0.708169
S4663,48.721719,42.69684,-0.210733,-3.348128,82.024185,0.713085
S4664,47.874278,41.407255,0.131255,-2.934329,80.883114,0.683966
S4665,46.403524,39.42607,0.50795,-2.404411,78.708954,0.64071
S4666,42.70219,34.233817,0.743332,-1.452887,75.821452,0.533873
S4667,36.489454,27.609078,0.899375,-0.496288,68.26397,0.5219
S4668,27.463571,21.481488,0.962531,0.185064,52.520794,1.041123
S4669,17.800247,16.106473,0.972737,0.573819,31.33734,1.833556
S4670,17.159297,15.052736,0.96423,0.424448,28.326484,2.603723
S4671,22.049794,20.243359,0.953409,-0.352024,30.68928,3.266629
S4672,25.501917,24.493911,0.900995,-2.183986,34.22669,3.716314
S4673,26.845536,26.092756,0.796523,-5.853479,33.341768,3.777374
S4674,26.222214,25.556525,0.614673,-11.431034,35.61092,3.756398
S4675,23.147774,22.104412,0.46213,-7.987881,34.260667,3.498023
S4676,18.665654,16.693631,0.490721,-2.831372,32.801927,2.999779
S4677,14.859022,11.446004,0.528759,-0.638335,27.637533,2.339636
S4678,11.847187,10.234035,0.723099,0.329587,20.55025,1.761647
S4679,13.130371,10.920833,0.821841,0.434152,27.121564,1.055446
S4680,18.363189,13.689381,0.8549,0.044694,37.16557,0.479105
S4681,24.677455,19.750194,0.879614,-0.69734,42.258848,0.504105
S4682,30.13187,26.434876,0.906797,-1.817934,45.578511,0.670102
S4683,34.354369,31.536926,0.878774,-3.550418,48.159348,0.746157
S4684,36.528903,34.129693,0.814589,-5.514296,50.534574,0.763621
S4685,37.132301,34.999144,0.58002,-7.585814,50.667623,0.751521
S4686,36.551833,34.66659,-0.179892,-9.274685,49.288056,0.732297
S4687,34.84022,32.685155,0.219135,-7.008323,48.390056,0.692833
S4688,32.06813,28.754547,0.531995,-3.293527,45.304053,0.593855
S4689,28.52486,24.83614,0.739527,-1.465373,41.536772,0.544141
S4690,24.024286,20.993953,0.874786,-0.355294,37.165923,0.689701
S4691,18.840343,16.927756,0.911406,0.246728,30.398693,1.431409
S4692,15.794595,14.897923,0.935646,0.469836,21.61164,17.554055
S4693,15.962109,13.945255,0.957184,0.372069,24.75647,23.138906
S4694,18.534007,15.777171,0.962265,-0.090911,28.617667,26.971764
S4695,21.596152,19.426677,0.938039,-1.108448,30.351027,29.033914
S4696,23.845819,22.351676,0.876575,-2.812261,30.570017,29.634909
S4697,25.018707,24.190937,0.766035,-7.14446,30.6868,25.752185
S4698,25.232472,24.73142,0.326743,-23.767024,32.033996,31.069029
S4699,23.492591,23.0667,0.08,-50.677547,31.48743,27.455994
S4700,19.856539,19.242485,0.329228,-22.272162,28.913275,27.634333
S4701,15.270373,14.696349,0.704468,-6.329766,21.027333,17.473582
S4702,10.966394,10.252961,0.767942,-2.343011,15.430525,14.189458
S4703,6.638557,6.027162,0.847697,-0.244569,10.741734,4.253806
S4704,3.950399,3.208522,0.761701,0.43616,7.313786,0.408334
S4705,3.928494,2.992465,0.63943,0.321789,8.361591,0.270796
S4706,4.894997,3.358007,0.587442,-0.204427,12.754104,0.256076
S4707,5.907741,4.79372,0.54429,-1.06027,12.253019,0.367703
S4708,7.03832,6.053271,0.2325,-2.800865,14.448357,0.449837
S4709,7.596663,6.571424,-0.192306,-3.864879,15.530786,0.477221
S4710,7.734766,6.761635,-0.603126,-4.764144,14.988971,0.482971
S4711,7.202873,6.228874,-0.45596,-3.830575,14.297536,0.444132
S4712,5.602048,4.740956,0.452053,-1.984529,11.613588,0.349988
S4713,2.739549,2.379765,0.789663,-0.38606,5.77011,0.197102
S4714,1.841505,1.376892,0.891176,0.587379,4.504118,0.207604
S4715,3.539083,2.22928,0.806925,0.044898,9.037465,3391760333864491.5
S4716,5.079532,3.44807,0.683037,-0.452477,10.869519,4079330143174718.5
S4717,6.091274,4.265012,0.140195,-0.849869,11.716402,4397165306776921.5
S4718,6.910709,5.07553,-0.52534,-1.334185,11.80886,4397435147454596.5
S4719,7.335545,5.781526,-0.70881,-1.875128,11.74675,4207174951696795.5
S4720,7.337417,5.866712,-0.580785,-2.341031,11.393626,3947797637157770.0
S4721,7.22017,6.087106,-0.560477,-2.376912,11.050103,4133357951404439.0
S4722,6.862684,5.939647,-0.344726,-2.507044,10.573225,3683691543010005.5
S4723,6.379107,5.59255,0.035441,-2.35008,9.464792,3552136143694947.5
S4724,5.968517,5.077667,0.387076,-1.783122,9.395437,3169538091551252.0
S4725,5.768997,5.097786,0.666034,-0.518328,8.501364,3190561645211754.5
S4726,5.466795,4.712717,0.768813,-0.25251,9.296761,6021420788185419.0
S4727,4.358095,3.415561,0.666877,0.195742,9.147924,3433215593134473.5
S4728,4.650612,3.478562,0.651237,0.283043,9.649244,3107179374610826.5
S4729,5.504615,4.441074,0.576305,0.008561,10.126498,2952008337339735.5
S4730,6.279519,5.51471,0.543139,-0.505774,10.937152,2420818594150571.5
S4731,6.811932,6.379293,0.60514,-1.043791,10.908439,1997550597921923.0
S4732,7.398097,6.884267,0.361409,-1.457809,11.95079,2145967849541824.2
S4733,7.33927,6.806721,0.41253,-1.696737,12.19779,1706247866104419.0
S4734,7.153397,6.694214,0.602518,-1.716058,11.494279,1558982410089217.2
S4735,6.970852,6.320823,0.204572,-1.4045,12.397464,2067445713538775.0
S4736,6.392812,5.476526,0.318701,-0.622808,12.115652,2304354456946857.5
S4737,5.511868,4.622596,-0.066395,-0.25174,10.038377,3396904195238886.5
S4738,4.998269,4.186307,-0.127757,-0.532864,10.290118,0.440723
S4739,5.207069,4.327376,-0.714226,-0.662141,10.211216,0.459141
S4740,3.646973,3.196323,0.032058,-0.056426,6.035815,0.422901
S4741,3.1725,2.612604,0.455929,0.018365,6.727014,0.451377
S4742,3.502418,2.745377,0.284283,-0.50044,7.172615,0.513298
S4743,3.828814,3.233649,0.290131,-1.130551,7.112551,0.592126
S4744,4.329861,3.83049,-0.395148,-0.945301,7.581691,0.652611
S4745,4.949884,4.354579,0.099349,-0.166442,9.670838,0.651286
S4746,6.423461,5.187912,0.467428,0.069893,15.611192,0.639989
S4747,8.55874,6.171907,0.681723,0.046297,21.004442,0.558975
S4748,10.261718,7.172099,0.783173,-0.125144,20.933677,0.402795
S4749,11.81036,8.837982,0.815975,-0.408522,21.240139,0.434098
S4750,13.247809,10.321655,0.878515,-0.747749,21.651275,0.450341
S4751,14.750675,11.864342,0.90607,-1.115669,22.988304,0.473861
S4752,16.28202,13.838022,0.882043,-1.918197,23.423461,0.530321
S4753,17.481895,15.811568,0.847212,-3.438178,23.251958,0.614976
S4754,18.026157,16.78227,0.673714,-5.335531,24.646269,0.654666
S4755,18.498734,17.714087,0.201983,-10.583201,25.102482,0.699131
S4756,18.204206,17.4502,-0.275711,-12.289983,24.199728,0.678451
S4757,17.034482,16.367905,0.183638,-11.606688,21.953892,0.629985
S4758,14.674496,14.081725,0.646302,-8.041286,18.581004,0.549874
S4759,10.964918,10.186812,0.765012,-3.032176,15.359705,0.414284
S4760,7.704567,6.593272,0.783463,-0.465487,12.52226,0.278641
S4761,6.871051,5.743324,0.790083,0.335105,12.7368,4780120644491046.0
S4762,6.82054,5.773409,0.75405,0.359371,15.613573,5859773462060170.0
S4763,7.336568,6.109081,0.712332,0.199356,17.485165,6562181881542636.0
S4764,8.664627,7.094908,0.758532,-0.211145,18.197233,6829420979831175.0
S4765,9.69035,7.938012,0.760177,-0.847068,18.852503,7075343790483429.0
S4766,9.928632,8.416783,0.708533,-1.031425,16.97883,6372154371765583.0
S4767,10.490202,9.428474,-0.265811,-1.32487,18.900509,7093360440792725.0
S4768,10.179337,9.469166,-0.312645,-1.543489,17.478065,6559517251763109.0
