Segment,1D-CNN,ANN,LSTM,CNN-LSTM,GRU,Selected
S1,0.1393008121217761,0.11083600151719432,0.19039856827431,0.4496124192649654,0.10985219882175414,CNN-LSTM
S2,0.47499048243398784,0.16791261724998358,0.13290944935243676,0.1005048407619756,0.12368261020161621,1D-CNN
S3,0.1625781584761761,0.19862040053319419,0.21414581746176253,0.1753398303716775,0.24931579315718932,GRU
S4,0.14279291201931038,0.24282553315629218,0.2016046969242468,0.21902680087586582,0.19375005702428574,ANN
S5,0.1586321628670403,0.12067893517588253,0.21370165155636334,0.3692678085734544,0.13771944182725968,CNN-LSTM
S6,0.27125855186239156,0.10178296480345943,0.25118322364644347,0.20353400855542464,0.17224125113228028,1D-CNN
S7,0.07956884651332814,0.0620020661561049,0.3583454823358175,0.1765416706747258,0.3235419343200224,LSTM
S8,0.12261924807019069,0.09043232285264012,0.16317524486016527,0.054245409768878664,0.5695277744481252,GRU
S9,0.16886180290583314,0.17113266579698222,0.20828809067758292,0.15354174233416448,0.2981756982854383,GRU
S10,0.17216857243896114,0.23913900875598618,0.19911894066021643,0.17016676254777047,0.2194067155970654,ANN
S11,0.15214637771758877,0.6505577921711866,0.061523717790768394,0.07307308492076818,0.06269902739968838,ANN
S12,0.12818181654718339,0.46343234170670905,0.09565868744640599,0.22618575317386871,0.08654140112583263,ANN
S13,0.0567406919069654,0.17197905414486997,0.0688063820845311,0.6748808031620559,0.027593068701577208,CNN-LSTM
S14,0.27460716830020176,0.10537766639194421,0.3155186927744455,0.22927265287576556,0.07522381965764302,LSTM
S15,0.2897563733097622,0.10874065548061895,0.16978868420160845,0.07618170762326722,0.355532579384743,GRU
S16,0.29699672298449104,0.195356979921955,0.11817314846614996,0.1202794427407085,0.26919370588669655,1D-CNN
S17,0.1909895661190196,0.1799519285963286,0.17727619200044567,0.2068648261118065,0.2449174871723994,GRU
S18,0.19669796754886884,0.1890625502404044,0.19527341356704458,0.22988582014087242,0.18908024850281105,CNN-LSTM
S19,0.2443774126917599,0.17958008222757132,0.19231586289828875,0.22932948271916634,0.15439715946321345,1D-CNN
S20,0.205972244386444,0.07227023750205039,0.17867100004303493,0.46885136230183394,0.07423515576663782,CNN-LSTM
S21,0.4292734990652841,0.05253488855016878,0.13800155330078118,0.33826502799416824,0.04192503108959772,1D-CNN
S22,0.4317827629794096,0.30513541375348824,0.08881468418316397,0.08966198072360398,0.08460515836033508,1D-CNN
S23,0.198268801424031,0.3613810894890822,0.1075412610822479,0.1756208711699927,0.1571879768346461,ANN
S24,0.32672837720522474,0.09038028345261422,0.20270171007204874,0.06308653935295574,0.31710308991715613,1D-CNN
S25,0.2132406654320904,0.2601405746934835,0.1812297614514371,0.1198579976368806,0.22553100078610874,ANN
S26,0.17792226717289988,0.16851268777819753,0.22498199697250912,0.1536008697322548,0.27498217834413974,GRU
S27,0.1827351452690068,0.3121884438091989,0.17125422848189284,0.17387324191501052,0.15994894052489084,ANN
S28,0.1936654724268028,0.2830296848967752,0.165030745785116,0.2357010833474285,0.12257301354387697,ANN
S29,0.37376037800239736,0.19965327024240498,0.14109416790311058,0.22465407427777573,0.06083810957431149,1D-CNN
S30,0.0707238142619029,0.2837633553494195,0.22978138195140893,0.37198288426426074,0.04374856417300808,CNN-LSTM
S31,0.3591947897257844,0.10374946877141114,0.3782788252095725,0.08576011992082248,0.07301679637240947,LSTM
S32,0.3014899897018,0.21022710400485622,0.2683021839564608,0.1359144500394264,0.08406627229745689,1D-CNN
S33,0.12059551779089565,0.07866609369727903,0.2800848566110307,0.35500967036090286,0.16564386153989163,CNN-LSTM
S34,0.40796613384016644,0.08922684019325523,0.19009400701635384,0.07484830050650777,0.2378647184437164,1D-CNN
S35,0.13398975087881645,0.2952855637834834,0.18102430732657088,0.17583173692383183,0.21386864108729717,ANN
S36,0.12194526981053783,0.08299144592016387,0.24981266237162053,0.4240095455662816,0.12124107633139634,CNN-LSTM
S37,0.3337622418847999,0.07343934265369814,0.16957582196716284,0.3213357876919319,0.10188680580240757,1D-CNN
S38,0.26041905691584794,0.15353457113765637,0.17687175068816685,0.08491323339831078,0.32426138786001735,GRU
S39,0.1601775717956859,0.11397681069538602,0.184134533054202,0.09480254246977848,0.4469085419849477,GRU
S40,0.1818400696129209,0.15863699730263034,0.20760637060069634,0.17411667910446266,0.2777998833792898,GRU
S41,0.18006353490962626,0.20088658488187508,0.1971881705177738,0.228565899197937,0.19329581049278885,CNN-LSTM
S42,0.19017102162714727,0.6265023552796339,0.051377714211265836,0.08218096097003105,0.04976794791192309,ANN
S43,0.309329783029779,0.39633789795669816,0.03369058917850278,0.13735526407241755,0.12328646576260388,ANN
S44,0.1533348853701573,0.15291614353315786,0.30912021981685506,0.3106909655295733,0.0739377857502568,CNN-LSTM
