Segment,1D-CNN,ANN,GRU,Selected
S1,0.5377584604010613,0.15230192538931556,0.30993961420962096,1D-CNN
S2,0.29844551129794505,0.2946055944107569,0.4069488942912968,GRU
S3,0.25238793379707414,0.47755077234177784,0.27006129386114647,ANN
S4,0.2958004758978558,0.40599868987158777,0.2982008342305585,ANN
S5,0.18400472069842322,0.4780183126426764,0.33797696665889987,ANN
S6,0.08352432710664687,0.5040661055950206,0.4124095672983313,ANN
S7,0.44520915124917476,0.28714719200737876,0.26764365674344653,1D-CNN
S8,0.3867699576314208,0.4653275829921125,0.147902459376468,ANN
S9,0.2569948305457781,0.39856896591780266,0.3444362035364193,ANN
S10,0.3152819798498924,0.27639708115038725,0.40832093899972005,GRU
S11,0.3266999571491721,0.3066383637853309,0.36666167906549757,GRU
S12,0.31434103383081696,0.28703848125199344,0.3986204849171902,GRU
S13,0.22612330504867037,0.3848364677761292,0.38904022717519765,GRU
S14,0.2676571132056296,0.5080733887644842,0.2242694980298863,ANN
S15,0.38834152470008243,0.4227864716378078,0.18887200366211052,ANN
S16,0.19642988191706914,0.27466352128480026,0.5289065967981326,GRU
S17,0.25374700970480424,0.5959083611529788,0.1503446291422175,ANN
S18,0.6007714844275792,0.23609544971002322,0.16313306586240003,1D-CNN
S19,0.3820852617266844,0.424455567234571,0.19345917103874524,ANN
S20,0.4084640543621904,0.369162643129302,0.2223733025085054,1D-CNN
S21,0.2710721883718129,0.39546818993726235,0.3334596216909241,ANN
S22,0.28541049774995497,0.30464464283427417,0.40994485941577086,GRU
S23,0.12083473882407342,0.33501529215838977,0.5441499690175369,GRU
S24,0.24280664516419356,0.6262672588939785,0.1309260959418268,ANN
S25,0.3944874564760398,0.2092604175100334,0.39625212601392545,GRU
S26,0.21328960532401128,0.5636105632975071,0.22309983137847966,ANN
S27,0.6177710113102489,0.15488230421440116,0.22734668447534986,1D-CNN
S28,0.3555989207642162,0.20534823267528,0.43905284656050436,GRU
S29,0.3994844396711699,0.3547944188204052,0.24572114150842575,1D-CNN
S30,0.5458419444312572,0.296426888327528,0.15773116724121414,1D-CNN
S31,0.22274129677347246,0.6866843490941761,0.090574354132351,ANN
S32,0.2598704638895883,0.26924624115315127,0.47088329495726133,GRU
S33,0.3912767159363474,0.14633242383951225,0.46239086022414316,GRU
S34,0.3366469850747583,0.2583280999634519,0.40502491496178966,GRU
S35,0.304174324488862,0.35207072161743724,0.3437549538936996,ANN
S36,0.08934346429772888,0.742290254872492,0.1683662808297773,ANN
S37,0.12160758236286164,0.6631575923891345,0.21523482524800308,ANN
S38,0.478114074795507,0.4461973679823775,0.07568855722211525,1D-CNN
