Segment,1D-CNN,ANN,LSTM,CNN-LSTM,GRU,Selected
S1,0.15264327740218173,0.0814678765200289,0.24380066917582763,0.3413399927182731,0.18074818418368407,CNN-LSTM
S2,0.27953999910945243,0.15014586513206882,0.1988315738374675,0.2400732470802165,0.13140931484079704,1D-CNN
S3,0.07879890918306055,0.25156283960785936,0.33157556244343145,0.24958786094454388,0.08847482782110307,LSTM
S4,0.18016541058938682,0.27394343758821016,0.25232110605330443,0.15153632747097268,0.14203371829813138,ANN
S5,0.10982314781162174,0.19998701496144144,0.2554698398158688,0.15648645310823675,0.27823354430283037,GRU
S6,0.09976870814798557,0.17547642260788013,0.3264369201855667,0.15491058711505062,0.243407361943519,LSTM
S7,0.1227407774969304,0.10739983788694192,0.36470184786568094,0.18874191451723474,0.2164156222332111,LSTM
S8,0.14491821743947517,0.2805010098067927,0.17897152127669014,0.14706337889683863,0.2485458725802032,ANN
S9,0.2627519028000558,0.32012978060397673,0.08772272933136688,0.09986021286770988,0.22953537439689048,ANN
S10,0.17820602339827282,0.2863979595464964,0.07759426034402521,0.12366738125087204,0.3341343754603344,GRU
S11,0.2088707236576018,0.21892084930559313,0.11764784715650524,0.1507753138511405,0.30378526602915895,GRU
S12,0.18141589186146043,0.16204864073186007,0.17725879489476848,0.17649921324829293,0.3027774592636134,GRU
S13,0.1291448777188861,0.14121389069879853,0.1789281058646056,0.18261479926570032,0.3680983264520041,GRU
S14,0.11492365209801081,0.1469541066811684,0.2771796548639752,0.1992518145146134,0.26169077184223055,LSTM
S15,0.18145853181270735,0.365654268222547,0.10967232293454164,0.08904360101270999,0.25417127601748957,ANN
S16,0.23658229147823018,0.12708199309271248,0.06359799433474216,0.10337892229196843,0.4693587988023458,GRU
S17,0.22617165563456104,0.3041541937978688,0.08614180627490804,0.29396905362779596,0.08956329066486565,ANN
S18,0.2576319178095832,0.1813124032887459,0.2980639970929309,0.2236845357640254,0.03930714604471423,LSTM
S19,0.16764975076819985,0.14142650091583447,0.4500389153810216,0.20299490297483722,0.037889929960107795,LSTM
S20,0.3114038239943671,0.2947378264456041,0.1801601407800072,0.13108565059320143,0.08261255818681884,1D-CNN
S21,0.17536571114629199,0.2535856720990198,0.2140310391550968,0.15217340903880058,0.20484416856079093,ANN
S22,0.18501546910366273,0.1530361129440902,0.28952044225870766,0.11927166001215393,0.2531563156813839,LSTM
S23,0.01625103595426163,0.03733772100175922,0.6338486690830215,0.10467879799154048,0.20788377596941715,LSTM
S24,0.03020372193758134,0.49588167773949765,0.1703834854309716,0.06032474346852757,0.24320637142342186,ANN
S25,0.45751000146014537,0.1742650017747841,0.017459538229509696,0.012698503537323443,0.3380669549982415,1D-CNN
S26,0.21653950481087988,0.4493136863078137,0.021063142344843248,0.05654310709317449,0.2565405594432894,ANN
S27,0.23874899362633978,0.0899553685929309,0.07105079432817692,0.5067655649264308,0.09347927852612149,CNN-LSTM
S28,0.24733809911284024,0.12788620284269178,0.2693145493336305,0.1852691383794053,0.17019201033142992,LSTM
S29,0.20048201382472278,0.12376602121930348,0.28935574437321276,0.2967172516867649,0.08967896889599504,CNN-LSTM
S30,0.2811388406307109,0.1733800381254431,0.1924252391515725,0.25132484472144767,0.10173103737083217,1D-CNN
S31,0.21491934216130426,0.161494886449639,0.2433294203015547,0.2743051788443463,0.105951172243154,CNN-LSTM
S32,0.19002764186529403,0.1946351906988205,0.22106512280029292,0.2593192097407186,0.13495283489487533,CNN-LSTM
