Segment,1D-CNN,ANN,BiLSTM,LSTM,CNN-LSTM,Selected
S1,0.21715362925796997,0.2033622541043859,0.2556013138631482,0.26346568333863196,0.06041711943586344,LSTM
S2,0.47328397678914175,0.21121057891058626,0.11577914198190609,0.1775076161544513,0.02221868616391455,1D-CNN
S3,0.20851129452045897,0.2535886813945738,0.23642585049197218,0.26628197866047143,0.035192194932523575,LSTM
S4,0.18355435345740378,0.28683184715771487,0.2999760107983465,0.19785902949681267,0.03177875908972119,BiLSTM
S5,0.21959575781107568,0.18065018187165882,0.3032332515704785,0.24501691203252352,0.051503896714263975,BiLSTM
S6,0.31509619848290943,0.17059220212690224,0.18139131693694838,0.29673754258032914,0.03618273987291066,1D-CNN
S7,0.1850482501908076,0.16566391703623548,0.15675363746265247,0.4520383291459351,0.040495866164368594,LSTM
S8,0.2402521827492014,0.187446007757501,0.2595517578702286,0.29407954841557626,0.018670503207492722,LSTM
S9,0.16013761530925927,0.15638023941941828,0.43796309860487753,0.2226735282439235,0.022845518422522595,BiLSTM
S10,0.18392256329308093,0.2350712276126106,0.34103800044134175,0.2140981631279739,0.025870045524993158,BiLSTM
S11,0.10247221817716022,0.36665201888017146,0.46461290163938884,0.05712514682319605,0.009137714480084054,BiLSTM
S12,0.14088183554395578,0.34486636521745606,0.3442784770423013,0.13822969727022205,0.031743624926064536,ANN
S13,0.19492343691791608,0.2730237685422997,0.1755928481031524,0.2755462197682529,0.08091372666837883,LSTM
S14,0.29748380425446647,0.2018102814554202,0.11281998229415224,0.3478734766012756,0.0400124553946854,LSTM
S15,0.4111299342434655,0.20178212037931265,0.10577774780199245,0.25988560948482964,0.02142458809040015,1D-CNN
S16,0.338867659604891,0.252628172717532,0.2154979779258812,0.16796650317041104,0.0250396865812839,1D-CNN
S17,0.22784699662434765,0.21848396343547227,0.3120913461295257,0.20735545047671283,0.03422224333394176,BiLSTM
S18,0.2362225276858296,0.232518442210094,0.26101727814890757,0.23168005103654374,0.03856170091862577,BiLSTM
S19,0.2780132219472693,0.2310788478943481,0.21265628989686158,0.23667783023977737,0.04157381002174305,1D-CNN
S20,0.27526895684929387,0.18754143001080628,0.17921851424048435,0.28226949829284786,0.075701600606567,LSTM
S21,0.4332694527770228,0.19263714226850512,0.11421615321313361,0.20582861868186222,0.054048633059475555,1D-CNN
S22,0.4804165221502226,0.3118640997864896,0.07126173905924187,0.11721669028218241,0.0192409487218629,1D-CNN
S23,0.2654710378250477,0.4053222744070623,0.14024871086423094,0.15818604544712758,0.030771931456531877,ANN
S24,0.36939525429597087,0.13978002338658702,0.19446134379678254,0.2817799793584523,0.014583399162206323,1D-CNN
S25,0.21410860147895203,0.2256628425678756,0.29585021985637494,0.24546451164007937,0.018913824456718985,BiLSTM
