Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S512,7.328014,7.327206,-0.481168,-4910.082855,7.464695,7.317952
S513,7.288582,7.286365,-0.246202,-1685.140709,7.464695,7.80447
S514,7.194651,7.19107,-0.125214,-1014.648469,7.464695,8.823275
S515,6.950023,6.932413,0.02754,-196.449141,7.393045,10.171406
S516,6.602352,6.556368,0.378361,-70.573688,7.301332,9.739565
S517,5.943352,5.606444,,-8.077742,7.301332,8.460665
S518,5.186592,4.667109,,-4.255248,6.933766,7.283054
S519,4.540156,4.047692,,-3.873967,6.852085,5.579861
S520,3.833094,3.469116,,-4.528008,5.912749,3.634213
S521,3.443789,3.190038,,-6.045316,5.136777,1.540994
S522,3.543061,3.25508,0.728441,-5.367281,5.527031,2.008361
S523,4.201406,3.95996,0.842577,-7.866675,5.731234,3.636847
S524,4.830383,4.694253,-0.398239,-18.086342,6.071081,5.846438
S525,5.359262,5.246943,-0.578864,-26.872274,6.533403,19.575111
S526,5.664348,5.620514,-0.515902,-80.739228,6.533403,20.384377
S527,5.486591,5.324759,-0.065629,-16.559344,6.533403,20.147374
S528,5.523063,5.360395,-0.103244,-16.620704,6.533403,20.426894
S529,5.190594,4.969776,-0.740603,-1.303851,6.533403,18.804533
S530,5.009192,4.803777,-0.81065,-0.233829,6.533403,16.609539
S531,4.258346,3.875982,-0.761784,-0.06607,5.74085,2.730097
S532,4.537198,4.073328,-0.34029,-0.053309,6.80613,4.027871
S533,4.902409,4.524787,-0.315096,-0.090697,6.80613,4.68128
S534,4.856096,4.48458,-0.332886,-0.089869,6.80613,4.188782
S535,5.139585,4.809395,-0.423285,-0.437044,6.80613,4.939706
S536,5.41068,5.055401,-0.22663,-3.648621,6.80613,6.207683
S537,6.139706,6.089861,0.219314,-118.489135,7.173393,7.462848
S538,5.751664,5.675021,0.448188,-32.597255,7.173393,5.362112
S539,5.354633,4.903854,0.187881,-3.359356,7.173393,4.617622
S540,5.800592,5.279262,-0.31974,-0.33965,7.752049,3.726965
S541,5.804452,5.283449,-0.363228,-0.34681,7.752049,3.674556
S542,5.529525,5.011845,-0.16981,-0.270769,7.752049,2.848388
S543,4.977666,4.496692,0.170194,-0.108518,7.752049,1.849102
S544,4.914187,4.419865,0.60709,-0.049921,7.752049,1.893374
S545,13.293611,9.372433,0.449343,-0.057424,30.26091,2.018544
S546,18.582794,13.536551,0.763779,-0.166191,32.736756,2.066522
S547,23.869645,18.823992,0.724695,-0.500287,37.086175,1.445041
S548,23.990696,19.283739,0.431601,-0.475273,37.086175,17.270261
S549,24.017281,19.425324,0.341388,-0.471728,37.086175,17.372554
S550,24.01485,19.410002,0.298793,-0.47996,37.086175,17.337964
S551,20.654127,15.012065,0.62094,-0.139578,37.086175,17.437402
S552,15.759879,9.813066,0.360224,0.033967,37.086175,17.319701
S553,5.761067,5.162115,0.653117,-0.690626,9.180468,17.411732
S554,7.135945,6.025409,0.471438,-2.321935,12.859748,1.435096
S555,9.097008,7.649084,0.17026,-3.821119,14.674043,4.061256
S556,9.014989,7.403819,0.00298,-1.759743,14.674043,3.877621
S557,9.15436,7.674119,-0.547572,-2.344679,14.674043,3.771853
S558,9.579285,8.597181,-0.09735,-3.303905,14.674043,4.081628
S559,9.32577,8.309018,0.004429,-2.860768,14.674043,4.192641
S560,8.29132,7.413271,0.115514,-1.920974,14.674043,4.187712
S561,6.893054,6.530506,0.948241,-1.075814,9.377458,2.460324
