time,ncells,lon,lat,O3,CO,NO,NO2,SO2,PM1,PM2.5,PM10
2024-08-28 01:00:00,0,150.782544,-34.577839,3.338864,0.05830645,0.03138012,0.04665609,0.0031005896,1.6055595,6.412765,40.365993
2024-08-28 01:00:00,1,150.580539,-34.306187,3.2073498,0.05554724,0.029596858,0.03213694,0.003059499,0.7137879,2.153418,7.9885697
2024-08-28 01:00:00,2,149.57333,-33.40333,,,,,,,,
2024-08-28 01:00:00,3,150.761939,-33.917658,3.4466794,0.055918936,0.006292546,0.011077994,0.0029223086,0.9086703,2.6731396,10.675787
2024-08-28 01:00:00,4,150.690141,-34.041702,3.4488401,0.057145238,0.0046743113,0.0075629503,0.003437571,0.72692025,2.449864,10.207913
2024-08-28 01:00:00,5,150.795546,-34.066648,3.4058588,0.06466848,0.08930417,0.11275582,0.0036255822,1.0221277,2.8014228,10.647843
2024-08-28 01:00:00,6,151.046062,-33.891572,3.4014916,0.07171181,0.15375273,0.19449492,0.0035454854,1.2785258,3.083964,11.090856
2024-08-28 01:00:00,7,151.135792,-33.916185,3.430565,0.079773486,0.1778634,0.23139869,0.008068817,1.183404,2.9805298,10.928417
2024-08-28 01:00:00,8,150.81916,-34.47442,3.3411171,0.057703614,0.032105748,0.039904203,0.0031116677,0.8705854,2.382758,8.06752
2024-08-28 01:00:00,9,151.046778,-33.881407,3.4141364,0.07204279,0.14972968,0.19541994,0.003620024,1.2506835,3.056608,11.062308
2024-08-28 01:00:00,10,150.90731,-33.931338,3.3752778,0.07186957,0.15545012,0.18730992,0.0035068137,1.1600633,2.951821,10.975288
2024-08-28 01:00:00,11,151.117809,-33.76526,3.3801966,0.072785236,0.12917137,0.18795349,0.0039845873,1.1066873,2.9397364,10.982143
2024-08-28 01:00:00,12,151.759634,-32.931176,,,,,,,,
2024-08-28 01:00:00,13,150.498009,-34.051688,3.3993506,0.05542292,0.0008760384,0.0018922049,0.0032895452,0.7012066,2.3888695,9.410254
2024-08-28 01:00:00,14,150.997812,-33.799489,3.3397288,0.076885045,0.18114328,0.22858024,0.0041644936,1.3287005,3.1735,11.33325
2024-08-28 01:00:00,15,150.914185,-33.794246,3.3389976,0.072589576,0.16284388,0.20528592,0.00395586,1.393642,3.2392507,11.357174
2024-08-28 01:00:00,16,151.242802,-33.931776,3.448598,0.084426984,0.21052897,0.30572617,0.011443813,1.3681836,3.1937559,11.268134
2024-08-28 01:00:00,17,150.747347,-33.616436,3.4085422,0.056715146,0.021009913,0.038191296,0.03792974,0.81061345,2.5957568,10.847368
2024-08-28 01:00:00,18,151.163933,-33.864353,3.4284978,0.08319634,0.24980785,0.31539962,0.012232296,1.5027488,3.3235326,13.021505
2024-08-28 01:00:00,19,150.766799,-33.795155,3.3763156,0.063015245,0.064622276,0.09242074,0.0033043388,1.0150455,2.80128,10.818362
2024-08-28 01:00:00,20,150.887328,-34.417064,3.3002648,0.062100917,0.07581998,0.0897965,0.03802396,0.8735769,2.471981,9.146345
2024-08-28 01:00:00,21,151.432414,-33.278966,3.4777033,0.060954563,0.034436747,0.05941742,0.002059967,0.9966239,3.068493,11.665782
2024-08-28 02:00:00,0,150.782544,-34.577839,3.317105,0.058116697,0.029783783,0.043601986,0.002912187,1.6137689,6.6445394,43.001514
2024-08-28 02:00:00,1,150.580539,-34.306187,3.2682574,0.05582965,0.027097246,0.029946564,0.0028308502,0.6593157,1.9208987,6.812362
2024-08-28 02:00:00,2,149.57333,-33.40333,,,,,,,,
2024-08-28 02:00:00,3,150.761939,-33.917658,3.4836082,0.05668462,0.005952215,0.010533585,0.0026677826,0.8882642,2.5688252,9.700982
2024-08-28 02:00:00,4,150.690141,-34.041702,3.4820893,0.057648122,0.004298283,0.0069765984,0.0033796674,0.7002687,2.2794356,8.799629
2024-08-28 02:00:00,5,150.795546,-34.066648,3.4557076,0.06338121,0.07166392,0.09093904,0.0035177828,0.96244085,2.61393,9.224825
2024-08-28 02:00:00,6,151.046062,-33.891572,3.4026873,0.06951793,0.13353792,0.16746208,0.003119121,1.1869991,2.9844055,10.556238
2024-08-28 02:00:00,7,151.135792,-33.916185,3.4253247,0.076582395,0.15478744,0.20045263,0.0068854247,1.1014911,2.8945656,10.5080805
2024-08-28 02:00:00,8,150.81916,-34.47442,3.3589356,0.05771064,0.030479304,0.038044892,0.0029191575,0.80458575,2.1580086,7.02869
2024-08-28 02:00:00,9,151.046778,-33.881407,3.4088557,0.069203414,0.12576307,0.16137908,0.0031668278,1.1381302,2.9371512,10.522386
2024-08-28 02:00:00,10,150.90731,-33.931338,3.410859,0.07038821,0.13799915,0.16679417,0.0031444232,1.1038228,2.8561993,10.234985
2024-08-28 02:00:00,11,151.117809,-33.76526,3.4334483,0.06971729,0.11198144,0.16487263,0.003995382,1.0288427,2.8236406,10.438015
2024-08-28 02:00:00,12,151.759634,-32.931176,,,,,,,,
2024-08-28 02:00:00,13,150.498009,-34.051688,3.4293728,0.055994987,0.00087789836,0.0019052477,0.0032799148,0.6725834,2.1832292,7.883157
2024-08-28 02:00:00,14,150.997812,-33.799489,3.3848646,0.07517692,0.16838257,0.21548663,0.0040187505,1.2876945,3.1152964,10.838619
2024-08-28 02:00:00,15,150.914185,-33.794246,3.3563952,0.07084855,0.15478194,0.19669458,0.0037396955,1.3272859,3.1519709,10.7926655
2024-08-28 02:00:00,16,151.242802,-33.931776,3.4456277,0.07931147,0.17799523,0.25463083,0.009592875,1.2399567,3.0882869,10.949693
2024-08-28 02:00:00,17,150.747347,-33.616436,3.4658844,0.057113193,0.016538301,0.02881467,0.01811803,0.7782067,2.510028,10.19094
2024-08-28 02:00:00,18,151.163933,-33.864353,3.4311378,0.07981148,0.22499923,0.28652444,0.010734222,1.4046792,3.2064772,12.473257
2024-08-28 02:00:00,19,150.766799,-33.795155,3.3708124,0.0623549,0.058853537,0.08375487,0.003060534,0.9589067,2.71109,10.138837
2024-08-28 02:00:00,20,150.887328,-34.417064,3.3388767,0.061711486,0.06898265,0.08189471,0.03515014,0.80938965,2.2450416,8.063896
2024-08-28 02:00:00,21,151.432414,-33.278966,3.4570096,0.06022134,0.031779066,0.05428084,0.002332411,0.969373,3.0005202,11.199114
2024-08-28 03:00:00,0,150.782544,-34.577839,3.286746,0.058582705,0.030630304,0.044757746,0.0025759295,1.6945628,7.2375913,48.369186
2024-08-28 03:00:00,1,150.580539,-34.306187,3.2964933,0.05621113,0.025736742,0.028890267,0.0025679716,0.611324,1.7266519,5.8161387
2024-08-28 03:00:00,2,149.57333,-33.40333,,,,,,,,
2024-08-28 03:00:00,3,150.761939,-33.917658,3.5228748,0.057878435,0.0058827917,0.010869176,0.0028553505,0.83731496,2.2851555,7.6869903
2024-08-28 03:00:00,4,150.690141,-34.041702,3.5170586,0.05850543,0.0046194764,0.0077253496,0.0032546078,0.6461278,1.9667288,6.6908174
2024-08-28 03:00:00,5,150.795546,-34.066648,3.4934678,0.064454906,0.067769825,0.08836692,0.003414687,0.89527524,2.2749217,7.06354
2024-08-28 03:00:00,6,151.046062,-33.891572,3.4775615,0.073059,0.13962808,0.18273531,0.0030835394,1.1577011,2.7470362,8.835353
2024-08-28 03:00:00,7,151.135792,-33.916185,3.4812894,0.08191555,0.1687544,0.22806849,0.0070284386,1.0921322,2.6906388,8.886602
