Model,rmse,r
1D CNN,4.041752542474024,0.015509336345692626
LSTM,4.372814581463403,-0.2769293085127362
BiLSTM,4.450399741837813,-0.6417122904321073
CNN-LSTM,1.9824075874850966,0.8586720959308003
GRU,4.186349746501054,0.1127317345997274
ANN,3.6402814238633314,0.23149655290338544
