Segment,RMSE,Pearson_r,MAE,R2,Max_Error,MAPE
S1,3.0808039572120824,0.3077450086758748,2.712731727426187,-0.8580370379557989,4.377996478502887,0.7886079564945584
S2,6.9764727944542635,-0.0209258318460651,4.184026249641174,-0.07088303063133217,16.507616425030303,0.43656830442622235
S3,6.449800212777837,0.3389339824733448,3.4172627771045314,-0.020587860371235278,15.599699425030302,0.25356997912953333
S4,12.467115329554575,0.2761311794649052,7.532086696614492,-0.37698966058539995,26.96110349649485,0.3341337475104979
S5,13.328998932113194,0.10507907315852505,9.78890344987571,-0.8350097596436798,26.05234909649485,0.4660886130877673
S6,12.974170971291358,0.6376263828014871,9.60289985507597,-0.8392326549090867,24.596129496494854,0.44283301584857676
S7,13.206110423989447,0.2250535723644967,9.352379461475667,-0.9375999622628863,25.951785096494852,0.40679853728967735
S8,11.682929026321112,-0.242409236693028,6.615415377194555,-0.5458372745408444,26.72044619649485,0.2759982057539928
S9,11.890074808123376,-0.5003401327531835,7.525416924747524,-0.4294478220282407,26.53124579649485,0.49425096512209127
S10,5.266073775327067,-0.19402716092130504,4.124474757069437,-0.07088018657419481,10.297852093539682,0.702962430634174
S11,4.188714148562805,-0.2470393748021416,3.424739607931734,-0.9221710693431773,6.521575492449044,0.9350437900189776
S12,5.298354714224219,-0.5755637844793504,4.390676546631638,-3.104742118503223,7.335395929113592,1.410734419561712
S13,5.869117364361618,-0.26193005872430164,5.330042290868917,-6.175154049705589,7.1876169291135925,1.8754646333655405
S14,6.034726849708746,-0.2644951332019807,5.935145876285804,-117.51883469600064,7.726078013657219,2.040717047036537
S15,6.166423038022446,-0.278219222340123,6.02942257608228,-64.07277456249405,8.047217774261304,2.490902569624336
S16,5.9157658828304545,0.08268551380346784,5.80639042608228,-58.890046499661615,7.220377591227896,2.390639025500123
S17,6.047357077320715,-0.0746889358948033,5.907408413908942,-52.98471395986079,8.450811591227895,2.872996101991492
S18,5.858255398950201,-0.06951071109013494,5.709421777292616,-50.09813837909938,7.041988943348688,2.7936390985846375
S19,5.705334831316446,-0.5943096584352143,5.472120317898866,-48.07465329543426,8.248109943348688,2.7122721402526118
S20,5.501827564508181,0.023652893133375263,5.371791966029755,-65.28051109504086,7.145347393959263,2.5725642239556947
S21,5.046304393459755,-0.0035062121164494142,4.9019730995666135,-56.921939571669036,6.980964717898799,2.05687491521048
S22,4.848064543670157,0.7519705422150567,4.803297920930134,-53.75892268395097,5.999634520630297,1.9561859580205976
S23,4.3858970694686885,0.37791065755058917,4.283427696942372,-52.44024056920192,5.802530492449042,1.4423090399647747
S24,3.9813165738262635,-0.15563755423767228,3.5728981919456366,-8.302626586460205,6.3425409572947125,1.146008236877435
S25,3.3380592948348307,0.10875964113589033,2.8965657709891666,-4.33945247325441,5.0448329994221215,0.8160706829544876
S26,2.7532711972375807,0.8257221083223618,2.6407882852833167,-3.108371986842025,3.6038229572947116,0.6581066034703872
S27,2.438873984769469,0.725131017374856,2.275510121396237,-2.6754390536675063,3.386713957294712,0.5278236239034931
S28,2.201700970507984,-0.17807104219990366,1.641582283773121,-4.488065599632305,4.3355665063952,0.3315637327137231
