Segment,1D-CNN,ANN,LSTM,CNN-LSTM,GRU,Selected
S1,0.041199439259274946,0.02048551903095094,0.36495440085239006,0.3428227090044165,0.23053793185296742,LSTM
S2,0.2848302433496299,0.19062264193692047,0.14874084508473362,0.19788476881693193,0.17792150081178387,1D-CNN
S3,0.07569671091521109,0.22093527536257734,0.3846592226452432,0.23601013692417944,0.08269865415278706,LSTM
S4,0.18602023871725826,0.32489455567424635,0.25955388982951316,0.14233218075624052,0.08719913502274163,ANN
S5,0.23036393919598736,0.5243440486137214,0.07368394012258656,0.0696242550937728,0.10198381697393186,ANN
S6,0.07927586872184161,0.16381122795976338,0.35641384657148006,0.1793728483557798,0.22112620839114064,LSTM
S7,0.11633206824927741,0.09452157920965829,0.3929373719695101,0.1973241818384203,0.198884798733133,LSTM
S8,0.13762749024423826,0.3004988555102566,0.16260360810179975,0.1425767245436701,0.2566933216000355,ANN
S9,0.28146662691913277,0.3795950303880899,0.05847485728971668,0.0851037578427109,0.19535972756034597,ANN
S10,0.18894848092940703,0.2873205602906224,0.0455978684074702,0.11567111394253005,0.36246197642996814,GRU
S11,0.24635691614231517,0.1822580446148907,0.27474468163776383,0.2220331359479706,0.07460722165705977,LSTM
S12,0.12076068246780806,0.17933343253038975,0.5029547661511328,0.13727457845743152,0.059676540393234806,LSTM
S13,0.13502738418825763,0.20242510745711487,0.21853084001359743,0.19213261147388938,0.251884056867141,GRU
S14,0.1091503365154944,0.1330954658443688,0.3145267346015208,0.22557640751412586,0.2176510555244887,LSTM
S15,0.1927337974296655,0.30637904992014375,0.1446323186922577,0.13819438402934223,0.21806044992858273,ANN
S16,0.20310651273947428,0.16903605891540907,0.10901738627966939,0.14691966284419908,0.37192037922124777,GRU
S17,0.09855541760716585,0.11542094900172024,0.020681310106573366,0.09633972327477694,0.6690026000097617,GRU
S18,0.43091284593890156,0.18132435197890193,0.11376379893301583,0.2213087184424777,0.05269028470670401,1D-CNN
S19,0.11390574091900973,0.062409805840799325,0.7259850262261852,0.08434695033282526,0.013352476681180985,LSTM
