Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S49,8.5212145,8.457573,8.290511,8.204192,8.090103,8.01072,7.6242385,7.5113573,7.7179985,8.18643,7.980287,7.793853
S50,8.457573,8.290511,8.204192,8.090103,8.01072,7.6242385,7.5113573,7.7179985,8.18643,7.980287,7.793853,8.2942505
S51,8.290511,8.204192,8.090103,8.01072,7.6242385,7.5113573,7.7179985,8.18643,7.980287,7.793853,8.2942505,9.334386
S52,8.204192,8.090103,8.01072,7.6242385,7.5113573,7.7179985,8.18643,7.980287,7.793853,8.2942505,9.334386,10.340281
S53,8.090103,8.01072,7.6242385,7.5113573,7.7179985,8.18643,7.980287,7.793853,8.2942505,9.334386,10.340281,11.009235
S54,8.01072,7.6242385,7.5113573,7.7179985,8.18643,7.980287,7.793853,8.2942505,9.334386,10.340281,11.009235,10.8083725
S55,7.6242385,7.5113573,7.7179985,8.18643,7.980287,7.793853,8.2942505,9.334386,10.340281,11.009235,10.8083725,10.406988
S56,7.5113573,7.7179985,8.18643,7.980287,7.793853,8.2942505,9.334386,10.340281,11.009235,10.8083725,10.406988,10.097776
S57,7.7179985,8.18643,7.980287,7.793853,8.2942505,9.334386,10.340281,11.009235,10.8083725,10.406988,10.097776,9.394634
S58,8.18643,7.980287,7.793853,8.2942505,9.334386,10.340281,11.009235,10.8083725,10.406988,10.097776,9.394634,8.911867
S59,7.980287,7.793853,8.2942505,9.334386,10.340281,11.009235,10.8083725,10.406988,10.097776,9.394634,8.911867,9.038733
S60,7.793853,8.2942505,9.334386,10.340281,11.009235,10.8083725,10.406988,10.097776,9.394634,8.911867,9.038733,9.085836
S61,8.2942505,9.334386,10.340281,11.009235,10.8083725,10.406988,10.097776,9.394634,8.911867,9.038733,9.085836,9.213147
S62,9.334386,10.340281,11.009235,10.8083725,10.406988,10.097776,9.394634,8.911867,9.038733,9.085836,9.213147,9.900054
S63,10.340281,11.009235,10.8083725,10.406988,10.097776,9.394634,8.911867,9.038733,9.085836,9.213147,9.900054,9.790388
S64,11.009235,10.8083725,10.406988,10.097776,9.394634,8.911867,9.038733,9.085836,9.213147,9.900054,9.790388,9.328595
S65,10.8083725,10.406988,10.097776,9.394634,8.911867,9.038733,9.085836,9.213147,9.900054,9.790388,9.328595,9.333509
