Segment,1D-CNN,ANN,BiLSTM,LSTM,Selected
S1,0.31321734312520416,0.283843042825912,0.34706312334948736,0.055876490699396084,BiLSTM
S2,0.32331603700203554,0.3175305779222775,0.30730701619550854,0.051846368880178066,1D-CNN
S3,0.3059395793192958,0.35061983452620227,0.2892130229739636,0.05422756318053845,ANN
S4,0.32146177457304903,0.3414201259344506,0.29419133612772763,0.04292676336477283,ANN
S5,0.3237357567033399,0.2835749130683822,0.3450959770672768,0.047593353161001904,BiLSTM
S6,0.341123058409334,0.3211172649467643,0.2921485948919746,0.04561108175192673,1D-CNN
S7,0.28934328387527414,0.34656870835264153,0.3056827672579382,0.05840524051414692,ANN
S8,0.26957175232445457,0.33424764210724234,0.3420756112288786,0.05410499433942404,BiLSTM
S9,0.2837162628357795,0.27653066193184817,0.3868739626712998,0.0528791125610722,BiLSTM
S10,0.2965129581115858,0.348101818399193,0.31351366117953705,0.04187156230968421,ANN
S11,0.28588445651315825,0.3646279046641703,0.30551045230413415,0.04397718651853712,ANN
S12,0.2773388556845557,0.38651819008405675,0.28768732215385573,0.048455632077531896,ANN
S13,0.26974425657867196,0.3791180835482158,0.2928570260177273,0.058280633855384616,ANN
S14,0.2725116848945141,0.44858663663890563,0.23319927010863264,0.045702408357947706,ANN
S15,0.4117411287086935,0.3741874720327911,0.18253323093960208,0.03153816831891324,1D-CNN
S16,0.36069487225120433,0.4173319184036537,0.1936333658670912,0.02833984347805128,ANN
S17,0.31715224939091513,0.368784858279218,0.27647297147176814,0.037589920858098286,ANN
S18,0.31964974963251536,0.3492821661100786,0.29255917920026947,0.03850890505713624,ANN
S19,0.3565942769369974,0.3407568733003153,0.2587559184934217,0.04389293126926646,1D-CNN
S20,0.3271432022632076,0.3275781444667055,0.28498600294045623,0.06029265032963061,ANN
S21,0.3462557983019347,0.42483844146108246,0.19071065898395997,0.038195101253021925,ANN
S22,0.39846128256424523,0.4019118855933722,0.167755925041609,0.03187090680077395,ANN
S23,0.2532076403638028,0.5101943267444906,0.20080117327349595,0.03579685961820989,ANN
S24,0.31524737931420793,0.37363104960353644,0.2606715637539999,0.050450007328255275,ANN
