,1D-CNN,ANN,BiLSTM,LSTM,CNN-LSTM,GRU,Selected
S1,0.1547153275981058,0.15768874540462408,0.19947718284712918,0.1785431975661834,0.17318015565300965,0.13639539093094818,BiLSTM
S2,0.32461023613690465,0.4126367009286534,0.09365657490231152,0.07083731038091527,0.07639067644793861,0.021868501203277515,ANN
S3,0.1822784816379121,0.34869640371056276,0.1423879905095645,0.15556161508959218,0.1424202740991883,0.028655234953180356,ANN
S4,0.3413009615737775,0.1411767498908571,0.0920926405867042,0.2859127417566654,0.10468681861966006,0.03483008757233529,1D-CNN
S5,0.004273303432278096,0.0022834555592712593,0.9825600576059944,0.004333331605145601,0.005214420441555458,0.0013354313557546584,BiLSTM
S6,0.27290796431587894,0.15017814386235706,0.12118413555116982,0.19476826680862802,0.20213544045291684,0.05882604900904913,1D-CNN
S7,0.1493978676125647,0.14759793733540325,0.11084691577611254,0.42759563971342995,0.12529079642352006,0.03927084313896938,LSTM
S8,0.0760820878537145,0.09228005518895004,0.5020359155111215,0.16459717857111097,0.08378906837258229,0.08121569450252035,BiLSTM
S9,0.1715145369422635,0.16922849297994147,0.24442486296366026,0.17828801939675834,0.1767690302389351,0.05977505747844144,BiLSTM
S10,0.12791434695644427,0.39697706718263326,0.17527663822694567,0.12399209351529655,0.1394018215293835,0.03643803258929706,ANN
S11,0.16228372283611264,0.194160493656437,0.16839125170944835,0.1702875600777164,0.19860653947024734,0.10627043225003831,CNN-LSTM
S12,0.15767491885830007,0.15614627267245246,0.12701114467562954,0.14242062981935447,0.3596997377852015,0.057047296189061875,CNN-LSTM
S13,0.30366083973654734,0.1491260747442715,0.15364496033908362,0.16812805146665216,0.17240820743567048,0.05303186627777485,1D-CNN
S14,0.1278541608437328,0.2078158197058117,0.1368648757787572,0.21327549599504253,0.2671772646947934,0.047012382981862555,CNN-LSTM
S15,0.3045550559631684,0.18051281018486823,0.1593330411621965,0.21629193697733665,0.1032952173313795,0.03601193838105066,1D-CNN
S16,0.13079742368020286,0.3716847614989518,0.08896023990724655,0.32468919751113157,0.06475708636863868,0.019111291033828668,ANN
S17,0.1137617858017983,0.1006346784897677,0.047451863934894825,0.06190159478885506,0.6447037611712759,0.03154631581340813,CNN-LSTM
S18,0.12013065932952795,0.13911354787239785,0.12844672225303075,0.19683393799873866,0.36376811092769296,0.05170702161861228,CNN-LSTM
S19,0.14558511223331547,0.1338955037323821,0.29265242497418353,0.15719092625070008,0.18401561140190126,0.08666042140751794,BiLSTM
S20,0.999210296714817,0.000171963197555443,0.000176368116267366,0.00017993597241730428,0.00021881031127606517,4.262568766610345e-05,1D-CNN
S21,0.1904599473381362,0.21685294018458737,0.16134636513141762,0.17322204545944664,0.2140782513680917,0.044040450518320506,ANN
S22,0.19757320596858244,0.19412453754727838,0.1710358511040918,0.16670832724316195,0.2215291876063129,0.049028890530572466,CNN-LSTM
S23,0.16903264603775633,0.1994889159244674,0.1749076432421277,0.17482777595881957,0.22856624519506108,0.05317677364176737,CNN-LSTM
S24,0.10267473730838594,0.11177055454309553,0.11270997266396045,0.09315094362027468,0.5489838056594706,0.030709986204812835,CNN-LSTM
S25,0.07221846380982187,0.7065747178336347,0.09787040354524496,0.0613337236694964,0.03710794899943467,0.024894742142367796,ANN
S26,0.14075240287549515,0.1857271771045397,0.2020681784738333,0.2995652747900247,0.11264468311537351,0.05924228364073338,LSTM
S27,0.10106498341359071,0.16420167778243203,0.22455863592114808,0.30006901044488354,0.16233628371256958,0.04776940872537613,LSTM
S28,0.2502221636624531,0.12892898992515014,0.22659591227404186,0.11037373941214543,0.2624317107160927,0.021447484010116362,CNN-LSTM
S29,0.1857762617586756,0.09292066598019079,0.11501380619305811,0.26519379250375597,0.31906191409833756,0.022033559465981026,CNN-LSTM
S30,0.035443697218488106,0.028861893994454386,0.8522810778800237,0.027015453127027744,0.05186057671696005,0.0045373010630456855,BiLSTM
S31,0.11623325379913917,0.3868634002614398,0.2134237802219418,0.09031135243062316,0.1617713956863546,0.03139681760050097,ANN
S32,0.11605336967684778,0.2663638382311682,0.2772749261221994,0.1370557010679847,0.1487295747728665,0.0545225901289334,BiLSTM
S33,0.11267299194199903,0.6347462326698728,0.1051093454038594,0.06966094451708427,0.05397936294318607,0.023831122523997612,ANN
