Segment,RMSE,Pearson_r,MAE,R2,Max_Error,MAPE
S1,4.191498661432455,0.1784795319446343,3.730659141666667,-0.15782191087841335,6.2774399999999995,0.7921541397695827
S2,3.940213454653396,-0.049987230520886196,3.623896883333334,-0.025734953465328614,5.753453500000001,0.980691319453054
S3,4.141197322412934,-0.20682333847600734,3.8226885166666666,-0.16953432213068487,6.333118000000001,1.221974742483237
S4,3.94928190212323,0.08461786118326829,3.3215857,-0.01845747678759846,7.1570893,1.0032539936492104
S5,4.518693558606883,-0.16577356046170288,3.7185307333333335,-0.21017487133009083,8.6345473,2117349425469723.8
S6,4.585828077590922,-0.1674010609415948,3.8235792916666664,-0.15677340391456496,7.9660822,2387447108561741.5
S7,4.94565453109582,0.19099500903214503,4.269094533333334,-0.5764853565259,8.271468,3104281683550584.0
S8,4.837883112687276,-0.2511684596250108,3.9438695,-0.5099261122751289,8.505082,3191957010496294.0
S9,4.943175635988077,-0.4341532790201616,4.15193125,-0.6167833282902162,8.547320000000001,2653878186017135.5
S10,4.701973685986371,-0.5658377174011648,4.220004183333334,-0.24269370239589327,7.6040600000000005,4317752959247518.5
S11,5.11208053699281,0.39014840789080896,4.274343633333333,-0.6395978163144389,7.8527737,8395241618064595.0
S12,5.878916879523957,0.332367052942277,4.984756675000001,-1.4442958025040982,9.134389,1.2387583495946746e+16
S13,6.917454881148202,-0.09520994934089132,6.097269416666667,-3.6074744655449837,9.466982,1.6630851420957184e+16
S14,6.231316444880631,0.27839231263645403,5.590415149999999,-3.047647218487425,8.316783,1.5328780229311038e+16
S15,4.450116315951441,0.16832736775076948,3.9973460750000007,-0.9144769040794878,6.8181753,1.100194801321474e+16
S16,4.30978976161648,0.09744967691773411,3.7815671499999994,-0.7463990347452776,6.913126,1.113537852376465e+16
S17,4.492152662806689,-0.09229186046288737,3.956658483333333,-0.5431963455222599,6.9856176,9806185566792568.0
S18,4.3233570459769926,-0.22679909472027335,3.730893558333334,-0.47905193740367946,6.659043,9016662068158034.0
S19,4.173834208189495,-0.2305312542385774,3.4644041000000008,-0.5249992082828512,6.8392997,9555528985041986.0
S20,4.781724090568414,-5.069609729643078e-05,4.23667375,-1.5151775535902696,7.78151,1.0578048687378328e+16
S21,3.6316220657987457,0.7166661840786452,3.369136925,-0.4636920828555047,5.103276,6694601596686180.0
S22,2.821867944922333,0.6318933691771067,2.4714426666666665,-0.019917966854534397,4.73182,3195833521405548.5
S23,2.937161028163289,0.4355342566045956,2.660986233333333,-0.3562554547928045,3.9510153,1951064142328229.0
S24,2.3365751249969735,0.3108877603240918,2.0450025083333334,-0.11973906841472948,4.4026307000000005,610572029191044.1
S25,2.4037105797121012,-0.19305584803306172,1.8894383416666667,-1.1353764734411191,5.488503000000001,0.35630655668672545
S26,2.1633092946613126,-0.5488261647745405,1.721299666666667,-0.7286749000333361,5.610483,0.3048165858896444
S27,2.21272568003471,-0.6883953261129239,1.7271474750000004,-0.40134820848356245,4.448898000000001,0.31177869837176037
S28,2.1229555301675895,-0.1276620109709612,1.666658391666667,-0.1832042922862982,5.414378500000001,0.29657202804990573
S29,2.450755752453671,-0.18792653561124922,2.146256016666667,-1.7671274033101008,3.739851,0.48637741958635017
S30,2.9475773813398014,0.16050168849660945,2.711857725000001,-0.7484488691691482,4.692931000000001,0.5711247903147971
S31,3.2114398691526063,0.3491672897030968,1.9428264166666664,0.031781162172583755,9.02971,0.24633044310327668
S32,3.6235089097443436,0.5002224978223726,2.461637383333333,-0.265761737096321,9.4140512,0.28312287841019806
S33,3.8564939803758542,0.17346935490318025,2.7523750833333334,-0.38690614378880106,9.794324,0.3345220327343848
S34,3.9797009043964042,0.2829537607548939,2.939394866666667,-0.1181751571538665,9.688807999999998,1767160327084499.2
S35,4.560379639221664,-0.16339044930146585,3.85874435,-0.22126629394588604,9.887464,3910379479653752.0
S36,4.453929319498288,0.12828091186445462,3.6804513333333335,0.012323306791810928,8.615649399999999,6475715620976888.0
S37,4.91142575278506,-0.08137036445590826,4.2216388333333335,-0.06418434021755659,8.1043174,9850216622339422.0
S38,7.112415713701873,-0.1360407977328938,5.77101275,-0.034624524224245556,17.310804,1.0004528110091632e+16
