Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S2022,7.588814,6.516677,0.482107,0.139568,10.689422,3.549127
S2023,8.99556,8.325631,-0.067153,-0.061734,14.346317,4.197902
S2024,8.719041,8.346769,-0.474611,-0.714803,11.459241,6.535262
S2025,7.480083,7.297289,0.628813,-11.545765,10.011514,6.038531
S2026,7.474646,6.737409,-0.759159,-12.624799,10.259008,5.311692
S2027,7.102662,6.616054,-0.071992,-11.147208,10.091054,4.959182
S2028,6.278319,5.425728,-0.115521,-1.583394,10.300222,3.612219
S2029,6.186365,5.972987,-0.105301,-0.248773,7.566859,2.346205
S2030,6.705467,6.098405,-0.18498,-0.224422,9.918551,0.816917
S2031,6.968654,6.020905,-0.036942,-0.591379,12.397984,0.515805
S2032,6.571025,5.007946,0.182169,-1.297271,10.404073,0.309748
S2033,6.25917,5.524531,0.58345,-1.64293,8.881475,0.375473
S2034,6.305051,5.013582,0.35889,-1.380856,10.584006,0.33032
S2035,10.782732,7.679758,0.144997,-0.8514,21.96428,0.383612
S2036,11.177597,6.842104,-0.822472,-0.823148,25.190174,0.344441
S2037,9.963871,6.045174,0.142286,-0.432752,22.881945,0.306937
S2038,9.658263,5.955157,0.219578,-0.354054,20.999655,0.294407
S2039,12.896526,9.795554,0.569584,-0.625717,22.070224,0.45496
S2040,17.836554,14.100651,-0.62921,-1.501971,26.016633,0.515725
S2041,14.807747,10.269519,-0.304655,-0.588677,28.093376,0.438991
S2042,13.903509,10.34066,0.394967,-0.572162,25.34396,0.441154
S2043,13.144485,9.336013,0.642689,-0.243608,24.28903,0.44433
S2044,13.978926,10.281463,0.082318,-0.217389,23.821422,0.781138
S2045,11.827935,8.466033,-0.298398,-0.07814,26.335258,1.170614
S2046,6.079704,5.379043,0.642684,-1.507369,8.854026,1.553431
S2047,7.325165,6.909956,-0.135324,-2.244918,9.524575,2.168243
S2048,8.17747,7.720255,-0.359754,-13.944636,9.627951,2.753598
S2049,8.004821,7.352277,-0.187231,-4.787162,10.075444,2.691173
S2050,8.065007,7.588535,-0.510321,-0.820925,9.805666,2.425136
S2051,7.84343,7.12442,-0.422161,-0.742787,10.082068,2.224871
S2052,6.092662,5.249187,0.469249,-0.145525,9.892991,1.567568
S2053,4.798431,3.714128,0.58678,0.159736,7.674742,0.929919
S2054,4.672539,3.856752,0.107897,-0.041356,8.082773,0.656275
S2055,5.94104,4.771763,-0.886544,-0.726904,10.488099,0.735072
S2056,2.890554,2.756447,0.352165,-0.20284,4.322958,0.481194
S2057,2.597558,2.000752,0.20299,-0.298668,5.279694,0.342765
S2058,3.090374,2.222313,0.400743,0.024492,6.875075,0.634195
S2059,4.414164,3.934704,0.017998,-0.53026,6.907645,1.045293
S2060,4.88566,4.614179,-0.076528,-2.1499,6.806844,1.450182
S2061,5.507081,5.12822,-0.400514,-7.599141,7.53264,1.7546
S2062,5.428262,4.78393,-0.051053,-7.105172,7.984899,1.763057
S2063,5.366633,4.596901,-0.164442,-1.919031,8.078857,1.663995
S2064,4.939509,4.230927,-0.356,-1.510017,7.989884,1.268145
S2065,5.017998,4.209685,0.215366,0.032044,8.57268,0.805617
S2066,5.059943,3.089579,-0.183685,-0.328893,11.696345,0.337409
S2067,5.077277,3.898057,-0.030678,-0.210106,9.545711,0.697646
S2068,5.342492,4.579714,0.275962,0.073182,8.337405,1.604336
S2069,5.606141,4.847533,0.477448,0.133153,8.203914,2.655923
S2070,7.620603,6.787089,-0.312661,-0.429633,12.158179,5.477952
S2071,7.136852,6.859573,-0.464848,-4.301884,8.77688,8.042378
S2072,7.635079,7.360283,-0.347687,-112.268151,9.088825,14.018188
S2073,7.829477,7.649789,0.089194,-664.527161,9.381624,14.14408
S2074,7.169691,6.729228,0.202317,-9.799178,9.687122,14.189073
S2075,6.798247,5.838519,-0.061866,-1.535464,9.679093,13.466336
S2076,6.431766,5.641247,-0.287091,-0.717278,9.89747,10.772556
S2077,12.475783,9.116182,0.18167,-0.032064,27.638001,6.124944
S2078,13.086265,7.609604,-0.385274,-0.330884,31.254589,1.349509
S2079,12.10388,6.901011,0.152953,-0.448449,28.988655,0.333043
S2080,12.236191,8.581129,0.42697,-0.709182,27.466817,0.447425
S2081,13.086435,10.028264,0.495628,-1.031637,27.143789,0.495983
S2082,14.682884,9.980579,-0.831235,-1.56017,31.615326,0.432781
S2083,6.381177,5.418793,0.274184,-2.523193,12.104898,0.386298
S2084,10.849423,8.723323,0.598519,-1.207128,22.397877,0.46906
S2085,14.249783,11.209841,-0.258663,-1.971989,25.29454,0.474012
S2086,14.40737,11.132362,-0.658355,-2.151701,22.680177,0.442217
S2087,12.846528,10.17483,0.321572,-1.438311,20.90337,0.435312
S2088,12.870641,11.272299,0.875453,-2.084556,20.324959,0.489941
S2089,13.955278,12.482304,-0.197375,-4.674381,23.113665,0.518807
S2090,10.622015,8.894527,-0.519909,-3.348033,20.350956,0.413628
S2091,6.026191,5.523792,0.507712,-1.20553,8.163808,0.327547
S2092,6.100532,5.273665,0.614824,0.085859,8.651847,0.808935
S2093,7.317594,6.53079,0.467135,0.091351,10.276379,2.597968
S2094,8.468688,7.450919,0.182901,-0.360317,11.36036,45.467674
S2095,8.879522,8.158594,0.052773,-2.333811,11.760641,43.654085
S2096,10.075997,9.483736,-0.370404,-11.164375,12.954686,53.933713
S2097,10.701856,10.564546,-0.679487,-177.59422,12.698814,53.853773
S2098,10.257838,10.055914,-0.51392,-72.364083,13.184882,55.005867
S2099,8.959368,8.34162,-0.263158,-9.816181,11.460057,41.146953
S2100,7.806692,7.026655,-0.530829,-8.721581,10.864168,3.468457
S2101,6.659237,6.152485,-0.041297,-0.779361,10.058993,2.105843
S2102,6.713179,6.324451,-0.22177,-0.177928,8.778501,1.143797
S2103,6.168146,4.940889,-0.252614,-0.337833,11.866087,0.510115
S2104,5.596106,4.974003,0.162741,-0.568192,9.825558,0.455389
S2105,5.386028,4.593855,0.810584,-0.612397,8.761478,0.323507
S2106,6.993643,6.055699,-0.101453,-5.233481,10.868288,0.408768
S2107,6.811228,5.003886,-0.786763,-4.042211,13.230856,0.337388
S2108,3.779564,3.48767,0.372087,-2.4503,5.302118,0.315986
S2109,3.517341,3.198606,0.308508,-0.850458,5.943973,0.309502
S2110,3.375695,2.319183,0.033766,-0.551174,7.436066,0.208603
S2111,2.964842,2.360729,-0.338994,-1.111974,6.237362,0.252858
S2112,2.538259,2.38605,-0.678401,-8.642579,3.795465,0.322642
S2113,2.482654,2.026596,-0.230455,-21.904594,4.308762,0.280693
S2114,3.389932,2.822685,-0.031772,-5.041035,6.051718,0.511363
S2115,3.86085,3.381449,0.396011,-3.188615,6.593503,0.717898
S2116,5.068344,4.427136,0.164966,-3.383248,8.205125,1.484931
S2117,5.774212,5.24948,0.237281,-5.373717,7.66143,1.909169
