Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1033,5.331339,3.121571,-0.198107,-0.351937,15.638497,0.235634
S1034,6.107752,4.214176,-0.356357,-0.368643,17.326078,1.091221
S1035,6.058947,4.116237,-0.497454,-0.187517,16.772677,1.240469
S1036,5.956847,4.264597,-0.053333,-0.039409,15.370374,1.35554
S1037,6.374917,4.867376,-0.596739,-0.107849,16.018601,1.645594
S1038,6.313531,5.005754,-0.189043,-0.04199,15.554667,1.75906
S1039,6.396788,5.192781,-0.14746,-0.041413,16.086866,1.627986
S1040,6.393027,5.465439,0.181046,-0.03542,14.91311,1.868462
S1041,6.659273,5.98756,-0.101247,-0.128611,14.918615,1.995339
S1042,6.796338,6.110299,0.575263,-0.247786,12.995752,2.778105
S1043,7.126803,6.664751,0.522299,-0.544561,11.687098,3.012359
S1044,9.179293,8.383315,-0.415953,-11.930023,14.192069,4.163734
S1045,7.437973,6.798527,-0.135164,-7.121043,10.726681,3.628731
S1046,4.536743,4.067063,0.205194,-2.495428,7.76791,1.667383
S1047,4.358526,3.936,0.06894,-2.068694,7.618638,1.648817
S1048,3.981929,2.843497,0.021249,-1.289027,8.630914,2.004829
S1049,4.309995,3.511114,-0.200668,-1.434624,7.607624,2.616063
S1050,4.928575,4.109097,-0.368873,-2.159979,7.646909,2.97029
S1051,5.413197,4.503529,0.230985,-0.061216,9.738202,2.792501
S1052,5.412902,4.711899,0.257083,-0.058578,11.14586,2.56812
S1053,5.061763,4.394902,0.547898,0.085336,9.702267,2.477825
S1054,5.282092,4.413395,0.183772,-0.046662,11.769503,2.241667
S1055,5.303986,4.52707,0.264139,-0.055606,12.107124,2.194324
S1056,5.557145,4.207956,-0.410992,-0.233571,13.902017,2.308627
S1057,5.15765,3.364864,-0.228852,-0.107417,15.058875,1.576721
S1058,5.008681,3.390052,-0.108942,-0.045668,14.620207,1.524661
S1059,4.753303,3.264492,0.257811,0.044651,14.167301,1.145424
S1060,5.293532,3.182516,-0.093636,-0.240185,16.712835,0.57466
S1061,5.253176,3.121207,-0.318075,-0.348522,16.546361,0.54641
S1062,5.779751,3.723024,-0.806144,-0.712583,17.764112,0.624844
S1063,3.529522,2.941102,-0.1711,-2.434725,6.379111,0.833313
S1064,3.213547,2.686273,-0.148014,-1.2854,5.790316,0.76587
S1065,4.306408,3.393679,-0.273645,-0.258421,11.151156,0.712991
S1066,5.075771,3.770889,0.099969,0.007197,11.090675,0.715281
S1067,5.391568,4.17245,0.196723,-0.089533,11.237478,0.682499
S1068,6.5334,5.131564,-0.50991,-0.307032,11.386874,0.836469
S1069,6.968702,5.947976,-0.261033,-0.265441,11.636698,0.877686
S1070,6.952207,5.434646,0.307843,-0.22549,12.015341,0.683655
S1071,7.136396,5.667341,0.156217,-0.335432,12.560578,0.613162
S1072,7.684413,6.419714,0.065488,-0.631569,13.972693,0.674368
S1073,7.404944,6.258932,-0.199255,-0.49039,12.228218,0.701109
S1074,7.173004,6.140678,-0.387125,-0.419783,11.407564,0.767357
S1075,7.553638,6.46714,-0.553089,-0.645125,13.288334,0.667307
S1076,6.968492,6.139934,0.003127,-0.41171,11.937131,0.657996
S1077,5.196995,4.950129,0.625599,0.139578,7.439826,0.703808
S1078,5.011898,4.482148,0.225021,0.00414,8.757969,0.84302
S1079,5.201904,4.416674,0.114493,-0.085345,9.666397,0.886263
S1080,5.879964,4.242207,-0.15736,-0.719894,11.208376,1.004609
S1081,6.980133,4.989616,-0.698578,-2.698346,13.290018,1.219062
S1082,4.145237,3.310762,-0.350429,-0.512973,8.47687,0.641705
S1083,3.001393,2.651037,0.309065,0.084644,5.796733,0.389888
S1084,3.669546,3.284842,-0.275049,-0.670982,5.706783,0.376576
S1085,4.939475,4.389164,-0.817517,-2.053815,7.275121,0.525047
S1086,3.771063,3.36476,-0.591621,-0.430585,6.119334,0.538821
S1087,4.470955,3.801293,-0.668988,-0.966511,7.31468,0.75581
S1088,5.621789,4.668484,-0.690148,-2.119825,10.187396,1.112163
S1089,6.004191,5.227776,-0.168295,-4.000314,9.265247,1.284236
S1090,5.287153,4.789076,0.053092,-4.702907,7.626189,1.184191
S1091,5.518788,5.202684,0.305619,-7.153343,7.823064,1.243986
S1092,5.116094,5.026826,0.883477,-10.534336,6.898865,1.183818
S1093,3.817768,3.503037,-0.141368,-1.417454,5.254697,0.822491
S1094,4.930627,4.048952,0.131638,-0.071565,12.213451,0.799609
S1095,4.70371,3.986195,0.544854,0.148297,11.352603,0.711614
S1096,5.0558,4.234608,0.719025,0.207623,11.73154,0.683999
S1097,4.904481,4.060589,0.830851,0.294997,11.735002,0.560926
S1098,5.205911,4.141292,0.800314,0.168624,12.195747,0.429656
S1099,5.684482,4.177658,0.638626,-0.10615,13.811302,0.353164
S1100,6.33526,4.970309,0.317043,-0.514,13.947644,0.403194
S1101,6.805942,5.23343,0.144384,-1.088891,15.004352,0.40442
S1102,7.069666,5.864985,0.025754,-1.749427,13.817547,0.447448
S1103,7.232114,6.027023,-0.296432,-2.174014,14.816315,0.436868
S1104,7.374728,6.529017,-0.490163,-2.271434,14.32368,0.503633
S1105,5.882301,5.106993,0.592475,-1.052724,11.673395,0.397079
S1106,3.218557,2.75036,0.496551,0.068973,5.280405,0.276984
S1107,3.02059,2.693043,0.537824,0.157998,4.306329,0.284141
S1108,3.42328,2.822738,0.189003,-0.360612,7.270883,0.344768
S1109,3.893296,3.09487,-0.021225,-0.919276,8.79791,0.389158
S1110,3.947733,3.413142,0.127083,-0.440472,8.359757,0.543275
S1111,4.380547,3.565072,0.378798,-0.189476,7.215263,1.329014
S1112,4.506977,3.729407,0.131114,-0.039938,9.530954,1.878172
S1113,4.953293,4.32824,-0.382122,-0.206696,8.932719,2.027036
S1114,5.302789,4.503475,0.02692,-0.490191,8.885221,2.145432
S1115,5.471641,4.47792,0.142389,-0.564183,9.67145,2.258107
S1116,6.21957,5.197872,0.059959,-0.075446,11.026408,2.271334
S1117,6.906634,5.937135,0.547862,0.156997,12.713108,2.111348
S1118,8.503997,7.230407,0.652071,0.113875,15.644755,2.281068
S1119,9.720313,8.489714,0.43238,0.01781,16.110409,2.402816
S1120,11.062489,10.075149,-0.18209,-0.101121,16.438439,2.515908
S1121,12.92583,11.440949,0.514579,-0.220629,23.404603,2.179986
S1122,14.678407,12.625028,0.780919,-0.664262,24.793748,1.431656
S1123,15.923539,13.560209,0.773862,-1.467198,26.110205,0.671089
S1124,16.48083,14.579027,0.605146,-2.585686,26.055318,0.642725
S1125,16.69226,14.991847,0.204333,-3.959407,26.403811,0.644601
S1126,16.902842,15.624725,-0.180316,-7.074533,26.516756,0.655784
S1127,16.476937,15.406291,-0.638174,-8.427212,26.264154,0.620779
S1128,12.995095,11.838138,0.210566,-4.620754,22.460615,0.475495
S1129,10.141027,8.980232,0.583084,-2.16361,19.200032,0.367358
S1130,7.367973,6.226222,0.637783,-0.569475,13.500782,0.272162
S1131,6.01901,4.938103,0.729305,0.134776,11.656857,0.228222
S1132,5.384325,4.726716,0.71595,0.430596,10.181985,0.253667
S1133,5.783387,4.5486,0.618839,0.014301,12.232367,0.307972
S1134,6.274393,4.781958,0.584559,-0.215194,13.955132,0.362291
S1135,5.902958,4.897822,0.60655,-0.115359,11.163008,0.446928
S1136,4.510354,4.005948,0.864094,0.382171,7.641919,0.414256
S1137,5.025946,4.429335,0.814076,0.237372,8.326239,0.442434
S1138,5.700245,5.176252,0.859401,-0.085541,9.269113,0.536891
S1139,7.488158,6.791919,0.538809,-1.710044,13.049119,0.731879
S1140,7.779238,7.161223,0.145901,-2.29321,11.466568,0.757578
S1141,6.838457,6.019765,0.487217,-1.070156,11.004852,0.6595
S1142,6.336436,5.759698,0.654586,-0.069217,9.363119,0.578093
S1143,7.00425,5.934643,0.752659,0.223037,15.55277,0.491261
S1144,9.164495,6.922959,0.847444,0.109783,22.090853,0.396751
S1145,12.146825,9.18587,0.850253,-0.192257,24.255625,0.426076
S1146,15.852426,12.327141,0.94431,-0.802442,28.410284,0.421118
S1147,19.33801,15.998095,0.882733,-1.519073,31.690286,0.52321
S1148,20.577159,17.916866,0.876846,-2.311165,31.624528,0.568006
S1149,21.074023,18.911819,0.650495,-3.344739,31.482971,0.583307
S1150,20.982818,19.032666,0.114907,-4.567652,32.258591,0.5808
S1151,20.28328,18.097168,-0.640541,-4.608183,31.402426,0.535
S1152,19.974426,17.713424,-0.109607,-3.16581,31.085592,0.531456
