Segment,1D-CNN,ANN,BiLSTM,LSTM,Selected
S1,0.28764660141291715,0.2079530174641059,0.45119932976354193,0.053201051359434676,BiLSTM
S2,0.3885310637290992,0.27265556186988615,0.2933178491966881,0.04549552520432698,1D-CNN
S3,0.21254826995998036,0.3873679171043821,0.3354680481891852,0.06461576474645227,ANN
S4,0.2981932242304788,0.3774854018221244,0.2728810877263992,0.05144028622099776,ANN
S5,0.2506700127210508,0.34565579482652636,0.34701521388850376,0.05665897856391906,BiLSTM
S6,0.23701245785834812,0.3168505856011502,0.3823803050447234,0.06375665149577785,BiLSTM
S7,0.26037737150110607,0.24357083428967685,0.42924776126730135,0.06680403294191581,BiLSTM
S8,0.25351337840866267,0.37146621427777177,0.33423001203756486,0.04079039527600083,ANN
S9,0.3445987888446103,0.39251945296953267,0.23775590276713693,0.025125855418720266,ANN
S10,0.30675174442152275,0.4171699992803099,0.24948404420715434,0.026594212091013036,ANN
S11,0.3424419939113462,0.3526980940269616,0.27001303451749287,0.03484687754419948,ANN
S12,0.31770579020912093,0.2978798093170579,0.33963416094309357,0.04478023953072845,BiLSTM
S13,0.2838480708836272,0.29827785075197477,0.3691930192684949,0.048681059095903256,BiLSTM
S14,0.2580630077339465,0.29346484590139726,0.3889900414161939,0.05948210494846272,BiLSTM
S15,0.28613222138431,0.4439125513957305,0.23955955171705304,0.030395675502906172,ANN
S16,0.4038996260738931,0.2725451959410302,0.29777889971581095,0.02577627826926644,1D-CNN
S17,0.30130133027220635,0.36415656131444,0.3105412040396151,0.02400090437373767,ANN
S18,0.36662336009182306,0.30174566817982673,0.27480837274458686,0.05682259898376299,1D-CNN
S19,0.3194157951668152,0.29246209332004774,0.31037865178717666,0.07774345972596056,1D-CNN
S20,0.3847315833110463,0.37180351304063136,0.20370416150473586,0.03976074214358612,1D-CNN
S21,0.31254264103398194,0.3852776784301697,0.2522755191677865,0.049904161368061806,ANN
S22,0.33876435598442384,0.3077321374517176,0.2913839384259978,0.062119568137860834,1D-CNN
S23,0.13082696927984247,0.18180306600210716,0.5841442899255731,0.10322567479247731,BiLSTM
S24,0.10300172144023716,0.4829829512403475,0.3779031131091143,0.03611221421030099,ANN
S25,0.5635481310869532,0.2750923873669329,0.15253979375316898,0.00881968779294488,1D-CNN
S26,0.17001133572342617,0.29255566929424653,0.5320552284725024,0.005377766509824705,BiLSTM
S27,0.4151551402175232,0.2273927828483053,0.32911478865707317,0.028337288277098922,1D-CNN
S28,0.3585978575978062,0.24967194719020658,0.3380738633225889,0.05365633188939831,1D-CNN
S29,0.3037323566395182,0.23464297793433203,0.4083320034079994,0.0532926620181499,BiLSTM
S30,0.39589780456782436,0.2993754206435269,0.25939027239677154,0.045336502391876886,1D-CNN
S31,0.3318905348916192,0.283122794601211,0.334123949030078,0.0508627214770911,BiLSTM
S32,0.30618353646845403,0.31045671773555217,0.33570299852289953,0.04765674727309406,BiLSTM
S33,0.355399858879569,0.292993688668783,0.3087519155009405,0.04285453695070707,1D-CNN
S34,0.3401928883272145,0.28363937149841106,0.32305332765603445,0.05311441251833982,1D-CNN
S35,0.3069802949459589,0.341164081250393,0.3013934301543984,0.05046219364925019,ANN
S36,0.27910556545769727,0.3312907721026383,0.3373933505090407,0.05221031193062369,BiLSTM
S37,0.2158237043406402,0.2675207066426158,0.4434341897217422,0.07322139929500196,BiLSTM
S38,0.3332591898512471,0.3406438771611962,0.2851711026848392,0.040925830302716536,ANN
S39,0.3256921801216513,0.32202845610442454,0.30963311844235136,0.04264624533157295,1D-CNN
S40,0.3163215971814422,0.3171768852966836,0.3219833877025052,0.044518129819369465,BiLSTM
S41,0.32306376571562234,0.3122379347207085,0.32031779899083906,0.04438050057283033,1D-CNN
S42,0.33354532192799696,0.3151948737881404,0.30480273891665016,0.04645706536721307,1D-CNN
S43,0.3163280880226845,0.3108888963835965,0.323307154773502,0.049475860820216246,BiLSTM
S44,0.34345327024958966,0.19988785313782378,0.4016075635260767,0.05505131308650916,BiLSTM
S45,0.12244403477961009,0.11822199160558787,0.5983759932587084,0.1609579803560941,BiLSTM
S46,0.24643295158691403,0.6313787482727897,0.10328140636715058,0.018906893773145566,ANN
S47,0.21844573954885455,0.3717387776752752,0.36464849476835376,0.045166988007517006,ANN
S48,0.28938799452508246,0.2009278317525904,0.4626000689910964,0.04708410473123062,BiLSTM
