Segment,1D-CNN,ANN,BiLSTM,LSTM,CNN-LSTM,Selected
S1,0.19537464899358584,0.13147426365845136,0.3733108985407387,0.24281941410432123,0.057020774702903246,BiLSTM
S2,0.28813887072434335,0.2938423929235649,0.18883423035600336,0.19572418943303035,0.033460316563058604,ANN
S3,0.1894844398747491,0.26819159419355704,0.24083972424642833,0.2635989503022629,0.03788529138300247,ANN
S4,0.22381266229690364,0.26952578522769516,0.21300850603990287,0.2638061739223477,0.029846872513150467,ANN
S5,0.21643570719220165,0.43248778137923277,0.1533988751044288,0.17940095932227512,0.01827667700186153,ANN
S6,0.11570461861613682,0.3962970750123036,0.16669255306381167,0.3012784650490992,0.020027288258648836,ANN
S7,0.21121723793073255,0.18459061860402834,0.2630645883475664,0.2832482904630979,0.05787926465457432,LSTM
S8,0.24948410445644398,0.2846221956210681,0.24421008090899307,0.179523447864987,0.042160171148507564,ANN
S9,0.2486588315091154,0.32452772315422,0.2700423524770988,0.12978286895495092,0.026988223904615725,ANN
S10,0.29749366389240484,0.27985181218829447,0.22174708358555884,0.16518714816779465,0.035720292165947444,1D-CNN
S11,0.27727675266387114,0.26709056367443446,0.21044181487556998,0.21229823776304055,0.0328926310230847,1D-CNN
S12,0.2377578997949008,0.22567686842232226,0.2518624754470893,0.25212503587148066,0.03257772046420659,LSTM
S13,0.2031558078465382,0.285522122154061,0.24725424207788013,0.23343199445487095,0.0306358334666501,ANN
S14,0.18094392423127237,0.2564580205198642,0.27125433564141954,0.25367071838326527,0.03767300122417927,BiLSTM
S15,0.2565527045948906,0.2787509163360508,0.1799937003655558,0.2558465948300394,0.02885608387346392,ANN
S16,0.20092182595965802,0.215088666085676,0.31603492879875406,0.2355323500764329,0.032422229079479094,BiLSTM
S17,0.23388316015160254,0.33937660772968625,0.23275634718109986,0.13443950649009062,0.0595443784475209,ANN
S18,0.3635807587742819,0.19862282861753308,0.15719346738713905,0.2507894862370711,0.029813458983973477,1D-CNN
S19,0.2131658190306357,0.22432501828195114,0.22851919449962824,0.29758147588283895,0.036408492304946395,LSTM
S20,0.2856791166399111,0.26990525880365723,0.19390603487946284,0.2193888182646595,0.031120771412308398,1D-CNN
S21,0.22376675805065407,0.27849410111753764,0.2101084798869212,0.25505510452918856,0.03257555641569783,ANN
S22,0.21967901914669302,0.22876771701235232,0.21614014831428166,0.3077756255097877,0.02763749001688532,LSTM
S23,0.12036507212883944,0.23835185553415164,0.2073395341599364,0.41800139897671174,0.015942139200361333,LSTM
S24,0.17686481534686563,0.34334959244208996,0.27670728244897547,0.17075633198095846,0.03232197778111036,ANN
S25,0.44540322742050475,0.2860862833057589,0.1684456555812094,0.08377525281532285,0.016289580877204706,1D-CNN
S26,0.0907250824800469,0.14263554127459957,0.7185400462381093,0.03500697182957499,0.013092358177670196,BiLSTM
S27,0.3902697007763803,0.19568317642547775,0.20826078809258167,0.13672067154533468,0.06906566316022554,1D-CNN
S28,0.2394626246159831,0.17486487767237024,0.2185218371486884,0.3383703574188197,0.028780303144137823,LSTM
S29,0.22147463049032065,0.2074721112026336,0.30840419012787273,0.22339156377042121,0.039257504408751955,BiLSTM
S30,0.33576311984201335,0.2365814260311749,0.1779977077743596,0.20980292452982457,0.03985482182262757,1D-CNN
S31,0.1658587016216459,0.32412516042575673,0.2045748910486371,0.27194128547349294,0.03349996143046705,ANN
S32,0.1809368008140566,0.18463967166664583,0.299931018330175,0.3025376462703099,0.03195486291881178,LSTM
S33,0.3150960794150937,0.18096661479221984,0.2575771163776807,0.2123528352599382,0.03400735415506747,1D-CNN
S34,0.2605269622361484,0.22396609737037715,0.22866892570051714,0.2518912758102024,0.034946738882755374,1D-CNN
S35,0.22266687927092418,0.24246252776687863,0.21932116473864122,0.28576227862966386,0.029787149593892583,LSTM
S36,0.10651240087222114,0.6130676372198753,0.09523500336831439,0.17464821678390563,0.010536741755683657,ANN
S37,0.10483721110430282,0.4059923372057584,0.15298840409849568,0.3233694501616556,0.012812597429787582,ANN
S38,0.3180983375525458,0.3062569501073937,0.17116959158658673,0.16472591755916174,0.0397492031943117,1D-CNN
S39,0.2826028189941406,0.2870697817786082,0.19745015158888937,0.17866199537140953,0.05421525226695261,ANN
S40,0.23109677426451147,0.2516503695260972,0.25805357683503455,0.22549869901301914,0.033700580361339195,BiLSTM
S41,0.27267405319270704,0.2425392446231726,0.2424905478239264,0.20108650682956306,0.041209647530630895,1D-CNN
S42,0.28680778254564493,0.24300465906481897,0.21010145084555468,0.22673011132501164,0.03335599621897017,1D-CNN
S43,0.23497343043585525,0.2271806594047429,0.24390604883586475,0.2631149630081768,0.03082489831536046,LSTM
S44,0.35822998080113067,0.2606403039933771,0.20979517434129724,0.1540624034816901,0.01727213738250466,1D-CNN
S45,0.12126419288357188,0.11962671007516985,0.30938652894474883,0.42001044182689296,0.029712126269616657,LSTM
S46,0.20479907937037406,0.5285127991934969,0.09797374018408722,0.1544548890253826,0.014259492226659731,ANN
S47,0.1485287699770091,0.19246526220318363,0.20138865218691437,0.43195531581266183,0.02566199982023147,LSTM
S48,0.2029322499383386,0.13423229735795741,0.34224584648358286,0.29063987454311924,0.02994973167700207,BiLSTM
S49,0.20613940225320743,0.2236943590151999,0.2537865113878145,0.23224673494746478,0.08413299239631312,BiLSTM
S50,0.4485016883591577,0.26984744836641156,0.12663062913679204,0.12136825787801411,0.033651976259624426,1D-CNN
S51,0.17837310171924478,0.47521996697883145,0.1606143487707098,0.14454446429839674,0.0412481182328177,ANN
S52,0.2857087899827287,0.2802074735662658,0.18400072883323462,0.2049339470564193,0.045149060561351546,1D-CNN
S53,0.23855375263897224,0.29743083627485273,0.18380622361353843,0.24360232836101922,0.0366068591116173,ANN
S54,0.3364604324557572,0.15299432301553162,0.189067166657481,0.30116005948302393,0.020318018388205357,1D-CNN
S55,0.28187032227345893,0.3790479005999198,0.17597926682214132,0.14295849293586965,0.02014401736860846,ANN
S56,0.20583332981919114,0.24396904702957253,0.23965900597489856,0.26949066105198904,0.04104795612434859,LSTM
S57,0.18432267581895925,0.16972834023077382,0.09817568734023029,0.5317210592284729,0.016052237381564353,LSTM
S58,0.09549470958592468,0.26229816708125187,0.14898372839434076,0.4840518658577875,0.009171529080695321,LSTM
S59,0.15952500404469877,0.2161450205891758,0.2478921285805118,0.3382690336022034,0.03816881318341024,LSTM
S60,0.19770020173174263,0.24562723400441583,0.2254509723178536,0.2891470084823928,0.04207458346359539,LSTM
S61,0.2803752160888898,0.2608484400849227,0.28277802618349995,0.15187055276094558,0.02412776488174166,BiLSTM
S62,0.293928498600072,0.38882643850417126,0.16583474979954038,0.1332595635521524,0.018150749544063923,ANN
S63,0.2832147560115292,0.31654675065186694,0.18973150943780914,0.18096204664970655,0.029544937249088892,ANN
S64,0.2691771747360718,0.2611578679893811,0.22953585372897026,0.20838009541666297,0.03174900812891317,1D-CNN
S65,0.2403253687836357,0.21129051259613615,0.2809088245744868,0.23264896661513798,0.03482632743060275,BiLSTM
S66,0.2202429768066967,0.21004598889225484,0.29314544497388517,0.23903504974240133,0.037530539584762566,BiLSTM
S67,0.23840528888926346,0.17016526527666168,0.1362408436246772,0.4324870946882344,0.022701507521162637,LSTM
S68,0.20780346425004342,0.25739986867534176,0.24216323581070962,0.2539664309935141,0.03866700027039158,ANN
S69,0.23648159317895345,0.3190880360003627,0.20049855666196964,0.20317240602952355,0.040759408129190995,ANN
S70,0.2582801475657818,0.30841784935024374,0.19012534630543199,0.20962231571709472,0.03355434106144707,ANN
S71,0.25487808773525733,0.2483597565213821,0.22044921341051535,0.24545525890482367,0.030857683428021636,1D-CNN
S72,0.1983634401322301,0.739020706702967,0.02877425856129321,0.030150498931254505,0.0036910956722544627,ANN
S73,0.238007976927269,0.30248372090893244,0.2195328706270932,0.22166119896638595,0.018314232570319736,ANN
S74,0.19468304469631226,0.24627229124015249,0.18380883792532957,0.34260403149530705,0.032631794642897394,LSTM
S75,0.1932645642405541,0.3167520874388417,0.2032014413424314,0.21761631676655954,0.06916559021161287,ANN
S76,0.18341314886355503,0.264487958581517,0.31963648060263333,0.2004848960657156,0.03197751588657912,BiLSTM
S77,0.2549329902982755,0.15984692466404377,0.34225342541696185,0.22006658412160346,0.022900075499114995,BiLSTM
S78,0.4325464889136663,0.24517261413278194,0.13461700026101314,0.15780855856777504,0.029855338124762883,1D-CNN
S79,0.30643908798379216,0.23152777676343617,0.18585736394211722,0.22830270433506517,0.04787306697558921,1D-CNN
S80,0.2081665315704967,0.2312831088216988,0.3139007864451864,0.2138460976826522,0.03280347547996569,BiLSTM
S81,0.2743441444762638,0.24636688286626007,0.2616121136073466,0.19046838664699373,0.027208472403136168,1D-CNN
S82,0.14866766482561078,0.5323833405323583,0.14420510153305216,0.15298375535342756,0.02176013775555065,ANN
S83,0.21038228363173125,0.21685658018964737,0.2596303670174095,0.2787926426729881,0.03433812648822352,LSTM
S84,0.08118917794332708,0.5553890951227156,0.2254367361641905,0.12234337518320183,0.015641615586564593,ANN
S85,0.13731694438369557,0.10521426657247668,0.38214149709889905,0.3403458447541839,0.03498144719074474,BiLSTM
S86,0.14678511264114327,0.1946670587751016,0.263275534406654,0.3717682163545318,0.023504077822569733,LSTM
S87,0.2654615263841614,0.25699880222712745,0.23678543358572698,0.20947515614106788,0.03127908166191541,1D-CNN
S88,0.4443662265977074,0.19224784963858157,0.15722225582048402,0.17298044151169562,0.03318322643153221,1D-CNN
S89,0.48686757766726674,0.13997668222761653,0.1530612987756062,0.186825638761933,0.033268802567576375,1D-CNN
S90,0.2578923533069301,0.23081713422209535,0.2277102295695755,0.24164955324253456,0.04193072965886354,1D-CNN
S91,0.19187028999933967,0.4422766436219488,0.15353696502085776,0.16575524446414064,0.04656085689371287,ANN
S92,0.234941563535983,0.36416684955533307,0.1585893252741351,0.21114171454000463,0.03116054709454394,ANN
S93,0.22509884222486268,0.2654808599624742,0.2312873596403914,0.24402550052323144,0.03410743764904109,ANN
S94,0.2664269665411189,0.2893141490433834,0.21791144151496672,0.19645032505452165,0.029897117846009326,ANN
S95,0.3067226069652387,0.2587889248807376,0.20863929416899832,0.18548731113786487,0.04036186284716065,1D-CNN
S96,0.0714737738401091,0.08163742414505551,0.32929737996585506,0.48481640763540745,0.0327750144135728,LSTM
S97,0.17885344561921052,0.198126326141621,0.2624336191533303,0.33156827458654803,0.029018334499290425,LSTM
S98,0.2619271998066985,0.3058405621595013,0.1946176098609015,0.2083856711216795,0.029228957051218963,ANN
S99,0.31443488097884376,0.4903127673238105,0.11190233550830432,0.06988173324639291,0.013468282942648777,ANN
S100,0.5179561376891693,0.18275162220119548,0.16296561334071044,0.09601403532948108,0.040312591439444025,1D-CNN
S101,0.3460371012638787,0.2879246761523662,0.16757082866701536,0.1585712585419825,0.03989613537475744,1D-CNN
