Segment,RMSE,Pearson_r,MAE,R2,Max_Error,MAPE
S1,4.197359195849231,-0.18184516855775182,3.9663304166666666,-0.047709911264840255,5.304256700000001,1.0866959346265221
S2,4.120396142652588,0.7315473994113081,3.5161000166666665,-0.35830370337113115,6.5676487,0.5876184156483065
S3,5.105506548508172,-0.3753682347285918,4.096683166666667,-2.4412083178956103,8.5082894,0.42690113220463793
S4,4.971736895860031,-0.690156402135059,4.261473916666667,-0.7755532841543071,7.716332700000001,0.8764095412697844
S5,4.169715790339786,0.3650699920035147,3.653011133333333,-0.06787755583150856,6.3028977,4646427536552863.0
S6,5.105133489797779,0.49584475330077316,4.5767804666666665,-0.9465683945053416,8.136033,6106905864512345.0
S7,5.729211866916237,-0.34391328852656194,5.003756166666666,-2.865547679598606,8.095075,6076162792256039.0
S8,4.841341908448855,-0.3567433067087519,4.092770083333333,-0.9495605302144481,7.6317806,5728414044388898.0
S9,4.271793876643588,0.5787508547284882,3.98134765,-0.4927310897386161,5.9569197,4471263556865996.0
S10,3.781579414079084,0.17216487157348956,3.6702129833333337,-0.06787600476990097,5.191893,6727777738641175.0
S11,4.189850220064391,-0.5028002467069967,3.664872366666667,-0.310905464118008,5.818158,6423121083328579.0
S12,4.697453211584163,-0.9317791424244211,4.171760666666667,-0.5172633514798783,7.26215,8303895894952573.0
S13,4.613206506922242,-0.5868057947457639,4.460994366666666,-0.9642104189676959,5.6911197,1.5109061162730674e+16
S14,5.449309918259559,-0.6577811028782083,5.092831766666666,-9.377819911355322,6.867196,1.9052057362205704e+16
S15,3.9195897208896318,0.6344071660876053,3.5702343666666665,-1.2548703884692256,5.033991,1.411670912273825e+16
S16,2.2507938893942994,0.8842814811457903,2.062195733333334,0.3354517097680739,3.492084,6372209090501056.0
S17,3.1977416707644832,0.8971735526981586,2.68500655,0.17039671749493912,6.2069634,2192023836071134.8
S18,3.7920954555695885,0.7925962556364028,3.3817966066666667,-0.6796326076034356,6.416996600000001,676200051714957.4
S19,4.534602359592164,-0.003860949725002944,3.9730020116666673,-4.59442463834853,7.684050500000001,0.6343543647107264
S20,3.6018945083328626,-0.42883099566469013,2.7636507333333338,-2.212181470218044,6.8318519,0.3975140689973576
S21,2.5831764624202695,-0.6209751590649426,1.7476579,-0.5741862575103243,5.8338956,0.26739885190618823
S22,2.3574382000169654,-0.4893430164272404,1.6825423000000004,-0.26554832822045826,5.3036856000000006,0.2717739902380752
S23,2.307970679428709,0.4137260087573459,2.231798016666667,-12.456998712680296,2.9247890000000005,0.535930682051203
S24,2.02429866919361,-0.6574100170750534,1.9047131166666669,-3.639002002376248,3.0205057,0.4628229741030379
S25,1.0148648266416689,0.7695225429690624,0.8729639499999999,-0.0342600331592553,1.6934259999999997,0.21050202089109651
S26,1.0122122874457387,0.4301735584229254,0.7549086166666666,0.11164128769699277,1.5792590000000004,0.14443741925445674
S27,1.747168570953728,0.7101606977052823,1.29738065,-0.14377111315388946,3.7454727000000005,0.19065264257185507
S28,1.8644394319764888,0.534545003449295,1.6265071500000001,-0.1070491705442076,3.192450300000001,0.2679146358079983
S29,2.4209955186286636,-0.39514777435762855,2.2073899666666663,-1.588052187463787,4.2157825,0.35376257902484154
S30,3.0059096686257916,0.016612386597793478,2.2424524666666668,-0.5131308819545448,6.055052600000001,0.2889651686179595
S31,4.7298783047467765,0.22569860929021696,3.697351683333333,-0.6850425893332344,9.350615699999999,0.3899405221250065
S32,4.615044133170488,0.6930612063114547,3.7950281166666664,-0.7040420584941072,8.279582999999999,0.38782633714671483
S33,4.207409424242403,0.3480859803570348,3.4585351,-0.07975565692776576,8.172939,0.45656892744910543
S34,5.313695832304479,-0.21686829941352595,4.6136112,-0.18919121430225938,8.934807,4197709586239952.0
S35,5.929413339858757,-0.6862070150004476,5.446663783333334,-0.10756933387257095,9.394678299999999,8972450981216077.0
S36,6.115390021675376,0.3987838119556726,5.726368966666667,-0.19109271117235083,7.793956,1.6182199073078846e+16
S37,7.847759958044389,0.6105579055015155,7.235464583333333,-4.131327784037804,9.7688265,2.7101804997086596e+16
S38,10.140371129577886,-0.8247606542829161,9.64307125,-0.35868445538891525,16.097084000000002,2.7054842961372256e+16
S39,14.065068398945932,0.14971547668319293,11.763782599999999,-0.035492024359081054,26.9736143,2.022579427911028e+16
S40,14.450086831319183,0.46814771579797826,10.780182850000001,-0.09295926212711159,28.400501000000002,1.2756322395777152e+16
S41,15.200259649188222,0.08049816385841922,10.549877566666668,-0.2093863829014937,30.285805800000002,9300170119860474.0
S42,15.894388762251213,-0.3122345887739496,10.5855053,-0.4267664708074359,31.231410800000003,5583657919026073.0
S43,16.85674911755026,-0.6572282519627605,11.944728865,-0.8354196986780138,32.79060963,3234083831530704.0
S44,11.237570690055902,0.4123378926192704,8.589625466666668,0.06412365151592425,23.273619000000004,1.4640384985249114e+16
S45,13.481316325641519,-0.3629079701056492,12.180788583333333,-9.128097143066372,19.590517,2.9108045665789504e+16
S46,6.341133245240528,0.2803562744979858,5.743376666666666,-1.7382180081721512,10.679381,8015942715357925.0
S47,3.5251578554155363,-0.6581489434689826,2.91321875,-0.2175118784060608,6.756182600000001,0.5979324482826408
S48,3.434876536824609,-0.3912059074826822,2.731101333333333,-0.11606686190770632,6.9986004,0.5328657956168761
S49,4.5398225388309354,-0.7421591499350496,4.0793298,-0.3050721041067772,7.3855844,0.8750613765217347
S50,5.0051879660171785,0.5825376970285862,4.1191946,-0.029107486313700637,8.356117,0.5979198607803908
S51,6.204413293538229,0.8382053128348596,4.844069149999999,-0.7941388581365083,9.401221,0.4008993016258116
S52,7.725174188822259,0.8239506948148716,6.858011666666666,-2.687640550832894,10.015649,0.5359212923550327
S53,9.208364735185972,0.5751466353072451,8.78430035,-8.214511348296908,11.788368599999998,0.6289625623938803
S54,9.279389633011403,0.6238666447056563,9.23495285,-71.63014504696868,10.574986999999998,0.6215773097824095
S55,5.908816441410467,0.7053752125686885,5.403960099999999,-3.4900797434293427,8.829071999999998,0.3676130421668075
S56,4.040327022761875,0.6468908550270663,3.5519864999999995,-0.18671417828992554,6.531056999999999,0.2680466920473419
S57,3.7999830220021376,0.8972145426979943,3.6319258333333324,0.3072187285700704,5.666694999999999,0.3727712035848822
S58,5.280460571583555,0.9276897814194728,4.90721675,0.13843040947424434,8.832647499999998,5.3345464649893595
S59,6.367857137317208,0.5463056811777611,5.593237916666666,-1.1404169480889452,11.296532,6.834954088619895
S60,6.936957284272286,0.267025324475103,6.482402,-6.64067194062303,11.200299,6.9479501347974635
S61,5.413272028469857,-0.34784692230398445,4.787507833333334,-4.710639884976504,10.191244999999999,6.1956648422640725
S62,5.064917028084044,0.5541637780597981,4.34067515,-2.3908130490876975,7.9251714,5948633160647890.0
S63,4.875813095626839,-0.2248146525961491,3.8176086,-1.585565150193355,7.1936064,1.0634429964183322e+16
S64,4.047167460792331,-0.8581702227229996,3.623571416666667,-0.7267902085189906,5.5137672,1.159828435163365e+16
S65,4.3319817552076625,-0.8198465345376162,3.8384668666666673,-1.6757698565758643,6.0053425,1.2470948127449126e+16
S66,5.813328362741277,0.02953506458857946,5.178025,-0.14501455912762817,9.3460346,1.2485685106389782e+16
S67,7.785193134735173,0.6710156729950296,6.999384933333334,0.06046764617690792,13.7432096,1.1633776920056982e+16
S68,8.629995255230563,0.8709359157176366,7.158374483333334,-0.17203782628633046,14.5934866,4191636482142442.5
S69,9.633484083798361,0.6953011615099768,7.709968750000001,-0.8668249264325052,16.3151553,1195567890918269.8
