Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S3093,3.920962,3.401221,0.39677,0.021478,7.370772,0.609253
S3094,4.326329,3.977631,0.453139,0.043974,7.370772,1.096882
S3095,3.601042,3.491361,0.869636,-0.449738,4.629228,1.396512
S3096,3.992304,3.817398,-0.045888,-21.448584,5.534323,1.680795
S3097,3.913121,3.682805,0.562966,-4.993808,5.534323,1.597847
S3098,3.654783,3.139729,0.227612,-2.538655,5.534323,1.390684
S3099,3.815989,3.356395,0.306989,-2.718954,5.534323,1.513647
S3100,3.460299,2.989729,0.187029,-2.897398,5.534323,1.108713
S3101,3.031696,2.542665,-0.155017,-1.294609,5.534323,0.755444
S3102,2.034869,1.715407,0.173649,-0.274058,3.429228,0.428017
S3103,1.901013,1.516667,,-0.146345,3.429228,0.399687
S3104,2.434512,2.109743,,-0.424723,3.729228,0.654143
S3105,2.482364,2.143076,,-0.431204,3.729228,0.684411
S3106,2.784195,2.393076,,-0.504787,3.929228,0.872655
S3107,5.152081,3.892142,-0.645839,-4.406097,10.765166,8080332647455351.0
S3108,6.171108,5.187033,-0.740814,-10.442891,10.765166,1.4340426649678128e+16
S3109,6.236839,5.4537,-0.851663,-19.315304,10.765166,1.4340426649678128e+16
S3110,6.051218,4.910624,-0.717213,-6.067071,10.765166,1.4340426649678126e+16
S3111,5.953107,4.717548,-0.713648,-2.435538,10.765166,1.4340426649678126e+16
S3112,5.98727,4.767548,-0.698628,-2.426639,10.765166,1.4340426649678126e+16
S3113,4.77429,3.994891,-0.481632,-1.178855,8.340121,1.0860692424321608e+16
S3114,4.178774,3.626409,,-0.6692,6.129228,9201196844197664.0
S3115,4.229896,3.709743,,-0.713248,6.129228,9201196844197664.0
S3116,4.549378,4.319486,,-1.441945,6.129228,9201196844197664.0
S3117,5.093194,4.929228,,-14.78537,6.129228,1.3801795266296496e+16
S3118,5.312927,5.161341,0.041934,-17.233967,6.129228,1.3801795266296496e+16
S3119,5.167146,5.028007,-0.00642,-18.80586,6.129228,9201196844197666.0
S3120,5.167146,5.028007,-0.00642,-18.80586,6.129228,9201196844197666.0
S3121,5.623749,5.578007,0.316228,-54.593546,6.129228,1.3801795266296498e+16
S3122,5.919969,5.911341,0.798584,-147.780342,6.129228,1.8402393688395332e+16
S3123,5.37213,5.001598,-0.049088,-3.889647,6.129228,1.3801795266296498e+16
S3124,4.974364,4.502819,,-2.846762,6.129228,1.3801795266296496e+16
S3125,4.888533,4.419486,,-2.797984,6.129228,1.3801795266296496e+16
S3126,4.439868,3.986152,,-2.548237,6.129228,9201196844197664.0
S3127,3.778813,3.336152,,-2.110046,6.129228,4600598422098833.0
S3128,3.570943,3.202819,,-2.290037,5.329228,2.192528
S3129,4.328423,4.095895,,-8.56422,6.029228,12.224802
S3130,4.862274,4.662562,,-11.428466,6.029228,22.148314
S3131,4.636031,4.395895,,-8.909582,6.029228,21.71477
S3132,5.067358,4.829228,,-9.895946,6.129228,4600598422098853.0
S3133,5.302787,5.195895,,-24.057022,6.129228,4600598422098854.0
S3134,5.001811,4.829228,,-13.74545,6.129228,4600598422098853.0
S3135,4.599427,4.429228,,-12.766636,6.129228,4600598422098843.0
S3136,4.32062,4.195895,,-16.574248,6.129228,4600598422098833.0
S3137,4.580319,4.479228,,-21.907356,6.129228,4600598422098834.0
S3138,3.928455,3.802819,,-1.686424,4.929228,2.091095
S3139,3.512782,3.236152,,-1.106439,4.929228,1.690492
S3140,3.575407,3.302819,,-1.145588,4.929228,1.742879
S3141,4.104821,3.719486,,-1.195859,6.129228,4600598422098833.0
S3142,4.104821,3.719486,,-1.195859,6.129228,4600598422098833.0
S3143,4.365919,3.919486,,-1.207867,6.129228,9201196844197664.0
S3144,4.960626,4.595895,,-6.059938,6.129228,1.3801795266296496e+16
S3145,5.630692,5.525374,-0.300425,-29.640772,6.606103,1.8760335688734932e+16
S3146,5.973891,5.942041,-0.215744,-115.795054,6.606103,1.8760335688734944e+16
S3147,5.645349,5.558707,-0.317957,-37.129574,6.606103,1.415973726663611e+16
S3148,5.7948,5.725374,-0.259956,-47.568487,6.606103,1.4159737266636114e+16
S3149,5.7948,5.725374,-0.259956,-47.568487,6.606103,1.415973726663611e+16
S3150,5.517443,5.425374,-0.379662,-34.755899,6.606103,9559138844537278.0
S3151,5.424941,5.345895,,-33.567027,6.129228,9201196844197678.0
S3152,5.252324,5.179228,,-35.179549,6.129228,9201196844197668.0
S3153,5.106842,4.936152,,-1.933156,6.129228,9201196844197668.0
S3154,4.876426,4.702819,,-1.80704,6.129228,9201196844197666.0
S3155,4.23179,3.936152,,-1.235323,6.129228,4600598422098834.0
S3156,4.358883,4.052819,,-1.27392,6.129228,4600598422098834.0
S3157,3.964806,3.736152,,-1.23247,5.029228,2.367871
S3158,3.843675,3.636152,,-1.213402,5.029228,2.040105
S3159,4.372465,4.179228,,-10.56941,5.629228,3.870029
