Segment,RMSE,MAE,Pearson's r,R²,Max Error,MAPE
S1,3.626185,3.279431,0.765272,0.218032,4.536976,0.943869
S2,3.892964,3.189069,0.10186,-0.212494,6.94769,0.61199
S3,4.21753,3.33446,-0.398387,-1.348279,6.973809,0.355166
S4,4.8863,4.171166,-0.930246,-0.715054,7.002858,1.076491
S5,4.517708,3.963884,-0.53131,-0.253559,7.101609,5330467124235174.0
S6,5.133165,4.421712,-0.352836,-0.968004,7.77308,5834473365253511.0
S7,5.281261,4.411998,0.092644,-2.284706,8.433608,6330265641031475.0
S8,4.936629,4.086632,0.41937,-1.027058,6.935193,5002415694998271.0
S9,4.8902,4.161829,0.58524,-0.956204,7.171262,5382748811829368.0
S10,4.870445,4.502288,-0.141165,-0.77138,7.277734,1.0011748168424242e+16
S11,4.968072,4.76688,-0.767372,-0.843105,7.015712,9894417088292260.0
S12,5.113052,4.808104,-0.767419,-0.797614,6.816444,1.392269269971124e+16
S13,5.347691,5.126336,-0.455916,-1.639458,6.856543,1.804713359891347e+16
S14,5.500939,5.269228,0.366877,-9.575399,7.139449,1.884050504812962e+16
S15,4.609057,4.145022,0.745302,-2.117917,6.713575,1.6432119654060322e+16
S16,3.053947,2.64711,0.933576,-0.223427,4.229954,9283165878747410.0
S17,2.516414,2.077103,0.894506,0.486255,3.520614,5135842264898504.0
S18,2.764698,2.250687,0.547608,0.107206,4.94526,2047601352380704.2
S19,3.168555,2.771528,0.092045,-1.731489,5.512776,0.445089
S20,3.384672,2.68798,-0.656165,-1.836425,6.710552,0.415584
S21,2.813456,2.330804,-0.531376,-0.867361,5.818021,0.391566
S22,2.729917,1.975605,-0.618872,-0.697059,5.959186,0.326152
S23,1.956287,1.761928,-0.213354,-8.668359,2.91338,0.430692
S24,1.902513,1.662358,0.357571,-3.097611,3.023365,0.411186
S25,1.500847,1.210239,0.458961,-1.261967,2.855435,0.295279
S26,0.709242,0.589922,0.966094,0.563852,1.128363,0.133985
S27,1.460836,1.257392,0.478127,0.200401,2.413457,0.219406
S28,1.762803,1.466407,0.215983,0.010358,2.796909,0.291287
S29,1.747771,1.564893,0.067759,-0.348821,2.397472,0.274607
S30,2.763709,2.187568,-0.015894,-0.279114,4.462003,0.322512
S31,3.950169,3.09189,0.706957,-0.175283,7.644768,0.320124
S32,4.057682,3.371325,0.689777,-0.317299,7.861179,0.367229
S33,4.29132,3.667531,0.009118,-0.123253,7.273136,0.511978
S34,5.538885,4.564078,-0.775172,-0.292121,9.41742,5440164452878775.0
S35,6.139471,5.860947,-0.756476,-0.187434,8.582097,1.049996779154877e+16
S36,6.33466,5.82479,-0.232533,-0.278038,7.862153,1.7219078277647074e+16
S37,7.100894,6.407851,0.579945,-3.201113,8.931724,2.4912533836167708e+16
S38,9.769367,9.281647,-0.268318,-0.261083,15.582179,2.5837160594843744e+16
S39,13.82461,12.086192,0.203866,-0.000389,25.606533,2.345495222348855e+16
S40,13.761159,11.416986,0.517994,0.008773,26.456385,1.9224894031725136e+16
S41,14.421581,11.639324,-0.041485,-0.088651,27.048785,1.7575066886452448e+16
S42,15.137504,11.063137,-0.622632,-0.294118,29.866877,1.172649672894531e+16
S43,15.407434,11.005425,-0.447606,-0.533375,30.519612,6453387749804304.0
S44,11.566808,8.317574,0.336369,0.008482,25.877237,1.0404352468340016e+16
S45,8.933299,7.735364,-0.34498,-3.447203,13.733425,1.9940324609530144e+16
S46,6.704486,6.24906,-0.737237,-2.061013,11.078822,8315763105150676.0
S47,4.204304,4.040566,-0.118574,-0.731826,5.853305,0.960373
S48,3.607157,3.400247,0.376047,-0.23083,4.560769,0.770069
S49,4.553359,4.263023,0.010463,-0.312866,6.293432,0.94349
S50,4.791579,4.25918,0.324743,0.056857,6.85792,0.749266
S51,4.958696,4.367112,0.725173,-0.146013,7.370471,0.479522
S52,6.188752,5.444884,0.397975,-1.366673,9.191988,0.434654
S53,7.651088,7.063897,0.25544,-5.361414,9.635578,0.489026
S54,8.128057,8.077422,0.628981,-54.725198,9.513949,0.545405
S55,6.473777,5.988767,-0.271888,-4.389749,8.349361,0.410081
S56,5.312182,4.594996,-0.413488,-1.051441,9.257317,0.34073
S57,4.613704,4.179758,0.441019,-0.02125,6.933574,0.389448
