Segment,RMSE,MAE,Pearson's r,R²,Max Error,MAPE
S1,3.596112,3.339676,0.794063,0.230949,4.833228,0.967269
S2,3.490031,3.16718,0.319607,0.02551,5.43126,0.668831
S3,3.925536,3.194833,-0.322825,-1.034376,6.745066,0.351962
S4,4.887362,4.204704,-0.98007,-0.715799,7.16655,1.169169
S5,4.8457,4.138411,-0.863937,-0.442187,8.243934,6187896348411161.0
S6,5.715101,5.125806,-0.411165,-1.439514,8.312777,6239569899935675.0
S7,5.889743,5.280949,0.824655,-3.085206,8.442405,6336868668685139.0
S8,5.568234,4.546363,0.703287,-1.578934,8.217704,6168208112040175.0
S9,5.392342,4.549731,0.377618,-1.37857,7.497612,5627707476861397.0
S10,4.950744,4.419424,0.082691,-0.83027,8.015523,1.027823614135493e+16
S11,4.890365,4.643729,-0.570189,-0.785899,7.123268,1.0058748259555438e+16
S12,5.268275,5.073202,-0.930835,-0.908416,6.582933,1.3592302701307832e+16
S13,5.505173,5.291215,-0.746244,-1.797204,7.054945,1.8444413986322344e+16
S14,5.789159,5.57858,0.404388,-10.712619,7.14791,1.997224199538929e+16
S15,5.085115,4.667024,0.842436,-2.795263,6.760713,1.8150704981223936e+16
S16,3.346529,2.848567,0.902353,-0.469076,4.995982,1.0188811991613916e+16
S17,2.42472,1.876373,0.96693,0.523013,3.543892,4947208544146129.0
S18,2.530554,1.999742,0.667872,0.252025,4.859347,1819807782028429.0
S19,2.983558,2.603584,0.153438,-1.421843,5.174216,0.422427
S20,3.15188,2.599309,-0.496286,-1.459674,5.908162,0.417847
S21,2.636567,2.212518,-0.490004,-0.639931,5.21132,0.393333
S22,2.744028,2.264502,-0.699155,-0.714649,5.237223,0.418222
S23,2.774857,2.550268,-0.657757,-18.452206,4.238853,0.627617
S24,2.845537,2.76465,0.718255,-8.166507,3.765102,0.659588
S25,2.253726,2.122111,0.65027,-4.100531,3.263932,0.489677
S26,1.409381,1.268822,0.832593,-0.722272,2.347378,0.275339
S27,1.097243,0.966211,0.845175,0.548898,1.918056,0.189475
S28,1.898674,1.414769,0.133234,-0.148077,3.819927,0.304886
S29,1.810025,1.596449,-0.075367,-0.446619,2.916689,0.291057
S30,2.329905,1.949192,0.422593,0.090922,3.717316,0.300514
S31,3.680517,3.031001,0.74864,-0.020301,6.925808,0.351879
S32,3.930253,3.197631,0.470234,-0.235861,7.490742,0.360091
S33,4.225916,3.688982,-0.143183,-0.089275,7.32383,0.554699
S34,5.317336,4.46598,-0.677944,-0.190821,8.219706,6169710813115839.0
S35,6.254576,5.867223,-0.8798,-0.232376,8.260948,1.1546863902408198e+16
S36,6.743704,6.215268,-0.666702,-0.448419,8.744567,1.8395929959113932e+16
S37,7.92337,7.154609,0.206247,-4.23068,9.880909,2.764425869330378e+16
S38,9.877392,9.629554,0.625852,-0.289126,13.62669,2.856263498111698e+16
S39,13.509684,12.129959,0.863272,0.04467,24.202852,2.5072604226883424e+16
S40,13.731459,11.488693,0.440937,0.013047,26.241257,1.9829493574740348e+16
S41,14.212204,11.254185,0.205525,-0.05727,27.119648,1.624791567390143e+16
S42,15.057442,10.803663,-0.381246,-0.280465,29.333541,1.0710577802462818e+16
S43,15.854289,11.459404,-0.667532,-0.623608,30.993528,6744111168589740.0
S44,12.033148,8.574389,-0.441864,-0.07308,26.902583,1.0853511546236428e+16
S45,10.392869,9.277025,-0.881208,-5.019137,15.260757,2.2314591558482416e+16
S46,8.153764,7.319473,-0.104318,-3.527417,12.930653,9705747338742862.0
S47,4.813816,4.660994,-0.023923,-1.270362,6.557444,1.141316
S48,4.014952,3.855166,-0.09581,-0.524856,5.041599,0.873226
S49,4.275266,4.067171,0.940525,-0.157399,5.643282,0.939967
S50,4.478616,4.162693,0.834536,0.176037,6.228845,0.762601
S51,4.688511,3.899944,0.909636,-0.02453,7.311696,0.394941
S52,6.115664,5.308353,0.823851,-1.311103,8.654346,0.403018
S53,7.808139,7.404331,0.661284,-5.625251,9.459711,0.527895
S54,8.347871,8.282065,0.439695,-57.78,9.826528,0.557848
