Segment,RMSE,Pearson_r,MAE,R2,Max_Error,MAPE
S1455,7.527426656995682,0.5567023102556408,7.424475694173684,-26.070853350111516,8.876562534576452,1.6669376693128297
S1456,4.959833544346627,0.8243344876948024,4.887073426403892,-10.26988066034987,5.898102703374764,0.7912042981526066
S1457,2.577034750530303,0.8435814397635454,2.4182258440882247,-5.180434427165748,3.6372670412604595,0.29482032249908907
S1458,1.1860153316879127,0.7293187346862005,1.0598421764457135,-0.014966737600041968,1.7364007876294512,0.11519141574127338
S1459,7.807997952433547,0.5113888359674865,5.26690723638478,-0.46060555577808326,13.322758213815641,0.2729721969435674
S1460,16.071147928193735,0.8507276130694957,13.955007476647731,-1.8900732163329668,24.0405749331594,0.5552047624226665
S1461,27.669994937397213,0.775263967871569,26.34250941073003,-6.973170578815767,37.74373538521506,0.7385457806836407
S1462,40.45429686401828,0.8120215811474045,39.1558052284455,-11.286992267356064,52.403330766962064,0.8092889942701715
S1463,50.40429107983676,0.949495004703584,49.92926470091692,-34.9171100519086,57.258642950573616,0.8420286025294111
S1464,57.90965993430695,0.8035146947407001,57.79205826047073,-152.35789219793378,62.848560063876505,0.8496597733374144
S1465,54.92646501500382,-0.06487862105955727,54.423458506743366,-55.5971863299801,61.647692563876504,0.8223490349747058
S1466,45.584262337201864,-0.439345521008073,43.2397807006279,-9.22461580374743,61.2144880638765,0.7491645381943869
S1467,27.949350727314624,0.9929729862435417,25.0924808246979,-0.6271675471916054,40.79054900577997,1.4178981418120318
S1468,14.374285756910128,0.5787954458077547,12.40450805819276,0.01587929331061322,20.862327032227192,1.4338486788440898
S1469,12.929613319256994,0.05563061148586377,10.721471577859662,-1.8394022833943975,16.51752843608654,4.761875826441879
S1470,10.909414910342248,0.5045951742839137,8.838207491774723,-1.4039775941517516,17.4591635912279,4.020711457009447
S1471,13.96220645431068,-0.5313876647902873,13.189327539128774,-14.333924525312296,19.600864591227896,5.064806633602585
S1472,12.056905334182723,0.9494607117304876,12.001923205699079,-24.328834596422308,12.847395435797598,1.9469899293705624
S1473,14.27205626794236,0.9605476296591146,14.25296094305966,-59.495440235005255,14.839701802442557,4.150906092054751
S1474,15.71722853283443,0.8549558186995292,15.670504361129332,-63.913502460937195,16.64926269000662,20.488403203385726
S1475,16.100342350165512,0.05020985544531287,16.044380718091514,-210.09378847590526,17.825152690006618,45.585030090833605
S1476,14.969876798211041,-0.4490222011863574,14.92203891061503,-604.198206838534,16.409070661825364,45.79130376430854
S1477,11.934265279507738,0.27767321676448,11.805756807187544,-46.609179382451245,13.620081380013104,25.099543730802292
S1478,8.391312904103971,0.42045219995814026,8.350958427656137,-0.0768029105276562,9.111400379724165,3.759128987165983
S1479,8.763052694357745,0.9519356956521197,7.992649509328537,-0.08984449904128056,12.403508425030303,0.620294934285884
S1480,12.50308889498045,0.8475674253979543,12.460089161909229,-58.968155227337775,13.39585202323114,0.5900962465781613
S1481,13.765819252994387,-0.974496648315336,13.380359521099413,-119.26512012525586,17.954891425030304,0.6131284483036546
S1482,10.61272161790877,-0.46787269738275694,8.925618080311347,-4.289110262526419,15.064449237466238,0.4479798950263889
S1483,8.474240179023917,-0.991715634409699,6.0852864523445165,-3.227633217260003,14.323861100801693,0.33839622389976537
S1484,5.001821062231514,0.6825556060214617,4.565299393561383,-2.249411076991823,7.295053424452291,0.32247863255791154
S1485,5.104399936539029,0.32702227032230446,4.384739029722481,-2.669536647805434,6.805070424452291,0.2960537010921322
S1486,5.778590378602119,-0.9502431091954868,3.9419766772381473,-1.57779372273029,9.857018024452291,0.25774106823394943
S1487,3.3017769454158716,-0.8306056709994716,3.2018244035456385,-2.3621211269647335,4.230541703374765,0.38090114779319234
S1488,3.714082835369717,-0.9999464684998249,3.1952509434449126,-12.93336299948156,4.755358703374764,0.4536051406641864
S1489,4.333833293950704,-0.21994843185940854,4.063012740949723,-125.9983785564267,5.423282196401685,0.6153985601537442
S1490,4.43289880397524,-0.5184241495142059,4.111785830142112,-98.65306726361311,5.873982196401686,0.6201857079409305
S1491,3.3398032586445106,0.574357367574518,2.8901805389360997,-1.7255868603850026,4.97951297095193,0.41132641280352084
S1492,5.243845226925673,0.07133319436768737,3.9198064592337754,-1.5704847021975952,8.838957957294712,1.1483672864075543
S1493,5.704765099744893,-0.2968993794166981,4.9477993200615,-0.3213573593827388,8.931767957294712,1.1964594902563366
S1494,4.2138645876413525,0.822997822098084,4.156707086964386,0.2748581771831755,5.018722457294713,0.8590393632621844
S1495,6.826629268390021,-0.8971070442692474,6.602881189792151,-0.8152303194460624,8.222353365778009,1.4521380717279015
S1496,7.910011220500607,-0.8845281143272243,6.465647243659423,-6.069702004936682,10.833759013946288,13.59925703220055
S1497,9.268612951421071,-0.9988192207072573,8.76303195516311,-49.79321390655954,11.137785013946287,34.721021773800466
S1498,9.671208644754596,0.8091968312473167,9.516922445865717,-36047.743695161415,10.874584985765036,44.1199578720667
S1499,9.131743157108993,0.32014849908558146,8.958919614856699,-985.7319648711664,10.686599337885827,35.34608070822754
S1500,8.41766910537242,0.8117889233963326,8.28333779556579,-232.98515869906885,9.835424020919234,19.147811821043252
S1501,7.5767422550974555,0.8630865577178941,7.413481695972841,-227.09823338593893,8.951937027892313,8.68905531160388
S1502,6.146934331566464,0.4574371818099622,5.906956230387503,0.03900177215519096,8.254451239106974,3.103250632242924
S1503,4.68366894601054,0.6948548308561484,4.609607806351606,0.32161159815637885,5.415289055784626,1.2872202235681123
S1504,6.559322487548725,-0.9465665728178453,5.470611791109699,-1.1922752213754189,9.790223924163222,0.7496581909501393
S1505,1.732865574716089,0.9573114576480389,1.609168302967716,0.06049730423281008,2.50163175973727,0.2664998828887784
S1506,4.28835480325649,-0.6857543170012765,4.061397647782896,-2.9745605570026004,5.978452576992668,0.9308914460365578
S1507,4.511703603734784,-0.8731851234721801,4.063271981116185,-8.639656776938992,6.441754576992668,1.057244089581637
S1508,2.9445220569225175,0.8131948491521593,2.6922999993257655,-2.0549045494038705,4.378419126093156,0.5768204971805798
S1509,2.8465197827253887,0.6479967194951297,2.239201329069911,0.3697855727882693,4.3951188184114205,0.21828886083965862
S1510,2.6532451716579812,0.8774479949955172,2.337877642972473,-0.06561573965106682,3.968270818411419,0.22723439532958736
S1511,4.747752702451288,-0.9595812214847996,2.949592514620393,-5.430569832793852,8.20929931841142,0.2249555397362384
