Segment,RMSE,Pearson_r,MAE,R2,Max_Error,MAPE
S1,3.558623984693732,-0.9907014165403933,2.9220045666666663,-3.6068812441365177,4.5369757,1.5553276375142648
S2,4.5580512530561546,-0.9011443706067529,3.5998636000000004,-0.19355598767637572,6.9476903000000005,0.9375557748175227
S3,5.297906236326645,0.06331846599504293,4.5496315,-2.7952267788488396,6.973809000000001,0.43720718778848644
S4,6.121651457064555,-0.2277026968382279,6.073673866666667,-80.07489160000594,7.002858000000001,0.5569188242735107
S5,3.1977683095649687,0.9999632345606042,2.761784666666666,-1.5909768990687496,4.056261999999999,0.2760823242593852
S6,2.1091886792525476,0.7325934934209617,1.9266693999999998,0.2521835643970124,3.1280165999999996,0.2619990710331606
S7,3.983338218290138,0.9958320205569825,3.683175466666666,-2.5364747462015265,5.7391483999999995,1.9251534155511667
S8,5.6758487613650255,0.8052058678446946,5.427715599999999,-6.407698836407767,6.6645565,1.0004831389996542e+16
S9,6.165743165304319,-0.4083477349040317,6.098146466666667,-107.96417166384468,7.171262,1.0765497623658734e+16
S10,4.658641040397103,-0.9999810174466198,4.440098133333334,-0.8142896813064251,6.060594,9098162960014622.0
S11,3.834724821217565,-0.6419151475387701,3.776278833333334,-0.2718242368840935,4.7083225,1.1896976604818061
S12,3.7221805310228664,0.9342170342693272,3.4332910000000005,-0.6097553724468241,4.973284,0.5644333610142889
S13,3.803971922971054,0.6784251099717247,3.7216667666666665,0.007228071986820406,4.4505973,6681236113952045.0
S14,4.99036284812188,0.613220965573405,4.9055868,-20.184640094823827,5.853839,1.6587528143621766e+16
S15,5.067428714117956,,5.059468566666666,0.0,5.2933407,2.2785820751532736e+16
S16,4.125322369083685,,4.1225537999999995,0.0,4.2299542,1.856633175749482e+16
S17,2.8497466722302787,0.05161204626558882,2.6060583999999998,-0.8876421710482414,3.4544826,1.027168452979701e+16
S18,2.638777295824883,0.9646783782888819,2.5284256000000003,0.025679251358085797,3.3372080000000004,4095202704761408.5
S19,2.990548847536807,0.4487584454832469,2.897705933333334,-12.415073614255585,3.9180278000000004,0.5295391359076881
S20,4.628142009769068,0.41026740805716233,4.2448825,-4.754545855620995,6.7105516000000005,0.5616542953843996
S21,3.7051463593448943,0.8765141209847129,3.215145,-2.185997573427037,5.8180207,0.4280932429854096
S22,3.488426313514964,-0.4929393124029338,2.3212471999999997,-1.014013668690923,5.9591862,0.26059023257839714
