Segment,1D-CNN,ANN,BiLSTM,LSTM,CNN-LSTM,Selected
S1,0.9923926384868903,0.0014372313893778296,0.0028449190973261675,0.002727298512684484,0.0005979125137218788,1D-CNN
S2,0.6286616072205294,0.19912835114344726,0.07387242977239988,0.07529102262470504,0.02304658923891829,1D-CNN
S3,0.2180965552931372,0.24780854259215598,0.2013188148026157,0.27603656905581425,0.05673951825627623,LSTM
S4,0.19336968715167407,0.40519747488081764,0.1629603714592038,0.2190955347211152,0.019376931787189095,ANN
S5,6.116806084670241e-05,0.00014087245386740574,0.8545799841602414,0.14521054381340817,7.4315116331675e-06,BiLSTM
S6,0.06385212804391308,0.13678197258281755,0.41619950459031935,0.3695602234769369,0.013606171306014273,BiLSTM
S7,0.003085142064838899,0.0039030325744259416,0.5026338542103361,0.48944302711723203,0.0009349440331663987,BiLSTM
S8,0.08689207372547236,0.11059772041016958,0.4522561517476057,0.33433112259104036,0.015922931525712152,BiLSTM
S9,0.3741204180086258,0.3307157825616168,0.15551783500260036,0.12089447664496387,0.018751487782191944,1D-CNN
S10,0.3861928863152456,0.31032143025198977,0.1361508456125076,0.1162879006421657,0.05104693717809055,1D-CNN
S11,0.23372517615670205,0.5977286291046569,0.0612303502463423,0.08845915183671499,0.018856692655583162,ANN
S12,0.03748625655085632,0.042637319670470734,0.782160619022882,0.1322752825416601,0.005440522214130811,BiLSTM
S13,0.001843139784638848,0.9861775184924825,0.008940268425911455,0.0027476210924911185,0.0002914522044757134,ANN
S14,0.11155352634710491,0.14910615883225478,0.5062554253131323,0.2136711770797616,0.019413712427746754,BiLSTM
S15,0.0,0.0,0.0,0.0,0.0,1D-CNN
S16,0.0,0.0,0.0,0.0,0.0,1D-CNN
S17,0.5230708599613019,0.30668673235337574,0.0847087400401764,0.05666238937167462,0.02887127827347244,1D-CNN
S18,0.28161123947728817,0.2201904883107785,0.33644302075309374,0.1196821702556404,0.04207308120319956,BiLSTM
S19,0.12469620463631387,0.10317899596613138,0.11075439554577286,0.6450924591385906,0.01627794471319147,LSTM
S20,0.39685689940019797,0.2715121851250221,0.15009610731344403,0.1476534072319205,0.033881400929416675,1D-CNN
S21,0.13411313739236738,0.19064013526211215,0.3634212336482647,0.2930232105009981,0.018802283196258568,BiLSTM
S22,0.16071105925063875,0.1496670082405472,0.161631096259217,0.5068655576802635,0.02112527856933296,LSTM
S23,0.06342440925057154,0.3244564706807512,0.21429663984210248,0.38776122089797543,0.010061259328598023,LSTM
S24,0.39234750314168404,0.27421671687090493,0.20142836759336893,0.11722236162874514,0.014785050765297356,1D-CNN
S25,0.39880390727769405,0.3817574457387531,0.1491973366356052,0.0505102627776494,0.019731047570298824,1D-CNN
S26,0.005738648800144681,0.026843327443145965,0.038744542435327406,0.9280446867793473,0.0006287945420344695,LSTM
S27,0.7183811470054254,0.12414809132558884,0.0800127153866487,0.05235273451001546,0.025105311772321715,1D-CNN
S28,0.30047612343714736,0.2534232368676588,0.21402304245468282,0.17014693527943772,0.06193066196107325,1D-CNN
S29,0.243671196088656,0.13871507860546192,0.15065294992194603,0.4275438784125284,0.039416896971407364,LSTM
S30,0.9091561206053461,0.02559080394521041,0.022504616176375482,0.03323941132215665,0.009509047950910334,1D-CNN
S31,0.003515191373101915,0.009771291469988935,0.04338038462471049,0.9426760564756081,0.0006570760565920617,LSTM
S32,0.17657561689671997,0.3232172095195388,0.24795502823410484,0.2303722256879005,0.021879919661736393,ANN
S33,0.9982123154410156,0.0005021054915333088,0.0005490124816947,0.0005868723315865137,0.0001496942541688373,1D-CNN
S34,0.3106462079790241,0.6015539953278605,0.034724327993485654,0.04031113984706264,0.012764328852567392,ANN
S35,0.06456232470709686,0.11559708069559993,0.3228984968177946,0.48267681917962063,0.014265278599887616,LSTM
S36,0.04446289070701737,0.31290004239939273,0.3764685914990292,0.26051708167986337,0.0056513937146977725,BiLSTM
S37,0.04146357390393584,0.2570142498262505,0.38044177116184213,0.31123567251316486,0.00984473259480789,BiLSTM
S38,0.13429213394292952,0.19245714102424608,0.3598628817118784,0.2933034771480723,0.020084366172873205,BiLSTM
S39,0.0,0.0,0.0,0.0,0.0,1D-CNN
S40,0.0,0.0,0.0,0.0,0.0,1D-CNN
S41,0.27586173825885957,0.22734501175092475,0.2102918206475448,0.21030191031809037,0.07619951902457998,1D-CNN
S42,0.0020504193654569958,0.9965915698949387,0.0004949462945193407,0.0007143173947689484,0.00014874705031527982,ANN
S43,0.19536416047910818,0.20966120771770003,0.21525242927234942,0.3532095154586973,0.026512687072145012,LSTM
S44,0.0940198049537282,0.7985209468384371,0.07517207238911759,0.02950442757465168,0.0027827482440656655,ANN
S45,0.11190169236419556,0.11375349456124455,0.29283866740840175,0.4459574021677275,0.03554874349843131,LSTM
S46,0.9711586612556761,0.025454376515549153,0.0015388699176398404,0.0016483216284837816,0.00019977068265216501,1D-CNN
S47,0.09493067622401126,0.2635835047162424,0.3067389256897425,0.2729123311807856,0.06183456218921804,BiLSTM
S48,0.1481786849416585,0.07111985941658279,0.5610857759761104,0.2091216678681456,0.010494011797503614,BiLSTM
S49,0.34000730417394387,0.16817709885280085,0.28281843584187827,0.18542897057685656,0.02356819055452044,1D-CNN
S50,0.6858673800660734,0.1481936445135482,0.08069798294689666,0.06234633014008385,0.022894662333397726,1D-CNN
S51,0.2519048553053222,0.5287620726221581,0.09103855903016794,0.07968688894790335,0.048607624094448805,ANN
S52,0.26191297391515983,0.21723085789013177,0.20067014820235718,0.24635555580478866,0.07383046418756224,1D-CNN
S53,0.1953879681512353,0.3969832725605932,0.11667033344575059,0.2597710880204892,0.031187337821930852,ANN
S54,0.20942964824173993,0.20773603892523393,0.4272460118297172,0.14351721646533544,0.012071084537972718,BiLSTM
S55,0.04026558804515937,0.9471336758717726,0.007333682420219541,0.004495668591668922,0.0007713850711788321,ANN
S56,0.4343361239227926,0.49374302820761395,0.03380736340850929,0.03115588686198337,0.006957597599099021,ANN
S57,0.21870601811719714,0.23673653621455232,0.2415114901992004,0.23578750429682993,0.06725845117222023,BiLSTM
S58,0.03815716112746789,0.05574626900783289,0.35058665381861265,0.5429281060443759,0.012581810001708042,LSTM
S59,0.0014927319932590177,0.9904053401276376,0.0044097423551505525,0.0034555478091532763,0.00023663771479963072,ANN
S60,0.01122316648494472,0.011106140636010732,0.7978444405304889,0.17654807745568651,0.0032781748928704586,BiLSTM
S61,0.3247848070124872,0.2910767399586578,0.1777062784784039,0.1556099686242628,0.050822205926188455,1D-CNN
S62,0.4029899242058095,0.3899031193475716,0.10480814099707139,0.08310545237473504,0.019193363074812442,1D-CNN
S63,0.35888883888681505,0.502319003824134,0.05582785082107825,0.07183893103300817,0.011125375434965014,ANN
S64,0.06089094666931602,0.05293681668106715,0.7432697608322766,0.1274957577181823,0.01540671809915801,BiLSTM
S65,0.05963724419914276,0.08565863036996334,0.7713899077420571,0.0737785022432497,0.00953571544558766,BiLSTM
S66,0.044365681785889184,0.05071791039707934,0.8406634647096384,0.05538673673880937,0.008866206368584307,BiLSTM
S67,0.0,0.0,0.0,0.0,0.0,1D-CNN
