Segment,1D-CNN,ANN,BiLSTM,LSTM,CNN-LSTM,Selected
S1,0.9918468226149496,0.00130003624810885,0.003108582699340817,0.0030608772146277093,0.0006836812229724854,1D-CNN
S2,0.6556024356452416,0.17996817705676238,0.06604093402752938,0.07438494153042582,0.02400351174004086,1D-CNN
S3,0.2025362704228456,0.2469751027071844,0.19286665165213152,0.3000465326986412,0.0575754425191971,LSTM
S4,0.1860727591440998,0.4259045492253596,0.1478110008674182,0.22230195273551145,0.017909738027610957,ANN
S5,7.727599176376674e-05,0.00020509892628400693,0.8550249706962324,0.14468500235574386,7.652029975003732e-06,BiLSTM
S6,0.05292310657898938,0.12737140172709485,0.43466751622663735,0.37209286746537645,0.012945108001902619,BiLSTM
S7,0.0025267072708104713,0.0031913959118911044,0.5197117716203925,0.4737366966177034,0.0008334285792031349,BiLSTM
S8,0.08055568927910879,0.11296009441064433,0.47010857155555635,0.32140752628613933,0.014968118468550874,BiLSTM
S9,0.38572934685870597,0.3620596115577269,0.13794601794646463,0.098231394603923,0.016033629033179318,1D-CNN
S10,0.3845364115256395,0.35627483114053854,0.1227537186936656,0.08920060677169812,0.04723443186845774,1D-CNN
S11,0.2395450549453732,0.5897365213751308,0.0603824666312982,0.09059497027174115,0.01974098677645593,ANN
S12,0.03375418713727318,0.040759515047766724,0.7663478280984095,0.15419045150890182,0.004948018207648739,BiLSTM
S13,0.0017658371362036466,0.9852992742142114,0.00977145963616914,0.002869850267135323,0.0002935787462801922,ANN
S14,0.09965618326423702,0.1368417224542074,0.5250402372250036,0.21955476141518263,0.018907095641370233,BiLSTM
S15,0.0,0.0,0.0,0.0,0.0,1D-CNN
S16,0.0,0.0,0.0,0.0,0.0,1D-CNN
S17,0.5315791201312509,0.3094654448522241,0.08546436159642155,0.04512796779026279,0.028363105629841175,1D-CNN
S18,0.32591040205926736,0.2210782405013057,0.3149706059586044,0.09466467388396126,0.04337607759686101,1D-CNN
S19,0.10115632087711687,0.07965157646869064,0.08594088100415348,0.7202386498888358,0.013012571761203328,LSTM
S20,0.4264024823268287,0.2770277856274283,0.12969247372048817,0.13579803103231175,0.0310792272929433,1D-CNN
S21,0.1651155218279724,0.18805116391400062,0.34375806214094723,0.2848212348157642,0.01825401730131598,BiLSTM
S22,0.17338817682452748,0.13346135319481048,0.14480425767612864,0.5274439971909036,0.020902215113629913,LSTM
S23,0.045831440545631125,0.249971027914791,0.2719763827422182,0.42361721104292616,0.00860393775443255,LSTM
S24,0.2929091025836806,0.3484152093149848,0.2425809319995248,0.10419574631700307,0.011899009784806286,ANN
S25,0.45982984397545396,0.37427502888579744,0.12846998857407937,0.02601020308654085,0.011414935478129638,1D-CNN
S26,0.006110962852868562,0.05967762194126443,0.0631629827492556,0.8703868079464444,0.0006616245101690637,LSTM
S27,0.7791680403892691,0.10749460027660032,0.060781371088251684,0.03224782117846695,0.020308167067411224,1D-CNN
S28,0.3266552626947748,0.2546195763655778,0.22757833744721534,0.1245422333781167,0.0666045901143146,1D-CNN
S29,0.17571091958266527,0.09312606445213553,0.10757697667823586,0.5919701804323886,0.03161585885457528,LSTM
S30,0.9273552246776267,0.01941841723059682,0.01654814286597197,0.028051104467731815,0.008627110758072827,1D-CNN
S31,0.0032145960216848498,0.008878971567843726,0.04215065009321251,0.9451154369759514,0.0006403453413078485,LSTM
S32,0.17513710754888379,0.3221073124096248,0.2557156093532617,0.225966946531416,0.02107302415681307,ANN
S33,0.9983972953153818,0.00045449133354181153,0.000463503466021248,0.000537124572359343,0.00014758531269579628,1D-CNN
S34,0.31827344181060657,0.5932898495057788,0.03252381209917567,0.042494139794650235,0.013418756789789921,ANN
S35,0.05829750295937761,0.11430623154183621,0.3133677336171715,0.49996957668571695,0.014058955195898743,LSTM
S36,0.04351282989182262,0.33932771848898785,0.360703053011828,0.2511468041799377,0.0053095944274249235,BiLSTM
S37,0.03518031794400949,0.23194769126208212,0.3980331592449674,0.32560019715248995,0.009238634396453253,BiLSTM
S38,0.13893219055519662,0.20338896415781738,0.35646695938526635,0.2829637053130197,0.01824818058870091,BiLSTM
S39,0.0,0.0,0.0,0.0,0.0,1D-CNN
S40,0.0,0.0,0.0,0.0,0.0,1D-CNN
S41,0.267238146234379,0.21466148341355787,0.21191948349477693,0.2286980785689377,0.07748280828834812,1D-CNN
S42,0.002092417246386125,0.9964979729756783,0.0005024303954617201,0.0007570162447149665,0.00015016313775874943,ANN
S43,0.19397954928467276,0.20663759651368946,0.2127863894063234,0.36066607777130055,0.025930387024014394,LSTM
S44,0.10571693912643654,0.7887578562294085,0.07488324444466014,0.02792556365795165,0.00271639654154248,ANN
S45,0.07840207160368698,0.07977445434491107,0.2790795835771807,0.5310675005493046,0.0316763899249166,LSTM
S46,0.9756426206507002,0.02194289147993276,0.0010977463221583843,0.0011957726384663422,0.00012096890874318565,1D-CNN
S47,0.06411074409721722,0.2509644566515205,0.34216322702050683,0.277097827778141,0.06566374445261412,BiLSTM
S48,0.14374388961183351,0.06489973388979293,0.5857148238856393,0.19549150846972488,0.010150044143008585,BiLSTM
S49,0.3250066661971602,0.15718002634189598,0.3045205935855294,0.1879875455124846,0.025305168362930324,1D-CNN
S50,0.7339131031483198,0.13989871032026724,0.06333732071142638,0.04480342883878268,0.018047436981204115,1D-CNN
S51,0.2934626391661996,0.5344369172262465,0.07223458572338541,0.053279658474884854,0.04658619940928345,ANN
S52,0.2819473977518095,0.2420195968053984,0.17778881954560538,0.23201876672610292,0.06622541917108347,1D-CNN
S53,0.20420586091568688,0.3966644447619854,0.10972302032361865,0.2592054926773495,0.03020118132135991,ANN
S54,0.2636342677209132,0.24054897394274155,0.3639158682646651,0.12170899139092817,0.01019189868075219,BiLSTM
S55,0.04270386438187239,0.9526434781678632,0.002747040858302287,0.0016038866559215563,0.000301729936039118,ANN
S56,0.5299951964578123,0.4436049236814789,0.012290214587609732,0.011261125195022047,0.0028485400780761828,1D-CNN
S57,0.22305595533076236,0.2406828512642986,0.23350912307751234,0.22839632090571582,0.07435574942171043,ANN
S58,0.04004706404309252,0.06612870877159206,0.35354696716398837,0.5268406003903068,0.013436659631019482,LSTM
S59,0.0013902032533608956,0.9875207724788175,0.006216328662492496,0.004599981439328686,0.0002727141660004397,ANN
S60,0.010408259778257297,0.009685234288210996,0.7984195551178067,0.17849992134847698,0.0029870294672488906,BiLSTM
S61,0.3485396391153739,0.30839058547097975,0.16526959664870536,0.13383218234562302,0.04396799641931754,1D-CNN
S62,0.4502114952658098,0.37791893552141126,0.08745980504650451,0.0676231931530778,0.016786571013195594,1D-CNN
S63,0.3702586746540718,0.5051565776533423,0.04835344521940453,0.0655944480618093,0.010636854411373057,ANN
S64,0.05021300839264413,0.041149293740242905,0.7862252644419474,0.10689854806889085,0.015513885356274371,BiLSTM
S65,0.0573331142312831,0.07766920928869644,0.7885667045855733,0.06724156069412707,0.009189411200320727,BiLSTM
S66,0.039445176093876586,0.04566673219443569,0.85260838454707,0.05361174963568323,0.008667957528935413,BiLSTM
S67,0.0,0.0,0.0,0.0,0.0,1D-CNN
S68,0.38986403082586546,0.26770162995055635,0.1569575656693164,0.1330334844354874,0.05244328911877494,1D-CNN
S69,0.25678484661403755,0.48508464511830324,0.1028976524019778,0.11514794926509905,0.04008490660058226,ANN
S70,0.3130747355658968,0.3609926893997586,0.09945386659425783,0.19436377365560636,0.03211493478448043,ANN
S71,0.14995774724960825,0.143410288119309,0.11023981473604838,0.5771213278993637,0.01927082199567107,LSTM
S72,0.4391697288649281,0.546614383303946,0.006368340882053,0.007450599854886301,0.0003969470941848506,ANN
S73,0.11804827038613967,0.6057313447537367,0.1182828263742992,0.13901886273910696,0.018918695746717805,ANN
S74,0.36086795122057597,0.29012863125330507,0.15352923080303452,0.15320661549506484,0.04226757122802047,1D-CNN
S75,0.12856762088170917,0.14538549431863687,0.29760189248511454,0.2934407254343702,0.1350042668801692,BiLSTM
S76,0.04791973982537252,0.3286094170765444,0.3370841561223972,0.2710485408175088,0.01533814615817642,BiLSTM
S77,0.9007505025081177,0.02942267866302583,0.03586262537527701,0.03066881187522426,0.0032953815783564712,1D-CNN
S78,0.9994546668605734,0.00026579332030022467,0.00011926411680341453,0.00013988312666674067,2.0392575655394094e-05,1D-CNN
S79,0.16909159016776198,0.18442241497850745,0.2135678731647802,0.40562868431090326,0.02728943737804669,LSTM
S80,0.007873863446933709,0.17895960065426067,0.7854631956579717,0.025821103819214836,0.0018822364216183585,BiLSTM
S81,0.2898487772855145,0.19453574753047245,0.23873493168742754,0.241195641020829,0.03568490247575629,1D-CNN
S82,0.4120153035186696,0.3860806551885334,0.08612837646723263,0.10098137798066315,0.014794286844899782,1D-CNN
S83,0.07317273659175176,0.07825568395590297,0.10704869636155524,0.7244782718691978,0.017044611221592492,LSTM
S84,0.010795072506856308,0.06255010897705716,0.9183757085325821,0.007052740930898312,0.0012263690526054783,BiLSTM
S85,0.11630398681541163,0.6990556281532692,0.09366812138183836,0.08620505424747373,0.00476720940200789,ANN
S86,0.37442747190106335,0.14263311293186437,0.19431982238024634,0.2702847563370452,0.01833483644978107,1D-CNN
S87,0.44434720008772033,0.28841178695285397,0.11012589657274677,0.1414631561243743,0.015651960262305215,1D-CNN
S88,0.7978604300639494,0.10881453581727421,0.047863632341596546,0.03380119449591276,0.011660207281266273,1D-CNN
S89,0.0014001817559061963,0.000980850014797403,0.0021312793762126043,0.9953726334454527,0.00011505540763047071,LSTM
S90,0.20164530622115634,0.2582391048549448,0.3840713475237789,0.11710450870140675,0.038939732698713383,BiLSTM
S91,0.2591163243913347,0.32050403793258014,0.1540726818838868,0.18863334585706087,0.07767360993513715,ANN
S92,0.07652913679454,0.8495854924368726,0.024556758493146376,0.04103548184492901,0.008293130430512911,ANN
S93,0.006219410469634366,0.006833059754090939,0.0036760130475424566,0.9824339568658266,0.0008375598629058572,LSTM
S94,0.2359140822458976,0.4217250129007476,0.18073266976477317,0.13593512252123985,0.02569311256734262,ANN
S95,0.04972744973283724,0.02425780313395421,0.020346038349413287,0.9021858597638961,0.0034828490198984107,LSTM
S96,0.0008103647741922272,0.0006672264265301199,0.2175777647521523,0.7805387667832676,0.00040587726385715066,LSTM
S97,0.09464862888074231,0.4848878078030481,0.17265337398544975,0.2369650993089301,0.010845090021829857,ANN
S98,0.05369644848885778,0.8319252859893447,0.054638544460864656,0.052723870688581434,0.007015850372351419,ANN
S99,0.24689995829273123,0.6306517016768579,0.06758657580490932,0.03920538880779103,0.015656375417709843,ANN
S100,0.8458161141739253,0.07999280226577678,0.03599627354293265,0.02329517868095989,0.014899631336404711,1D-CNN
S101,0.07973883390827956,0.8967643917766345,0.0099301236232541,0.00853186049251898,0.005034790199312779,ANN
S102,0.00024850189315645075,0.0007237358010734242,0.00024634005256550973,0.9987519703339692,2.9451919235537593e-05,LSTM
S103,0.0172959587756108,0.02392197097925719,0.9289124875308842,0.027623685706139278,0.0022458970081096256,BiLSTM
S104,0.0012861850819643056,0.003062916860420369,0.9865076780634852,0.008414509676541235,0.0007287103175883254,BiLSTM
S105,0.02231077329774715,0.02605047747375514,0.8673854238318829,0.07832078638752465,0.005932539009089977,BiLSTM
S106,0.10256914138859426,0.09745632376692219,0.5212824894576862,0.24960354803434212,0.029088497352454765,BiLSTM
S107,0.15175030211603704,0.13870504576856793,0.3360436178443126,0.30820544875487466,0.06529558551620777,BiLSTM
S108,0.3643003336268185,0.35365059513867475,0.15862168872070606,0.08582800342155472,0.03759937909224614,1D-CNN
S109,0.48750667476799087,0.16713986465287317,0.14000437659931506,0.11449873933300853,0.0908503446468126,1D-CNN
S110,0.008882612989224582,0.009935472383338726,0.06180894928572403,0.917740816334986,0.001632149006724703,LSTM
S111,0.3391534954720216,0.2940695119998965,0.15387371210921327,0.17796722957827985,0.03493605084058976,1D-CNN
S112,0.14833951323486902,0.3318559092522757,0.3080761299138854,0.15716257322752597,0.05456587437144329,ANN
S113,0.12957811159437052,0.0775154128278653,0.3913631814522269,0.3795991560848947,0.021944138040642748,BiLSTM
S114,0.48649788232447455,0.09357604848049687,0.2937272964303346,0.08697281884403639,0.03922595392065703,1D-CNN
S115,0.000646291507735626,0.002673181575118284,0.8930129722437824,0.10349728576457466,0.0001702689087890642,BiLSTM
S116,0.057174993027779675,0.11022267514060484,0.3996384395307118,0.42472498817527854,0.008238904125624417,LSTM
S117,0.27213233009311805,0.24154489346227953,0.2690072845245584,0.18581822574600845,0.03149726617403534,1D-CNN
S118,0.8924310180558235,0.07224903041607472,0.017322574270612567,0.01227154975878576,0.0057258274987046776,1D-CNN
S119,0.06500131728427554,0.8129825643549754,0.045849716992320384,0.06114865718572586,0.01501774418270394,ANN
S120,0.3084386241211287,0.3096442566369176,0.10108492192460843,0.2478745334490556,0.03295766386828833,ANN
S121,0.4866583886000426,0.2347782185882256,0.08876073587186466,0.15122749621565118,0.03857516072421635,1D-CNN
S122,0.7268752456811675,0.0922352200050104,0.06713116187502301,0.08879886060750727,0.024959511831291355,1D-CNN
S123,0.21360101267870318,0.2453170620093984,0.250153361304597,0.2512906712270071,0.03963789278029385,LSTM
S124,0.0622406615665103,0.4911587183659699,0.1592686656584899,0.2787660785649162,0.008565875844113634,ANN
S125,0.9997797976958778,7.542772342182889e-05,5.643758321019668e-05,7.62420104406469e-05,1.209498704943134e-05,1D-CNN
S126,0.7062769977799268,0.08134082411459076,0.08102445478195959,0.10576923786905966,0.02558848545446383,1D-CNN
S127,0.06266900390933522,0.07106309546872146,0.297790150486947,0.5340618531284652,0.03441589700653146,LSTM
S128,0.016960743931110477,0.06829951294214746,0.7173914227347747,0.19367881740226942,0.0036695029896978907,BiLSTM
S129,0.19327772966650886,0.6402627626291222,0.09172070551059203,0.06861005516321568,0.006128747030561282,ANN
S130,0.9994320738647822,0.0003382751219364885,0.00010949390588576139,0.00010354835008348322,1.660875731060135e-05,1D-CNN
S131,0.4687867872099783,0.3798028027801492,0.06280180824705085,0.05899669623332227,0.029611905529498973,1D-CNN
S132,0.08338405266187064,0.13793965674682673,0.11314727578096909,0.6447346533642777,0.020794361446056085,LSTM
S133,0.3172925880028277,0.3363771396893726,0.13074020530245187,0.18100936875813414,0.03458069824721292,ANN
S134,0.3869990746973796,0.3229584051464399,0.1159838015938901,0.12947864092144826,0.044580077640842285,1D-CNN
S135,0.04399568985205359,0.051984019932302415,0.19977759850891386,0.6970307200197959,0.007211971686935534,LSTM
S136,0.10539546350751136,0.4204427460802993,0.3872138662115098,0.08271095809406473,0.00423696610661508,ANN
S137,0.11424378470722694,0.1297454025523253,0.3151637748175993,0.41171371921092276,0.02913331871192621,LSTM
S138,0.018026328346570173,0.9642249558673615,0.007947196442695138,0.008458931535986454,0.0013425878073856912,ANN
S139,0.3065735229362008,0.2630485901673464,0.15221811210768163,0.24276244605752115,0.035397328731249705,1D-CNN
S140,0.09980074878348347,0.05544598029411831,0.28847056083417766,0.5285859828597442,0.02769672722847636,LSTM
S141,0.06568114567664685,0.36491255279036217,0.4414454637353506,0.1207677765699661,0.007193061227673395,BiLSTM
S142,0.011931236046176033,0.046779926655294,0.779405450221579,0.1596112510056884,0.0022721360712631825,BiLSTM
S143,0.12959460471432013,0.2258273236205987,0.4781409990199948,0.15159399620050706,0.014843076444579197,BiLSTM
S144,0.5542715061018924,0.18461998013043884,0.11139893448320239,0.10548678628874456,0.0442227929957218,1D-CNN
S145,0.2144118505177587,0.30795367965556136,0.09773618537631154,0.3534830145309451,0.026415269919423435,LSTM
S146,0.048959612281854956,0.07884424095312621,0.7355031668206012,0.12788170260843773,0.008811277335980274,BiLSTM
S147,0.11165511744347376,0.01620944711102161,0.8013166248306877,0.06775560231514971,0.003063208299669036,BiLSTM
S148,0.04346559990954256,0.055943927296521916,0.734907487615253,0.15451887918790375,0.01116410599077898,BiLSTM
S149,0.05929536138061497,0.061587495024880076,0.5175304807296236,0.35339546055747223,0.00819120230740968,BiLSTM
S150,0.8517727817681106,0.046128763156309475,0.035213843176306325,0.05068156601910752,0.01620304588016645,1D-CNN
S151,0.2760181350212957,0.19315167573386896,0.13023896557772988,0.27151296924250634,0.12907825442459883,1D-CNN
S152,0.00299243762168794,0.16670667469934192,0.6198687870777504,0.20967883208583799,0.0007532685153812757,BiLSTM
S153,0.05922884791173987,0.4027246390048209,0.3256828739949607,0.2014765894181409,0.010887049670339329,ANN
S154,0.5890841085031533,0.15009862308627933,0.14380360638664447,0.0984501204396055,0.018563541584317264,1D-CNN
S155,0.8493598360224675,0.06497207502365465,0.03844361347663535,0.03403582462866883,0.013188650848573931,1D-CNN
S156,0.2512417824493984,0.196848472165884,0.1953597638682736,0.27782881957178623,0.0787211619446582,LSTM
S157,0.29076420942291253,0.17553708967370338,0.19295582625254967,0.27371966998476926,0.06702320466606547,1D-CNN
S158,0.012705817691162996,0.03269332614154069,0.05290625905442516,0.9002332941742472,0.0014613029386222511,LSTM
